exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
FEB2008,1.0949,1.7290,0.9986,7.1644,5.0507,7.7963,39.67,107.03,944.01,3.2216,10.768,1.2549,5.3851,1.4106,7.6578,107.827,6.3450,1.0890,31.613,31.174,0.5090,2.14,0.6776
MAR2008,1.0845,1.7090,1.0029,7.0722,4.8043,7.7813,40.15,100.76,981.73,3.1841,10.733,1.2494,5.1495,1.3843,7.9921,107.684,6.0613,1.0126,30.577,31.404,0.4996,2.14,0.6443
APR2008,1.0742,1.6863,1.0137,6.9997,4.7354,7.7910,39.97,102.68,986.86,3.1604,10.515,1.2663,5.0541,1.3643,7.7585,107.779,5.9470,1.0138,30.356,31.558,0.5046,2.14,0.6348
MAY2008,1.0535,1.6585,0.9993,6.9725,4.7963,7.7988,42.00,104.36,1034.13,3.2127,10.438,1.2858,5.0571,1.3659,7.6076,107.771,5.9887,1.0448,30.589,32.026,0.5089,2.14,0.6429
JUN2008,1.0514,1.6179,1.0166,6.8993,4.7926,7.8073,42.76,106.92,1031.49,3.2568,10.327,1.3130,5.1351,1.3679,7.9367,107.763,6.0249,1.0371,30.371,33.175,0.5085,2.14,0.6426
JUL2008,1.0395,1.5900,1.0130,6.8355,4.7335,7.8001,42.70,106.85,1015.05,3.2476,10.209,1.3252,5.1058,1.3591,7.6114,107.609,6.0015,1.0283,30.414,33.471,0.5028,2.14,0.6346
AUG2008,1.1344,1.6127,1.0535,6.8462,4.9894,7.8076,42.91,109.36,1046.11,3.3300,10.115,1.4102,5.3331,1.4052,7.6651,107.718,6.2845,1.0841,31.221,33.820,0.5301,2.14,0.6687
SEP2008,1.2243,1.8031,1.0582,6.8307,5.2020,7.7854,45.53,106.57,1134.87,3.4405,10.663,1.4839,5.6958,1.4297,8.0753,107.823,6.6816,1.1102,31.992,34.238,0.5564,2.14,0.6973
OCT2008,1.4556,2.1810,1.1847,6.8358,5.6253,7.7588,48.62,99.97,1329.19,3.5222,12.659,1.6455,6.4973,1.4784,9.7800,108.166,7.4435,1.1429,32.703,34.421,0.5930,2.14,0.7538
NOV2008,1.5172,2.2704,1.2171,6.8281,5.8448,7.7507,48.85,96.97,1398.70,3.5843,13.119,1.7655,6.9290,1.5076,10.1112,109.959,7.9612,1.1910,33.103,35.035,0.6524,2.14,0.7847
DEC2008,1.4883,2.3954,1.2337,6.8539,5.5239,7.7504,48.51,91.28,1361.57,3.5483,13.417,1.7867,7.0159,1.4769,9.9227,111.446,8.0124,1.1404,33.156,35.009,0.6732,2.14,0.7401
JAN2009,1.4806,2.3079,1.2248,6.8360,5.6284,7.7563,48.70,90.12,1354.40,3.5705,13.884,1.8149,6.9566,1.4913,9.9076,113.769,8.1044,1.1267,33.370,34.871,0.6915,2.14,0.7551
FEB2009,1.5375,2.3230,1.2452,6.8363,5.8226,7.7534,49.25,92.92,1439.58,3.6345,14.607,1.9380,6.8710,1.5178,9.9773,114.103,8.5455,1.1639,34.239,35.309,0.6934,2.14,0.7814
MAR2009,1.5002,2.3161,1.2645,6.8360,5.7137,7.7530,51.13,97.86,1449.62,3.6726,14.647,1.8741,6.7855,1.5296,9.9536,114.284,8.5727,1.1555,34.304,35.737,0.7057,2.14,0.7663
APR2009,1.3970,2.2027,1.2242,6.8306,5.6437,7.7501,49.97,98.92,1332.13,3.6053,13.404,1.7455,6.6557,1.5028,8.9644,117.307,8.2297,1.1481,33.601,35.404,0.6797,2.14,0.7576
MAY2009,1.3075,2.0689,1.1528,6.8235,5.4585,7.7510,48.51,96.64,1254.35,3.5218,13.190,1.6628,6.4504,1.4611,8.3741,116.672,7.7602,1.1076,32.870,34.624,0.6486,2.14,0.7328
JUN2009,1.2461,1.9586,1.1264,6.8334,5.3123,7.7505,47.67,96.61,1259.29,3.5156,13.341,1.5659,6.3915,1.4522,8.0332,114.811,7.7670,1.0809,32.770,34.104,0.6109,2.14,0.7136
JUL2009,1.2424,1.9328,1.1229,6.8317,5.2837,7.7500,48.36,94.37,1259.67,3.5443,13.362,1.5518,6.3566,1.4493,7.9446,114.800,7.6843,1.0780,32.875,34.031,0.6106,2.14,0.7096
AUG2009,1.1972,1.8453,1.0872,6.8323,5.2174,7.7506,48.24,94.90,1239.00,3.5156,13.006,1.4780,6.0705,1.4420,7.9406,114.715,7.1562,1.0683,32.856,34.008,0.6049,2.14,0.7010
SEP2009,1.1598,1.8187,1.0816,6.8277,5.1065,7.7503,48.29,91.27,1211.86,3.4899,13.406,1.4192,5.9006,1.4220,7.5025,114.767,6.9941,1.0391,32.533,33.788,0.6126,2.14,0.6861
OCT2009,1.1029,1.7378,1.0547,6.8267,5.0220,7.7497,46.65,90.37,1173.74,3.4016,13.228,1.3539,5.6428,1.3974,7.4871,114.784,6.9550,1.0213,32.291,33.390,0.6168,2.14,0.6747
NOV2009,1.0873,1.7268,1.0593,6.8271,4.9914,7.7497,46.53,89.27,1162.84,3.3886,13.112,1.3697,5.6430,1.3888,7.5096,114.485,6.9267,1.0131,32.319,33.262,0.6024,2.14,0.6708
DEC2009,1.1085,1.7508,1.0537,6.8275,5.1060,7.7526,46.53,89.95,1163.31,3.4099,12.862,1.3949,5.7708,1.3962,7.4848,114.284,7.1384,1.0301,32.246,33.205,0.6163,2.14,0.6859
JAN2010,1.0957,1.7817,1.0438,6.8269,5.2177,7.7624,45.89,91.10,1138.19,3.3750,12.810,1.3768,5.7402,1.3965,7.4631,114.359,7.1534,1.0345,31.866,33.027,0.6189,3.61,0.7010
FEB2010,1.1291,1.8420,1.0572,6.8285,5.4414,7.7670,46.27,90.14,1155.66,3.4139,12.940,1.4341,5.9182,1.4122,7.6680,114.508,7.2683,1.0722,32.062,33.122,0.6403,4.29,0.7310
MAR2010,1.0961,1.7855,1.0229,6.8262,5.4837,7.7612,45.45,90.72,1136.08,3.3205,12.567,1.4213,5.9204,1.3994,7.4057,114.104,7.1630,1.0666,31.829,32.491,0.6641,4.29,0.7369
APR2010,1.0797,1.7568,1.0052,6.8256,5.5472,7.7627,44.44,93.45,1115.46,3.2044,12.240,1.4041,5.9169,1.3817,7.3444,113.829,7.2026,1.0690,31.477,32.269,0.6522,4.29,0.7453
MAY2010,1.1477,1.8142,1.0403,6.8275,5.9253,7.7856,45.77,91.97,1164.84,3.2509,12.726,1.4318,6.2872,1.3940,7.6515,113.703,7.7042,1.1295,31.835,32.365,0.6817,4.29,0.7960
JUN2010,1.1711,1.8042,1.0376,6.8184,6.0873,7.7880,46.50,90.81,1214.11,3.2633,12.710,1.4438,6.4728,1.3976,7.6356,113.561,7.8261,1.1255,32.199,32.446,0.6771,4.29,0.8181
JUL2010,1.1382,1.7689,1.0422,6.7762,5.8179,7.7753,46.76,87.50,1203.81,3.2035,12.804,1.3996,6.2633,1.3756,7.5212,112.957,7.4066,1.0530,32.094,32.290,0.6534,4.29,0.7806
AUG2010,1.1106,1.7589,1.0404,6.7873,5.7745,7.7702,46.46,85.37,1179.52,3.1516,12.766,1.3986,6.1481,1.3551,7.2877,112.397,7.3015,1.0388,31.870,31.717,0.6385,4.29,0.7750
SEP2010,1.0641,1.7180,1.0330,6.7396,5.6867,7.7643,45.87,84.36,1159.93,3.1032,12.798,1.3721,6.0431,1.3333,7.1100,112.303,7.0397,1.0002,31.641,30.777,0.6414,4.29,0.7632
OCT2010,1.0185,1.6837,1.0179,6.6678,5.3638,7.7580,44.35,81.73,1121.94,3.0989,12.439,1.3298,5.8322,1.3026,6.9087,111.667,6.6770,0.9686,30.813,29.921,0.6302,4.29,0.7194
NOV2010,1.0112,1.7131,1.0129,6.6538,5.4617,7.7546,44.93,82.52,1129.62,3.1132,12.338,1.2948,5.9645,1.2987,6.9749,111.516,6.8201,0.9847,30.318,29.869,0.6265,4.29,0.7324
DEC2010,1.0072,1.6955,1.0081,6.6497,5.6366,7.7736,45.10,83.34,1145.48,3.1283,12.390,1.3314,5.9833,1.3063,6.8237,111.008,6.8524,0.9689,29.901,30.086,0.6412,4.29,0.7564
