CODE,COUNTRY,GR6096,DENS60,COAST65,POPGR6090,EAST,DEF60,LGDP60,EDUC60,LIFE60
HKG,Hong Kong,0.0594,-1.13320373343773,8.22424206183161,0.02176398,1,0.004,7.717351272,0.016799999,66
IND,India,0.0246,1.90529646617002,5.47917284918026,0.02211792,0,0.028000001,6.64118217,0.021,42.5
IDN,Indonesia,0.0445,2.93558410071771,4.34604123225413,0.02188637,1,0.041999999,6.458338283,0.0174,41.5
ISR,Israel,0.0303,2.27767745728786,4.8876047643941,0.02606402,0,0.064000003,8.153925132,0.036800001,71.7
JPN,Japan,0.0467,1.38664429988418,5.6101162761072,0.00946822,1,0.01,7.990915463,0.0317,67.7
JOR,Jordan,0.014,3.96016724674861,3.09919233449119,0.02837903,0,0.165999994,7.057897937,0.032900002,47.2
KOR,Korea,0.0636,1.37338641081911,5.74199787495951,0.01859395,1,0.050999999,6.80682936,0.0352,54.2
MYS,Malaysia,0.0406,3.6978986585341,3.52504878230533,0.02618718,1,0.02,7.258412151,0.028100001,54.3
NPL,Nepal,0.0158,2.67738478679132,0,0.02389093,0,0.005,6.442540166,0.0048,38.5
PAK,Pakistan,0.024,2.73641087487117,4.22864159916619,0.03055639,0,0.026000001,6.458338283,0.0154,43.3
PHL,Philippines,0.013,2.38125763164535,4.68709573538676,0.02749588,1,0.013,7.032624261,0.0233,53.1
SGP,Singapore,0.0691,-0.985372893061599,8.03364772396899,0.01685737,1,0.003,7.413367336,0.033399999,63.7
SYR,Syria,0.029,3.69619761096326,4.15353615774665,0.0334147,0,0.075000003,7.362010551,0.030400001,50
OAN,Taiwan,0.0658,1.09503924628133,5.97239512595048,0.02191896,1,0.100000001,7.135687347,0.0142,65.4
THA,Thailand,0.0515,2.96309543902769,4.47122042014341,0.02566693,1,0.025,6.849066283,0.018100001,52.7
AUT,Austria,0.0289,2.46283996143875,4.21631260627957,0.00236847,0,0.012,8.545391846,0.024800001,68.8
DNK,Denmark,0.024,2.22594160143371,4.72860477703313,0.00371441,0,0.028000001,8.818778169,0.0339,72.2
FRA,France,0.0263,2.48835071219056,4.49649061279205,0.00707771,0,0.059,8.669570872,0.0231,70.4
DEU,Germany,0.0257,1.84067660946267,4.80080522378164,0.00290832,0,0.045000002,8.790269111,0.0211,69.4
GRC,Greece,0.0343,2.73953594818148,4.24946948160956,0.00687303,0,0.041000001,7.646353722,0.0137,68.8
IRL,Ireland,0.0373,3.19082196962562,3.77188239136591,0.00897543,0,0.014,8.105005538,0.0286,69.7
ITA,Italy,0.0298,1.76777410647754,5.14139626932264,0.0047319,0,0.032000002,8.425954711,0.030300001,69.4
NLD,Netherlands,0.024,1.08339712286163,5.87100787797682,0.00853974,0,0.044,8.712266432,0.041200001,73.3
NOR,Norway,0.0318,4.45065210534408,3.15332089402792,0.00548178,0,0.034000002,8.632305999,0.034899998,73.4
ESP,Spain,0.0355,2.79723865099238,4.60480902077579,0.00882992,0,0.02,8.046549357,0.0097,68.9
SWE,Sweden,0.0213,4.00786758786849,3.80406823872023,0.00382769,0,0.041000001,8.93485034,0.041200001,73.2
TUR,Turkey,0.0257,3.33139704140288,4.0577882829768,0.02430635,0,0.050000001,7.391415235,0.026799999,50.5
GBR,United Kingdom,0.0203,1.52892175936965,5.2987382779524,0.00276849,0,0.063000001,8.828054537,0.034499999,70.8
AUS,Australia,0.0218,6.60813475934965,1.98120655128402,0.016453,0,0.028000001,8.959568654,0.0217,70.7
NZL,New Zealand,0.0107,4.72721612255747,2.40937997945005,0.01187142,0,0.018999999,8.982184279,0.025599999,71
PNG,Papua New Guinea,0.0084,5.4632579115667,1.73887649090965,0.02344454,0,0.014,7.118826249,0.0233,41
