loan,hh,village,religion,roof,rooms,beds,electricity,ownership,leader
0,1068,1,hindu,stone,5,0,1,OWNED,0
0,1069,1,hindu,other,3,1,1,OWNED,0
0,1070,1,hindu,other,3,0,1,OWNED,0
0,1071,1,hindu,other,2,0,1,OWNED,0
0,1072,1,hindu,rcc,7,0,1,OWNED,0
0,1073,1,hindu,other,3,0,1,RENTED,0
0,1074,1,hindu,other,3,0,1,OWNED,0
0,1075,1,hindu,other,2,0,1,OWNED,0
0,1076,1,hindu,other,2,0,1,OWNED,0
0,1077,1,hindu,other,2,0,1,OWNED,1
0,1078,1,hindu,tile,3,0,1,OWNED,1
0,1079,1,hindu,sheet,2,1,0,GOVERNMENT,0
0,1080,1,hindu,other,2,0,1,OWNED,0
0,1081,1,islam,other,2,0,1,OWNED,0
0,1082,1,hindu,other,4,0,1,SHARE_OWNED,0
0,1083,1,hindu,other,3,0,1,SHARE_OWNED,0
0,1084,1,hindu,sheet,1,0,1,OWNED,0
0,1085,1,hindu,other,2,1,1,OWNED,0
0,1086,1,hindu,rcc,4,0,1,OWNED,0
0,1087,1,hindu,stone,3,0,1,OWNED,1
1,1088,1,hindu,other,3,0,1,OWNED,0
0,1089,1,hindu,stone,2,1,1,OWNED,0
0,1090,1,hindu,stone,2,0,1,OWNED,0
0,1091,1,hindu,other,2,0,1,OWNED,1
0,1092,1,hindu,other,2,0,1,OWNED,0
0,1093,1,hindu,other,2,1,1,OWNED,0
0,1094,1,hindu,other,3,1,1,OWNED,0
0,1095,1,hindu,rcc,5,0,1,OWNED,0
1,1096,1,hindu,other,2,0,1,OWNED,0
1,1097,1,hindu,sheet,1,0,1,OWNED,0
0,1098,1,hindu,rcc,4,0,1,OWNED,0
0,1099,1,hindu,tile,1,0,1,OWNED,0
0,1100,1,hindu,stone,3,0,1,OWNED,0
0,1101,1,hindu,other,3,1,1,OWNED,0
0,1102,1,hindu,tile,2,0,1,OWNED,0
1,1103,1,hindu,sheet,1,1,1,OWNED,0
1,1104,1,hindu,stone,3,2,1,OWNED,0
0,1105,1,hindu,rcc,5,1,1,OWNED,0
0,1106,1,hindu,other,5,1,0,OWNED,0
1,1107,1,hindu,other,4,0,1,OWNED,0
1,1108,1,hindu,stone,2,1,1,OWNED,0
0,1109,1,hindu,other,2,0,0,OWNED,0
1,1110,1,hindu,sheet,2,0,1,OWNED,0
0,1111,1,hindu,other,2,0,1,OWNED,0
0,1112,1,hindu,sheet,2,0,1,OWNED,0
0,1113,1,hindu,other,2,0,1,OWNED,0
1,1114,1,hindu,other,4,0,1,OWNED,0
0,1115,1,hindu,other,4,0,1,OWNED,0
0,1116,1,hindu,stone,2,0,1,OWNED,0
1,1117,1,hindu,tile,2,0,1,OWNED,0
0,1118,1,hindu,rcc,2,2,1,OWNED,0
0,1119,1,hindu,rcc,3,0,1,OWNED,0
0,1120,1,hindu,other,2,0,1,OWNED,0
0,1121,1,hindu,other,1,0,1,OWNED,0
0,1122,1,hindu,sheet,1,0,1,OWNED,0
0,1123,1,hindu,stone,2,0,1,OWNED,0
1,1124,1,hindu,other,2,0,1,OWNED,0
0,1125,1,hindu,stone,2,0,1,OWNED,1
0,1126,1,hindu,other,1,0,1,OWNED,0
0,1127,1,hindu,other,2,0,1,OWNED,0
0,1128,1,hindu,other,1,0,1,OWNED,0
0,1129,1,hindu,other,2,0,1,OWNED,0
0,1130,1,hindu,other,1,0,0,OWNED,0
0,1131,1,hindu,other,2,0,1,OWNED,0
0,1132,1,hindu,tile,1,1,1,OWNED,1
0,1133,1,hindu,sheet,2,0,1,OWNED,1
0,1134,1,hindu,tile,1,0,1,OWNED,0
0,1135,1,hindu,sheet,1,0,1,OWNED,1
0,1136,1,hindu,tile,3,0,1,OWNED,0
0,1137,1,hindu,tile,1,0,1,SHARE_OWNED,0
0,1138,1,hindu,sheet,1,0,0,OWNED,0
1,1139,1,hindu,tile,1,0,0,OWNED,1
0,1140,1,hindu,tile,1,0,1,OWNED,0
0,1141,1,hindu,other,1,0,0,OWNED,0
0,1142,1,hindu,sheet,1,1,0,OWNED,0
0,1143,1,hindu,sheet,1,0,1,OWNED,0
0,1144,1,hindu,tile,2,0,1,OWNED,0
0,1145,1,hindu,sheet,1,0,1,OWNED,0
0,1146,1,hindu,sheet,2,0,1,OWNED,0
0,1147,1,hindu,sheet,2,0,1,OWNED,0
0,1148,1,hindu,other,1,0,1,OWNED,0
0,1149,1,hindu,rcc,2,1,0,RENTED,0
0,1150,1,hindu,tile,1,0,1,OWNED,0
0,1151,1,hindu,other,2,1,1,OWNED,0
1,1152,1,hindu,sheet,1,0,1,OWNED,0
0,1153,1,hindu,other,1,0,0,OWNED,0
0,1154,1,hindu,stone,2,0,1,OWNED,0
0,1155,1,hindu,other,1,0,1,OWNED,0
0,1156,1,hindu,stone,3,1,1,OWNED,1
0,1157,1,hindu,stone,3,1,1,OWNED,0
0,1158,1,hindu,tile,2,0,1,OWNED,0
0,1159,1,hindu,stone,2,0,1,OWNED,0
0,1160,1,hindu,tile,2,2,1,OWNED,0
0,1161,1,hindu,stone,7,3,1,SHARE_OWNED,0
0,1162,1,hindu,stone,2,0,1,OWNED,1
1,1163,1,hindu,sheet,2,1,1,GOVERNMENT,0
0,1164,1,hindu,tile,2,0,1,OWNED,0
0,1165,1,hindu,stone,2,0,1,OWNED,0
0,1166,1,hindu,sheet,2,0,1,OWNED,0
0,1167,1,hindu,sheet,2,1,1,OWNED,0
0,1168,1,hindu,sheet,1,0,1,OWNED,0
0,1169,1,hindu,stone,1,1,1,OWNED,0
0,1170,1,hindu,sheet,1,0,1,OWNED,0
0,1171,1,hindu,sheet,2,0,1,OWNED,0
0,1172,1,hindu,stone,2,2,1,OWNED,1
0,1173,1,hindu,other,2,0,1,OWNED,0
0,1174,1,hindu,stone,2,0,0,OWNED,0
0,1175,1,hindu,sheet,3,0,0,OWNED,0
0,1176,1,hindu,stone,2,1,1,OWNED,1
1,1177,1,hindu,rcc,2,1,1,OWNED,1
0,1178,1,hindu,tile,1,0,1,OWNED,1
0,1179,1,hindu,stone,2,1,1,OWNED,0
0,1180,1,hindu,sheet,3,2,1,OWNED,0
1,1181,1,hindu,tile,2,0,1,OWNED,0
0,1182,1,hindu,sheet,1,0,1,OWNED,0
1,2001,2,hindu,tile,2,0,1,OWNED,1
0,2002,2,hindu,sheet,2,1,1,RENTED,0
0,2003,2,hindu,sheet,1,3,1,OWNED,0
1,2004,2,hindu,tile,2,1,0,OWNED,0
0,2005,2,hindu,tile,2,5,1,OWNED,0
0,2006,2,hindu,sheet,2,6,1,OWNED,0
0,2007,2,hindu,sheet,4,1,1,OWNED,1
0,2008,2,hindu,sheet,3,1,1,OWNED,0
1,2009,2,hindu,stone,3,1,1,OWNED,0
0,2010,2,hindu,sheet,3,1,1,OWNED,0
0,2011,2,hindu,sheet,4,2,1,OWNED,0
0,2012,2,hindu,tile,2,4,1,OWNED,0
0,2013,2,hindu,sheet,1,1,1,OWNED,0
0,2014,2,hindu,sheet,2,1,1,OWNED,0
0,2015,2,hindu,sheet,3,5,1,RENTED,0
0,2016,2,hindu,sheet,1,0,1,RENTED,0
0,2017,2,hindu,sheet,2,1,1,OWNED,0
0,2018,2,hindu,sheet,3,5,1,OWNED,0
0,2019,2,hindu,sheet,3,0,1,OWNED,0
0,2020,2,hindu,sheet,1,2,1,OWNED,0
0,2021,2,hindu,stone,3,1,1,OWNED,0
0,2022,2,hindu,sheet,1,4,1,OWNED,0
1,2023,2,hindu,rcc,3,2,1,OWNED,0
0,2024,2,hindu,tile,1,2,1,OWNED,0
0,2025,2,hindu,tile,3,0,1,OWNED,0
0,2026,2,hindu,sheet,2,4,1,OWNED,0
0,2027,2,hindu,rcc,3,0,1,OWNED,0
0,2028,2,hindu,sheet,4,1,1,OWNED,0
0,2029,2,hindu,stone,2,2,1,OWNED,0
0,2030,2,hindu,rcc,6,0,1,OWNED,0
0,2031,2,hindu,sheet,2,1,1,OWNED,0
0,2032,2,hindu,rcc,5,3,1,OWNED,0
0,2033,2,hindu,sheet,3,5,1,OWNED,0
0,2034,2,hindu,tile,2,6,0,OWNED,0
0,2035,2,hindu,sheet,3,6,1,OWNED,0
0,2036,2,hindu,sheet,3,1,1,OWNED,1
0,2037,2,hindu,stone,2,5,1,OWNED,0
0,2038,2,hindu,stone,3,5,1,OWNED,0
0,2039,2,hindu,sheet,2,2,1,OWNED,0
0,2040,2,hindu,sheet,1,0,1,OWNED,0
0,2041,2,hindu,sheet,2,2,1,OWNED,0
1,2042,2,hindu,stone,3,4,1,OWNED,1
0,2043,2,hindu,tile,1,2,0,OWNED,0
0,2044,2,hindu,tile,1,7,1,OWNED,0
0,2045,2,hindu,tile,2,3,1,OWNED,0
1,2046,2,hindu,stone,2,2,1,OWNED,1
1,2047,2,hindu,tile,2,2,1,OWNED,0
0,2048,2,hindu,tile,1,2,1,OWNED,0
0,2049,2,hindu,tile,1,1,1,OWNED,0
0,2050,2,hindu,tile,2,4,1,OWNED,0
0,2051,2,hindu,tile,2,3,1,OWNED,1
0,2052,2,hindu,sheet,1,1,1,OWNED,0
1,2053,2,hindu,tile,2,4,1,OWNED,0
0,2054,2,hindu,tile,3,4,1,OWNED,1
0,2055,2,hindu,tile,1,0,1,OWNED,1
0,2056,2,hindu,stone,2,0,1,OWNED,0
0,2057,2,hindu,tile,1,1,1,OWNED,1
0,2058,2,hindu,sheet,2,4,1,OWNED,0
0,2059,2,hindu,sheet,2,2,1,OWNED,0
0,2060,2,hindu,thatch,1,1,1,OWNED,0
1,2061,2,hindu,sheet,1,1,1,OWNED,0
0,2062,2,hindu,sheet,1,2,1,OWNED,0
1,2063,2,hindu,thatch,1,1,1,OWNED,0
0,2064,2,hindu,tile,1,2,1,OWNED,0
0,2065,2,hindu,sheet,2,4,1,OWNED,0
0,2066,2,hindu,tile,2,1,1,OWNED,0
0,2067,2,hindu,tile,2,4,1,OWNED,1
0,2068,2,hindu,sheet,2,3,1,OWNED,0
0,2069,2,hindu,tile,2,0,0,OWNED,1
0,2070,2,hindu,sheet,2,3,1,OWNED,0
0,2071,2,hindu,sheet,1,1,0,OWNED,0
0,2072,2,hindu,sheet,2,2,1,OWNED,0
0,2073,2,hindu,tile,2,2,1,OWNED,0
0,2074,2,hindu,sheet,4,2,1,OWNED,0
0,2075,2,hindu,sheet,1,0,0,OWNED,0
0,2076,2,hindu,sheet,2,3,1,OWNED,0
0,2077,2,hindu,sheet,0,0,1,OWNED,0
0,2078,2,hindu,tile,2,2,1,OWNED,0
0,2079,2,hindu,stone,3,3,1,OWNED,0
0,2080,2,hindu,sheet,2,0,1,OWNED,0
0,2081,2,hindu,tile,2,1,1,OWNED,0
0,2082,2,hindu,tile,1,0,0,OWNED,0
0,2083,2,hindu,tile,2,2,1,OWNED,0
0,2084,2,hindu,sheet,2,1,1,RENTED,0
0,2085,2,hindu,tile,2,1,1,OWNED,0
0,2086,2,hindu,tile,2,0,1,OWNED,0
0,2087,2,hindu,tile,2,1,1,OWNED,0
0,2088,2,hindu,sheet,4,5,1,OWNED,0
0,2089,2,hindu,sheet,1,3,1,GOVERNMENT,0
0,2090,2,hindu,tile,2,0,1,OWNED,0
0,2091,2,hindu,tile,2,0,1,OWNED,0
0,2092,2,hindu,sheet,2,2,1,OWNED,0
0,2093,2,hindu,sheet,1,0,1,OWNED,0
1,2094,2,hindu,stone,2,0,1,OWNED,0
0,2095,2,hindu,sheet,1,2,0,OWNED,0
0,2096,2,hindu,tile,2,0,1,OWNED,0
0,2097,2,hindu,sheet,1,1,1,OWNED,0
0,2098,2,hindu,tile,2,2,1,OWNED,0
0,2099,2,hindu,tile,1,4,1,OWNED,0
0,2100,2,hindu,tile,1,1,1,OWNED,0
0,2101,2,hindu,sheet,2,1,1,OWNED,0
1,2102,2,hindu,stone,6,8,1,OWNED,0
0,2103,2,hindu,other,3,0,1,OWNED,0
0,2104,2,hindu,sheet,2,0,1,OWNED,0
0,2105,2,hindu,stone,2,1,1,OWNED,0
0,2106,2,hindu,other,1,6,1,OWNED,0
0,2107,2,hindu,tile,2,0,1,OWNED,0
0,2108,2,hindu,tile,1,0,1,OWNED,0
0,2109,2,hindu,tile,2,1,0,OWNED,0
0,2110,2,hindu,stone,2,2,1,OWNED,1
0,2111,2,hindu,rcc,1,2,1,OWNED,0
0,2112,2,hindu,rcc,1,3,1,OWNED,0
1,2113,2,hindu,rcc,2,2,1,RENTED,0
0,2114,2,hindu,sheet,1,1,1,RENTED,0
0,2115,2,hindu,sheet,2,1,1,OWNED,0
0,2116,2,hindu,stone,2,1,1,OWNED,0
1,2117,2,hindu,tile,2,0,1,OWNED,0
0,2118,2,hindu,stone,2,0,1,OWNED,0
0,2119,2,hindu,other,2,0,1,OWNED,0
1,2120,2,hindu,sheet,4,0,1,OWNED,0
0,2121,2,hindu,stone,2,1,1,OWNED,0
0,2122,2,hindu,sheet,1,2,1,RENTED,0
0,2123,2,hindu,rcc,2,6,1,OWNED,1
0,2124,2,hindu,stone,3,2,1,OWNED,0
0,2125,2,hindu,other,1,0,1,OWNED,0
0,2126,2,hindu,other,1,0,1,OWNED,0
0,2127,2,hindu,sheet,1,0,1,OWNED,0
1,2128,2,hindu,sheet,1,1,1,OWNED,1
0,2129,2,hindu,stone,3,6,1,OWNED,0
0,2130,2,hindu,other,2,0,1,OWNED,1
0,2131,2,hindu,sheet,1,0,1,OWNED,0
0,2132,2,hindu,sheet,2,2,1,OWNED,0
0,2133,2,hindu,rcc,3,0,1,OWNED,0
0,2134,2,hindu,sheet,1,1,1,OWNED,0
0,2135,2,hindu,sheet,2,0,1,OWNED,0
1,2136,2,hindu,sheet,1,3,1,OWNED,0
0,2137,2,hindu,stone,3,5,1,OWNED,0
0,2138,2,hindu,tile,2,1,1,OWNED,0
1,2139,2,hindu,rcc,5,2,1,OWNED,0
0,2140,2,hindu,stone,4,4,1,OWNED,0
0,2141,2,hindu,stone,2,2,1,OWNED,1
0,2142,2,hindu,stone,4,5,1,OWNED,0
0,2143,2,hindu,other,1,0,1,OWNED,0
0,2144,2,hindu,other,2,1,1,OWNED,0
0,2145,2,hindu,sheet,4,2,1,OWNED,1
0,2146,2,hindu,sheet,1,0,1,OWNED,0
0,2147,2,hindu,stone,1,2,1,OWNED,0
0,2148,2,hindu,other,1,0,1,OWNED,0
0,2149,2,hindu,sheet,2,2,1,GOVERNMENT,0
0,2150,2,hindu,other,3,1,1,OWNED,0
0,2151,2,hindu,other,1,0,1,OWNED,0
1,2152,2,hindu,other,1,2,1,OWNED,0
1,2153,2,hindu,sheet,2,0,1,OWNED,0
1,2154,2,hindu,other,2,2,1,RENTED,0
0,2155,2,hindu,other,4,2,1,OWNED,0
1,2156,2,hindu,tile,3,2,1,RENTED,0
0,2157,2,hindu,sheet,2,0,1,OWNED,0
0,2158,2,hindu,other,1,6,1,OWNED,0
0,2159,2,hindu,stone,2,4,1,OWNED,0
1,2160,2,hindu,rcc,3,2,1,OWNED,0
0,2161,2,hindu,other,2,2,1,OWNED,0
0,2162,2,hindu,sheet,2,1,0,OWNED,1
1,2163,2,hindu,sheet,1,0,1,OWNED,0
1,2164,2,hindu,tile,3,2,1,OWNED,0
0,2165,2,hindu,tile,2,0,1,OWNED,0
0,2166,2,hindu,sheet,1,0,1,OWNED,0
0,2167,2,hindu,sheet,1,0,1,OWNED,0
0,2168,2,hindu,tile,1,0,1,OWNED,0
0,2169,2,hindu,stone,3,2,1,OWNED,0
0,2170,2,hindu,rcc,3,4,1,OWNED,0
0,2171,2,hindu,tile,3,1,1,OWNED,0
0,2172,2,hindu,sheet,1,0,1,OWNED,0
1,2173,2,hindu,sheet,1,1,1,OWNED,1
0,2174,2,hindu,tile,1,0,0,OWNED,1
0,2175,2,hindu,sheet,1,0,1,OWNED,0
0,2176,2,hindu,stone,2,1,1,OWNED,0
0,2177,2,hindu,tile,0,0,1,OWNED,0
1,2178,2,hindu,tile,0,0,1,OWNED,0
0,2179,2,hindu,rcc,3,2,1,OWNED,0
0,2180,2,hindu,tile,2,0,1,OWNED,0
0,2181,2,hindu,stone,1,1,1,OWNED,0
1,2182,2,hindu,rcc,1,1,1,OWNED,0
0,2183,2,hindu,stone,2,1,1,OWNED,0
0,2184,2,hindu,stone,2,1,1,OWNED,0
0,2185,2,hindu,tile,0,0,1,OWNED,0
0,2186,2,hindu,sheet,0,0,1,OWNED,0
0,2187,2,hindu,sheet,3,0,1,OWNED,0
0,2188,2,hindu,rcc,2,1,1,OWNED,1
1,2189,2,hindu,rcc,2,2,1,OWNED,1
1,2190,2,hindu,sheet,1,0,1,OWNED,0
0,2191,2,hindu,tile,1,0,1,OWNED,0
0,2192,2,hindu,rcc,2,1,1,OWNED,0
0,2193,2,hindu,rcc,2,1,1,OWNED,0
0,2194,2,hindu,tile,2,1,1,OWNED,0
0,2195,2,hindu,rcc,2,2,1,OWNED,0
0,3001,3,hindu,tile,2,3,1,OWNED,1
0,3002,3,hindu,tile,3,2,1,OWNED,0
1,3003,3,hindu,stone,1,1,1,OWNED,0
0,3004,3,hindu,stone,2,3,1,OWNED,0
0,3005,3,hindu,stone,3,5,1,OWNED,1
0,3006,3,hindu,rcc,5,3,1,OWNED,0
0,3007,3,hindu,rcc,2,1,1,OWNED,0
0,3008,3,hindu,rcc,1,1,1,OWNED,0
0,3009,3,hindu,tile,2,0,1,OWNED,0
0,3010,3,hindu,tile,2,2,1,OWNED,0
0,3011,3,hindu,stone,4,4,1,OWNED,1
0,3012,3,hindu,stone,2,2,1,OWNED,0
0,3013,3,hindu,sheet,2,2,1,RENTED,0
0,3014,3,hindu,sheet,2,0,1,OWNED,0
0,3015,3,hindu,sheet,3,3,1,OWNED,0
0,3016,3,hindu,sheet,3,2,1,OWNED,0
0,3017,3,hindu,rcc,5,2,1,OWNED,0
0,3018,3,hindu,stone,3,2,1,OWNED,0
0,3019,3,hindu,sheet,2,0,1,RENTED,0
0,3020,3,hindu,sheet,2,2,1,RENTED,0
0,3021,3,hindu,stone,3,1,1,OWNED,0
0,3022,3,hindu,sheet,2,2,1,RENTED,0
0,3023,3,hindu,stone,2,2,1,OWNED,0
0,3024,3,hindu,stone,2,2,1,OWNED,1
0,3025,3,hindu,stone,3,2,1,RENTED,1
0,3026,3,hindu,rcc,2,2,1,OWNED,0
0,3027,3,hindu,stone,3,2,1,OWNED,0
0,3028,3,hindu,stone,2,2,1,OWNED,1
0,3029,3,hindu,sheet,5,5,1,OWNED,0
0,3030,3,hindu,stone,2,5,1,OWNED,1
0,3031,3,hindu,other,1,7,1,OWNED,1
0,3032,3,hindu,rcc,4,8,1,OWNED,0
0,3033,3,hindu,other,2,10,1,OWNED,1
0,3034,3,hindu,stone,3,5,1,OWNED,1
0,3035,3,hindu,stone,4,12,1,OWNED,0
0,3036,3,hindu,stone,2,5,1,OWNED,0
0,3037,3,hindu,rcc,3,2,1,RENTED,0
0,3038,3,hindu,stone,2,3,1,OWNED,0
0,3039,3,hindu,stone,3,4,1,OWNED,0
0,3040,3,hindu,rcc,2,5,1,OWNED,0
0,3041,3,hindu,stone,3,1,1,OWNED,0
0,3042,3,hindu,stone,2,2,1,OWNED,0
0,3043,3,hindu,stone,6,12,1,OWNED,1
0,3044,3,hindu,stone,4,4,1,OWNED,0
0,3045,3,hindu,rcc,1,0,1,RENTED,0
0,3046,3,hindu,sheet,4,0,1,OWNED,0
0,3047,3,hindu,other,2,4,1,OWNED,0
0,3048,3,hindu,stone,1,2,1,OWNED,0
0,3049,3,hindu,sheet,4,1,1,OWNED,0
0,3050,3,hindu,rcc,2,2,1,OWNED,0
0,3051,3,hindu,rcc,2,4,1,OWNED,0
0,3052,3,hindu,other,1,2,1,OWNED,0
0,3053,3,hindu,rcc,5,7,1,OWNED,0
0,3054,3,hindu,stone,1,2,1,OWNED,0
0,3055,3,hindu,rcc,4,2,1,OWNED,0
0,3056,3,hindu,sheet,1,4,1,OWNED,0
0,3057,3,hindu,stone,5,4,1,OWNED,0
0,3058,3,hindu,other,2,1,1,OWNED,0
0,3059,3,hindu,stone,2,2,1,OWNED,0
0,3060,3,hindu,other,1,5,1,OWNED,0
0,3061,3,hindu,tile,2,4,1,OWNED,0
0,3062,3,hindu,other,1,0,1,RENTED,0
0,3063,3,hindu,rcc,4,3,1,OWNED,1
0,3064,3,hindu,stone,2,3,1,RENTED,0
0,3065,3,hindu,stone,1,5,1,OWNED,0
0,3066,3,hindu,other,1,1,1,OWNED,0
0,3067,3,hindu,tile,1,0,1,OWNED,0
0,3068,3,hindu,tile,1,4,1,OWNED,0
0,3069,3,hindu,tile,2,2,1,OWNED,0
0,3070,3,hindu,stone,2,2,1,OWNED,0
0,3071,3,hindu,sheet,1,0,1,OWNED,0
0,3072,3,hindu,stone,3,2,1,OWNED,1
1,3073,3,hindu,stone,2,2,1,RENTED,0
0,3074,3,hindu,sheet,2,0,1,OWNED,1
0,3075,3,hindu,rcc,2,2,1,OWNED,1
0,3076,3,hindu,rcc,3,2,1,OWNED,1
0,3077,3,hindu,sheet,2,0,1,RENTED,1
1,3078,3,hindu,tile,2,2,1,OWNED,0
0,3079,3,hindu,sheet,3,2,1,OWNED,0
0,3080,3,hindu,rcc,4,10,1,OWNED,1
0,3081,3,hindu,sheet,2,3,1,OWNED,0
0,3082,3,hindu,sheet,2,2,1,OWNED,1
0,3083,3,hindu,stone,3,6,1,OWNED,1
0,3084,3,hindu,stone,5,3,1,OWNED,0
0,3085,3,hindu,rcc,6,8,1,OWNED,1
0,3086,3,hindu,sheet,3,6,1,OWNED,0
1,3087,3,hindu,stone,2,3,1,OWNED,1
0,3088,3,hindu,tile,2,0,1,OWNED,0
0,3089,3,hindu,tile,3,6,1,OWNED,0
0,3090,3,hindu,tile,2,1,1,OWNED,0
0,3091,3,hindu,tile,2,0,1,OWNED,0
1,3092,3,hindu,tile,4,1,1,OWNED,0
0,3093,3,hindu,tile,2,2,0,OWNED,0
0,3094,3,hindu,stone,2,1,1,OWNED,0
0,3095,3,hindu,stone,2,1,1,OWNED,0
1,3096,3,hindu,stone,1,0,1,OWNED,0
0,3097,3,hindu,sheet,4,3,1,OWNED,0
0,3098,3,hindu,stone,3,6,1,OWNED,1
0,3099,3,hindu,rcc,1,1,1,RENTED,0
1,3100,3,hindu,tile,2,3,0,SHARE_OWNED,0
0,3101,3,hindu,tile,2,4,1,OWNED,0
0,3102,3,hindu,tile,2,0,1,OWNED,0
0,3103,3,hindu,tile,5,3,1,OWNED,0
0,3104,3,hindu,tile,3,0,1,OWNED,0
0,3105,3,hindu,stone,2,0,1,OWNED,0
0,3106,3,hindu,stone,3,8,1,GOVERNMENT,1
0,3107,3,hindu,rcc,5,1,1,OWNED,0
0,3108,3,hindu,stone,3,2,1,OWNED,0
0,3109,3,hindu,stone,1,1,1,RENTED,0
0,3110,3,hindu,sheet,4,8,1,OWNED,0
0,3111,3,hindu,stone,3,3,1,RENTED,0
0,3112,3,hindu,rcc,4,8,1,OWNED,0
0,3113,3,hindu,stone,2,1,1,RENTED,0
0,3114,3,hindu,stone,3,2,1,OWNED,0
0,3115,3,hindu,sheet,2,1,1,RENTED,0
0,3116,3,hindu,stone,4,1,1,OWNED,0
0,3117,3,hindu,rcc,4,2,1,RENTED,0
0,3118,3,hindu,sheet,4,6,1,OWNED,0
0,3119,3,hindu,sheet,3,5,1,RENTED,0
0,3120,3,hindu,stone,2,0,1,OWNED,0
0,3121,3,hindu,rcc,4,6,1,OWNED,0
0,3122,3,hindu,rcc,4,2,1,SHARE_OWNED,0
0,3123,3,hindu,rcc,6,5,1,OWNED,0
0,3124,3,hindu,rcc,3,8,1,OWNED,0
0,3125,3,hindu,sheet,4,2,1,RENTED,0
0,3126,3,hindu,sheet,3,8,1,RENTED,0
0,3127,3,hindu,rcc,1,2,1,RENTED,0
0,3128,3,hindu,sheet,2,3,1,OWNED,0
0,3129,3,hindu,tile,2,2,1,RENTED,0
