"","chatter","current_events","travel","photo_sharing","uncategorized","tv_film","sports_fandom","politics","food","family","home_and_garden","music","news","online_gaming","shopping","health_nutrition","college_uni","sports_playing","cooking","eco","computers","business","outdoors","crafts","automotive","art","religion","beauty","parenting","dating","school","personal_fitness","fashion","small_business","spam","adult"
"o7jeqmb29",2,0,1,2,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"gyi2s5v4x",6,3,1,0,1,0,0,1,3,1,2,0,0,3,2,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5
"6nozu4ry3",3,1,2,5,0,1,2,4,1,0,0,0,4,0,0,2,1,0,4,0,1,0,0,0,7,0,0,2,0,0,0,0,1,0,0,0
"7f12yobjn",3,2,2,6,0,1,3,0,1,1,0,1,0,12,1,0,9,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"sh5aemold",6,1,0,3,1,0,2,5,1,1,1,1,6,1,1,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,1,3
"fl1s7845y",2,1,2,15,1,0,1,2,0,0,0,1,3,0,1,0,0,1,22,0,1,2,1,1,1,3,0,7,2,0,2,2,9,0,0,0
"3airpjzyf",5,0,1,2,1,1,1,1,0,1,1,2,0,0,4,1,0,0,5,1,0,1,0,0,0,0,0,4,0,1,1,0,2,1,0,0
"tlk3f7eox",6,2,1,3,0,1,1,0,0,1,1,0,2,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
"cytl5gjko",4,0,1,1,0,4,2,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
"y2ej1v9ap",2,2,2,1,0,0,1,0,4,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0
"l1tu6q4hr",5,0,1,1,0,1,2,8,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bmphf36rx",1,3,1,1,0,2,3,0,2,1,2,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0
"76gtqzenu",3,0,2,4,0,6,2,2,0,1,0,4,1,2,1,1,8,2,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0
"uxe5jvsmd",3,1,1,1,1,3,2,0,0,0,0,3,0,0,1,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"8zsk4r31o",3,1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"eqvnz1tm3",3,1,7,2,0,0,4,9,1,0,0,0,5,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,1,0,0
"wsdm7eu9t",5,1,2,3,0,1,0,1,0,1,1,1,0,0,5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"gxoycs9ar",14,2,1,5,0,1,1,1,0,1,1,0,2,1,8,0,0,2,2,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
"hnzmja58y",2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,6
"sehujdnlt",7,0,1,5,1,0,1,2,0,2,2,0,3,1,3,3,1,0,0,0,4,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0
"u1vfzh7k5",1,0,0,1,1,0,0,0,1,0,0,1,2,2,1,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0
"39ngbfx71",5,2,2,3,1,1,5,1,2,1,0,0,0,0,2,0,1,1,2,1,0,1,1,1,0,0,2,2,1,1,0,0,1,1,0,0
"nvfmbwyg9",7,1,0,7,2,0,2,1,3,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,0,1,1,2,0,1,0,0,0,0,0
"hi8qp7bz1",3,1,1,3,0,0,1,0,2,2,2,0,0,10,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,7
"jqs4feybt",6,2,0,9,0,1,3,0,2,0,0,0,2,0,0,2,1,1,3,0,1,0,1,0,0,0,2,0,1,0,2,3,0,0,0,0
"3axo81iy2",0,2,4,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"auw63d1mi",1,4,7,1,0,2,5,4,4,3,0,0,2,0,1,0,0,1,0,1,4,1,0,1,0,0,4,1,4,0,0,0,0,0,0,0
"9pybftuj1",8,3,4,4,1,0,0,3,0,0,0,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0
"n9xrm6dla",2,1,1,0,2,1,1,0,1,3,0,1,0,1,0,5,0,0,1,2,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0
"on85s31gy",5,0,0,1,1,1,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
"ucs7ae1h9",2,3,3,2,1,7,2,0,1,0,0,4,1,1,0,0,8,1,0,1,0,4,1,0,0,0,1,1,1,0,0,0,0,3,0,0
"af7eqjw8r",2,3,1,2,1,3,0,0,1,0,0,0,0,0,1,10,0,0,4,0,2,0,2,0,1,0,0,2,0,0,0,3,4,0,0,0
"xj94kucwq",9,2,0,5,2,3,0,0,0,0,0,0,0,7,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"zja6rk2ie",2,3,1,2,0,1,2,2,4,0,1,0,8,0,0,1,1,0,0,0,0,0,0,2,3,1,4,0,1,0,0,0,0,0,0,0
"ki8bl7zpw",2,0,0,0,0,4,0,1,3,0,0,0,1,0,2,0,2,0,1,1,0,0,0,1,0,5,0,2,0,0,1,1,2,0,0,0
"p94myqeo6",1,3,0,3,1,2,1,1,4,0,0,2,0,0,0,18,1,0,4,2,0,1,10,1,0,3,0,0,0,0,0,13,1,0,0,0
"al1fcn5st",6,2,3,4,2,0,1,0,1,1,3,3,0,1,2,8,0,1,1,0,1,2,4,0,0,0,1,0,1,10,4,4,1,0,0,0
"t5iv3am2s",3,1,0,3,0,1,6,1,2,3,0,4,1,0,2,10,0,2,2,1,1,0,4,2,1,0,9,1,6,3,5,5,1,1,0,0
"ind4h1by7",8,1,2,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0
"qm2lwcd9o",0,1,1,7,0,0,3,0,0,0,1,0,0,1,1,1,0,1,5,0,0,0,1,0,0,0,0,2,0,0,1,1,2,0,0,0
"pr8qd7xjv",2,4,0,2,1,3,1,1,1,1,1,1,1,0,3,13,0,1,4,0,1,0,1,0,1,0,0,0,2,0,0,6,1,0,0,6
"kj5ty2x84",5,1,1,5,1,0,3,2,3,1,2,2,0,0,5,3,0,0,8,0,0,0,2,0,0,0,1,4,0,1,0,4,3,2,0,0
"w61rayizs",5,5,3,4,1,0,4,7,1,1,1,1,5,0,2,7,1,0,5,1,0,0,2,1,6,1,1,1,2,0,1,2,2,0,0,0
"chytokxf3",3,2,1,3,0,2,3,0,4,3,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0
"b6728cmui",15,5,0,7,1,0,0,2,1,2,3,0,0,2,12,4,3,1,1,1,0,0,3,1,0,0,3,1,0,1,0,7,1,0,0,0
"vfx8milcu",2,2,0,0,1,1,2,6,2,2,2,1,5,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0
"yeomc1xqw",4,1,0,7,1,6,0,0,1,0,0,0,0,0,1,0,2,2,1,0,0,1,1,3,0,0,0,2,1,1,1,1,0,1,0,0
"6m4i2jlkh",7,1,0,3,0,3,1,10,2,1,0,1,10,0,3,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0
"cbryu4spk",3,1,1,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0
"mdeh6i5gz",8,0,1,3,1,0,1,1,0,2,0,1,0,1,6,1,0,1,5,0,0,2,1,2,0,0,2,1,1,1,2,0,3,0,0,0
"srqa12kol",7,3,0,2,0,1,0,0,0,0,1,0,0,0,5,1,0,0,1,1,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,4
"28f5tnpmb",5,3,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"egm37jnxs",1,0,0,2,2,2,0,0,1,1,0,0,0,4,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"wxjofvkt4",7,3,0,0,0,1,2,0,3,1,1,1,0,0,0,10,1,0,1,2,0,0,2,0,0,0,0,2,0,3,1,5,1,0,0,0
"k3ury7nvg",4,0,0,2,0,1,0,1,4,1,0,3,2,6,0,12,8,2,9,4,1,0,2,0,0,0,0,2,0,1,1,11,1,0,0,0
"xnrez39tb",2,2,0,0,0,1,2,4,1,1,2,1,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"qr78hfcsl",3,4,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1vx3tznus",13,1,2,13,2,0,1,0,2,0,0,1,0,3,7,10,4,4,1,2,0,0,4,0,0,0,0,1,2,0,0,8,2,1,0,0
"3kqawlutd",17,0,0,4,1,0,0,1,0,1,1,1,0,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0
"bmhqoy1p8",4,2,0,3,1,2,2,0,1,0,0,3,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
"ldq12wyrz",5,2,3,3,0,2,2,1,0,0,2,0,1,15,1,0,10,4,5,0,0,0,0,0,1,4,0,0,0,0,3,0,0,1,0,0
"1bjd3vw5h",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"dxb645cjm",6,3,2,3,0,0,1,1,0,1,2,1,0,9,0,0,3,1,2,0,1,0,0,0,5,3,0,0,0,0,0,1,0,0,0,5
"cbyh9d2q7",0,2,0,0,1,5,0,0,4,0,1,0,0,1,1,0,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"lni6dq45w",9,3,2,5,1,0,10,2,3,5,2,0,4,0,4,7,2,1,1,0,0,1,2,1,2,1,3,1,3,0,3,5,0,0,0,0
"9hpnvc6q2",8,0,0,3,2,0,3,3,2,0,1,1,4,0,6,0,0,1,0,0,0,0,1,1,5,0,0,0,1,0,1,0,0,0,0,1
"wnihdpl1c",3,4,5,2,0,2,2,6,1,2,0,2,1,0,0,0,3,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hj1unf8kp",2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"gqp5jbd6c",7,2,1,7,2,2,1,0,3,0,2,0,3,0,1,1,0,2,1,2,0,0,2,2,0,6,1,1,0,0,1,3,2,1,0,0
"k6boil97m",2,3,5,1,1,0,0,1,0,0,0,1,2,1,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,6
"47nchz8gb",3,1,1,0,1,0,2,0,1,1,1,1,5,0,1,20,0,2,5,2,2,0,1,1,1,1,1,0,0,0,0,12,0,0,0,0
"1jnwdtz3c",6,4,7,2,0,0,1,9,1,0,0,0,2,1,0,1,0,0,1,1,4,0,2,1,1,0,2,0,0,2,0,0,1,0,1,9
"tcvawjoqs",0,0,0,7,1,0,1,1,2,1,1,0,0,0,0,1,0,1,13,1,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0
"wjng62ar3",13,6,0,6,1,0,2,0,0,0,0,0,0,0,6,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gsdqjfyp3",9,1,4,8,0,0,0,7,1,1,0,3,2,1,2,1,1,0,1,2,4,1,0,0,2,0,0,0,2,0,0,1,0,1,0,0
"253mq6j4b",2,0,1,1,0,2,3,5,3,3,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,1,0,2,0,0,0
"za7up8ig2",2,0,3,1,1,2,1,3,1,1,1,1,2,0,0,0,2,1,6,0,1,0,0,0,3,4,0,1,0,0,0,0,4,0,0,0
"fnzsq2c6k",3,2,1,1,1,3,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,3,1,0,0
"nq6cj9bg5",1,3,0,13,1,1,0,1,0,1,1,1,0,1,1,6,1,1,11,0,0,1,3,0,0,0,2,2,1,0,1,5,8,0,0,0
"qju5hrxns",4,5,1,2,2,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"9nfm6trcl",4,0,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"cesjuy97n",3,0,3,7,1,2,4,11,0,0,1,0,9,0,2,0,0,0,8,0,0,2,0,0,7,1,0,2,1,1,0,0,5,0,0,2
"5iy3kup6l",3,2,0,2,0,1,3,3,1,2,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"aj6otqe47",3,1,2,2,2,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,7,4,0,0,0,0,0
"lftzor5ea",11,2,0,8,2,0,1,2,0,0,0,0,0,0,8,0,2,0,0,0,2,1,2,0,1,0,3,1,1,1,0,0,0,0,0,0
"or8d57zs3",2,1,1,9,4,0,2,0,0,2,0,0,1,0,1,0,1,0,13,0,1,1,0,0,2,0,2,3,0,0,0,1,6,1,0,0
"i5mlv1y4r",2,2,5,3,1,5,1,2,2,0,0,4,2,2,1,2,5,1,15,0,0,1,2,1,1,0,0,2,1,0,0,2,6,1,0,0
"ga49y8vid",0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,2,0,1,0,1,5,0,0,0
"cl1378b6r",2,0,1,3,0,0,1,0,1,0,0,0,1,0,0,5,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0
"3nleckfa7",16,0,2,11,0,0,1,3,3,0,0,1,1,8,5,11,5,1,3,0,3,1,0,1,1,0,1,0,1,0,1,4,0,0,0,0
"ky8ahre5i",6,1,1,1,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,3,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,4
"a3m6rhcbs",6,1,1,1,1,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"d8rl7myjh",8,2,2,7,2,4,2,2,1,1,1,1,0,2,4,0,1,1,0,2,0,0,0,3,1,10,3,0,3,0,0,0,1,0,0,0
"ypkvbwi7c",3,1,1,2,0,1,0,0,1,1,2,0,0,8,4,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"p9hb2lwef",7,2,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,4,0,0,1,0,0,0,0,0,4,2,2,4,0,6,0,0,0
"lwk5cndmx",3,1,1,1,1,0,4,1,3,3,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,4,1,5,0,2,1,0,2,0,0
"qkzxb8igc",2,2,0,2,0,0,0,0,0,0,2,1,0,1,1,1,1,2,9,0,2,0,2,0,0,0,2,2,0,0,0,0,3,0,0,0
"1pd5k9g6m",7,1,0,0,0,1,1,1,4,0,0,0,1,0,1,10,1,3,2,0,1,1,3,1,0,3,0,0,0,13,1,6,5,1,0,0
"5h8pjwyas",6,3,8,3,1,1,4,14,2,1,1,1,4,0,2,1,1,0,0,0,4,0,0,2,1,0,3,0,2,1,2,0,0,2,0,0
"xn5pa3sro",7,1,0,5,0,2,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"swze5l2xd",8,1,2,2,1,0,3,3,2,1,0,0,2,0,3,1,0,2,1,2,0,0,2,0,4,0,1,0,0,0,0,3,0,1,0,0
"tmo5pwiqg",0,1,0,0,0,1,3,0,4,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,4,0,3,1,0,0,0,0,0,0
"uw9s8ygn4",4,0,0,5,0,0,0,1,2,0,0,0,0,2,3,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0
"f39le8cjr",1,1,2,0,1,0,0,4,0,1,1,2,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
"4kidun9fr",4,3,0,1,0,1,5,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,2,1,1,2,0,0,0,3
"qgbeln71p",7,3,0,4,0,1,3,0,4,4,2,0,1,0,0,5,0,0,1,0,0,0,3,0,1,1,3,0,3,2,0,6,1,1,0,0
"v3tlkwj51",6,1,0,6,1,0,2,2,3,0,0,2,0,1,1,7,0,0,2,0,0,0,2,0,1,1,0,0,1,1,0,4,0,0,0,0
"j32dbqg49",1,3,2,0,0,0,2,0,2,1,0,0,1,0,0,17,0,0,5,0,2,0,1,0,0,0,2,0,0,1,0,7,2,0,0,0
"sfmu2nztr",11,1,1,3,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,3,1,0,0,0,0,0,1,1,0,0
"rdc64jxkn",9,2,1,1,0,1,2,2,0,1,1,0,0,1,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"ezlnsb527",4,3,1,9,0,0,0,3,0,0,0,0,1,0,6,0,1,0,1,1,0,0,0,2,1,1,2,0,0,0,0,0,1,1,0,0
"8xuhcbmi9",1,1,2,0,1,0,0,4,0,0,0,3,3,3,0,0,4,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mac3ovtbf",2,0,3,1,0,0,1,8,1,1,0,0,4,4,0,0,2,2,0,0,4,1,1,0,3,1,0,0,0,1,0,1,0,1,0,0
"hrsuteliq",1,1,8,1,0,0,0,10,1,0,1,0,3,0,1,1,2,0,0,1,0,0,0,1,1,0,2,0,0,0,1,1,0,1,0,0
"bntfsmlge",2,4,7,0,0,2,0,6,3,1,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"58ndl2rhy",4,1,0,2,0,0,2,2,4,1,1,1,3,0,0,6,0,0,2,1,0,1,1,0,3,2,0,3,1,0,0,7,1,0,0,0
"5nqkugldx",1,0,1,0,0,1,3,0,2,0,0,0,2,1,2,8,1,0,5,1,1,0,2,1,0,2,0,0,0,2,0,5,2,0,0,0
