CS_PropertyID,cluster,size,empl_gr,Rent,leasing_rate,stories,age,renovated,class_a,class_b,LEED,Energystar,green_rating,net,amenities,cd_total_07,hd_total07,total_dd_07,Precipitation,Gas_Costs,Electricity_Costs,cluster_rent
144425,14,178000,1.74,23.12,96.44,21,84,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144331,14,174000,1.74,23.43,95.64,38,78,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144286,14,1904229,1.74,23.5,99.42,57,40,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144329,14,798782,1.74,23.5,68.55,40,21,0,1,0,0,0,0,1,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144434,14,420000,1.74,24,96.28,21,93,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144460,14,884004,1.74,24,72.32,17,102,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
576483,14,43049,1.74,24.35,20.21,5,107,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
148528,14,896769,1.74,24.47,60.55,15,87,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144319,14,455813,1.74,24.5,84.6,41,80,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144445,14,237070,1.74,24.5,76.61,19,50,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144420,14,206000,1.74,24.55,68.8,22,81,0,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144347,14,384510,1.74,24.62,93.17,36,27,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144472,14,640554,1.74,25,52.46,16,95,0,0,1,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144433,14,285000,1.74,25.45,91.2,22,97,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144298,14,486602,1.74,25.51,84.78,47,78,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
354086,14,1504364,1.74,26.45,93.27,37,4,0,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144322,14,402010,1.74,26.49,91.54,38,76,1,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144429,14,294000,1.74,26.63,95.02,21,93,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
403900,14,53642,1.74,26.84,87.74,4,7,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144371,14,879000,1.74,28,87.62,28,26,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144361,14,363657,1.74,28.26,85.87,30,37,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
803427,14,104518,1.74,29.73,40.39,57,2,0,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144348,14,290000,1.74,29.76,54.37,35,91,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144426,14,579778,1.74,38.47,95.86,22,93,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
86260,14,259000,1.74,40,75.19,22,93,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
144381,14,691410,1.74,80,100,26,29,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.275
320838,16,550101,1.97,29,87.79,43,24,0,1,0,0,1,1,0,1,130,2739,2869,22.71,0.0103,0.0378,34
320800,16,65625,1.97,19.76,93.91,9,91,0,0,1,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320796,16,23534,1.97,22.95,84.47,5,90,0,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320726,16,216000,1.97,23,100,12,67,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320642,16,53577,1.97,24,100,14,90,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320922,16,13400,1.97,24,100,6,77,0,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320943,16,120000,1.97,24,95.42,13,98,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
321012,16,9729,1.97,24,80.47,5,100,0,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320406,16,233654,1.97,25,81.39,28,77,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320573,16,22355,1.97,26,80,5,66,1,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320577,16,30000,1.97,27,83.25,5,100,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320635,16,64955,1.97,27,72.02,7,83,1,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320876,16,30000,1.97,27,100,7,80,0,0,0,0,0,0,1,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320518,16,19260,1.97,27.09,64.18,8,100,1,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
122010,16,7050,1.97,28.6,18.44,3,101,0,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320647,16,116300,1.97,29,98.22,21,109,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
323202,16,24250,1.97,29.23,96.82,4,100,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320719,16,430523,1.97,29.93,78.55,25,52,1,0,1,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
44637,16,572041,1.97,30,95.52,22,85,0,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
89098,16,15832,1.97,30,68.85,6,99,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320608,16,25600,1.97,30,24.02,7,100,0,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
36158,16,128838,1.97,30.37,89.35,14,94,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320640,16,99465,1.97,30.5,98.46,21,85,0,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320847,16,19600,1.97,31.5,85.71,6,82,1,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320439,16,106000,1.97,31.99,92.2,11,94,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320811,16,103000,1.97,32,96.16,7,99,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320756,16,65000,1.97,33,98.96,8,93,0,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
321423,16,19000,1.97,33,100,5,100,0,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320607,16,32800,1.97,34,93.54,8,99,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320434,16,711000,1.97,34.18,95.71,48,21,0,1,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320432,16,89927,1.97,34.5,88.46,11,85,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320723,16,434569,1.97,34.55,90.6,22,115,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
323237,16,39900,1.97,34.75,100,7,100,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
43473,16,15150,1.97,35,100,6,100,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320845,16,51086,1.97,35,79.3,16,81,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320877,16,33000,1.97,35,84.85,6,100,0,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320799,16,18021,1.97,35.14,66.12,7,79,1,0,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320441,16,265363,1.97,35.2,98.2,16,104,0,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
321023,16,37544,1.97,35.5,88.7,10,97,0,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320428,16,51051,1.97,36.14,95.36,6,93,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320643,16,71345,1.97,37.5,100,15,100,1,0,1,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320426,16,240546,1.97,38,88.38,17,27,0,1,0,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320630,16,623352,1.97,38,83.1,38,28,0,1,0,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320600,16,228470,1.97,39,98.76,22,21,0,1,0,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
87648,16,180000,1.97,39.56,41.58,14,99,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
115915,16,79280,1.97,41.5,31.6,7,98,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320637,16,486711,1.97,41.5,83.81,42,32,0,1,0,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320431,16,51376,1.97,42,100,11,99,1,0,1,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320405,16,303645,1.97,43,100,18,48,1,1,0,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320628,16,220000,1.97,45,91.92,26,21,0,1,0,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320923,16,108691,1.97,45,100,9,103,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
320641,16,428420,1.97,45.95,100,30,29,0,1,0,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320721,16,56000,1.97,50.25,95.27,16,86,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
36160,16,43956,1.97,55,100,10,101,1,0,1,0,0,0,0,0,130,2739,2869,22.71,0.01029615,0.037807737,34
89257,16,186072,1.97,85,59.21,10,101,1,0,1,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
320443,16,1708748,1.97,99.42,95.1,52,38,0,1,0,0,0,0,0,1,130,2739,2869,22.71,0.01029615,0.037807737,34
144535,18,80228,1.74,12.75,55.82,11,84,1,0,1,1,0,1,0,1,1113,6001,7114,41.32,0.0108,0.0233,23.12
144515,18,136800,1.74,14.75,83.33,13,84,0,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
1588,18,39761,1.74,15,93.08,13,83,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144402,18,625696,1.74,16.23,94.36,23,97,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144297,18,1601744,1.74,16.29,93.77,48,34,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144337,18,733633,1.74,16.78,79.31,37,21,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144318,18,803046,1.74,17.37,72.44,40,26,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
1586,18,401000,1.74,18.06,86.28,19,93,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144411,18,78100,1.74,19,91.35,22,94,1,0,1,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144491,18,173612,1.74,19,95.46,14,104,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144492,18,111323,1.74,19,87.9,14,78,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144523,18,281325,1.74,19,96.02,12,119,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144410,18,130976,1.74,19.13,94.22,22,80,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144403,18,125729,1.74,19.5,87.12,23,79,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
1597,18,66600,1.74,20,47.14,6,107,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144294,18,1056408,1.74,20,92.46,50,15,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
145034,18,13909,1.74,20,22.35,4,77,0,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144466,18,159000,1.74,20.5,96.09,17,46,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144306,18,988171,1.74,20.53,94.35,44,33,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144342,18,591430,1.74,20.91,86.79,37,32,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
1587,18,243040,1.74,21.5,91.82,19,103,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
123313,18,940639,1.74,21.97,91.63,50,17,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144474,18,158100,1.74,22.11,93.96,16,114,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144494,18,219273,1.74,22.5,83.62,15,114,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144499,18,197621,1.74,22.66,77.6,12,107,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144388,18,157409,1.74,22.75,100,25,80,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144425,18,178000,1.74,23.12,96.44,21,84,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144331,18,174000,1.74,23.43,95.64,38,78,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144286,18,1904229,1.74,23.5,99.42,57,40,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144329,18,798782,1.74,23.5,68.55,40,21,0,1,0,0,0,0,1,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144434,18,420000,1.74,24,96.28,21,93,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144460,18,884004,1.74,24,72.32,17,102,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
576483,18,43049,1.74,24.35,20.21,5,107,1,0,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
148528,18,896769,1.74,24.47,60.55,15,87,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144319,18,455813,1.74,24.5,84.6,41,80,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144445,18,237070,1.74,24.5,76.61,19,50,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144420,18,206000,1.74,24.55,68.8,22,81,0,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144347,18,384510,1.74,24.62,93.17,36,27,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144472,18,640554,1.74,25,52.46,16,95,0,0,1,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144433,18,285000,1.74,25.45,91.2,22,97,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144298,18,486602,1.74,25.51,84.78,47,78,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
354086,18,1504364,1.74,26.45,93.27,37,4,0,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144322,18,402010,1.74,26.49,91.54,38,76,1,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144429,18,294000,1.74,26.63,95.02,21,93,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
403900,18,53642,1.74,26.84,87.74,4,7,0,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144371,18,879000,1.74,28,87.62,28,26,1,1,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144361,18,363657,1.74,28.26,85.87,30,37,0,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
803427,18,104518,1.74,29.73,40.39,57,2,0,1,0,0,0,0,0,0,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144348,18,290000,1.74,29.76,54.37,35,91,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144426,18,579778,1.74,38.47,95.86,22,93,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
86260,18,259000,1.74,40,75.19,22,93,1,0,0,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
144381,18,691410,1.74,80,100,26,29,1,0,1,0,0,0,0,1,1113,6001,7114,41.32,0.01076999,0.023300117,23.12
1212036,20,385469,,17.97,99.49,14,20,1,1,0,0,1,1,0,1,921,5908,6829,58.02,0.0134,0.0411,19.67
1211872,20,127982,,15,82.27,18,86,0,0,1,0,0,0,0,1,921,5908,6829,58.02,0.013425469,0.041119578,19.67
1212027,20,63150,,15,66.22,6,85,0,0,1,0,0,0,0,1,921,5908,6829,58.02,0.013425469,0.041119578,19.67
1216881,20,98725,,15.54,85.82,6,97,0,0,1,0,0,0,0,0,921,5908,6829,58.02,0.013425469,0.041119578,19.67
1211896,20,3000,,16,50,4,127,0,0,1,0,0,0,0,0,921,5908,6829,58.02,0.013425469,0.041119578,19.67
1216662,20,13100,,16,11.05,1,45,1,0,1,0,0,0,0,0,921,5908,6829,58.02,0.013425469,0.041119578,19.67
1211247,20,850000,,16.5,95.9,11,90,0,1,0,0,0,0,0,1,921,5908,6829,58.02,0.013425469,0.041119578,19.67
1211853,20,70377,,18,75.39,6,45,0,0,1,0,0,0,0,1,921,5908,6829,58.02,0.013425469,0.041119578,19.67
1215535,20,300000,,18,63.4,27,40,0,0,1,0,0,0,0,1,921,5908,6829,58.02,0.013425469,0.041119578,19.67
