"","Name","NameLen","Style","Price","Cancellation","Stars","Reviews","Superhost","Guests","Bedrooms","Beds","Baths","Description","DescLen","Amenities","Latitude","Longitude","PlazaDist","CanyonRdDist","CapitolDist","OperaDist","AirportDist","entire"
"11","charming historical adobe downtown",34,"entire house",133,1,5,176,1,4,1,4,1,"Located on Don Gaspar Ave. within walking distance to downtown Santa Fe, perfect for visitors. This historic adobe is the epitome of SantaFe charm. It provides a comfortable home away from home for you to explore what this great historic city offers.",250,45,35.6822,-105.94024,0.380831282,0.86384492,0.037987963,5.677558205,11.2569804,TRUE
"12","canyon road artist's retreat in heart of santa fe",49,"entire house",163,0,5,10,0,4,1,2,1.5,"Live the artist’s/writer's dream on Santa Fe’s historic Canyon Road! This studio is filled with light and offers up endless possibilities to get your creative juices flowing. Enjoy strolling and sketching on Canyon Road en plein air like so many before you. You may not want to leave this airy nest, yet Canyon Road and the Plaza call, and you’ll feel like a local as you walk and explore the nooks and crannies of Santa Fe, the nation’s oldest capital city.",458,36,35.68125,-105.9246,1.053502958,0.220038785,1.047019391,5.929990334,12.2325219,TRUE
"13","private, quiet, cozy castia",27,"entire guesthouse",104,0,5,8,0,2,0,1,1,"Centrally located. Newly build Casita-studio Guest House. Privet and quite. 15 minutes walking to Downtown, 5 min. walking to Trader Joes and Wholefoods market.",160,22,35.6758,-105.94582,0.949817202,1.306510007,0.617549083,6.101516379,10.72929643,TRUE
"14","hillside - peaceful patio, secluded",35,"entire house",124,0,4.5,38,1,4,0,1,1,"Ready for you to move in and call it home, this casita combines the rustic elements of exposed wood beams and natural stone and flagstone floors and patio with modern amenities and eco-friendly upgrades. The house is a below-grade passive solar structure that underwent a thorough green renovation just a couple of years ago. The remodeled kitchen features top of the line appliances, a concrete counter top, non-toxic paint, all green appliances, dual pane windows and door. The decor is Mid-Century LA meets Santa Fe charm. Everybody reports the enjoy the private landscaped flagstone sunken courtyard. Charming Casita.",621,19,35.68876,-105.92727,0.783604279,0.511076258,0.96899208,5.380465886,12.26084026,TRUE
"15","secluded, artsy castia only 7 minutes to downtown",49,"entire villa",122,1,5,19,1,2,1,1,1,"thoroughly deliteful contemporary sanctuary space - owned by 2 artists",70,10,35.69326,-105.90384,2.432545574,1.848263006,2.593775865,5.732073416,13.87422419,TRUE
"16","santa fe footholls castia",25,"entire house",89,1,5,35,1,2,1,1,1,"This Casita is a large room separate from house with it's own entrance. The house is situated on one acre of land in a quiet upscale neighborhood north of town a mile and a half from Santa Fe's famed plaza. Santa Fe (elev. 7000 ft) sits at the base of the Sangre de Cristo mountains. It is the oldest continually inhabited state capitol ( since 1607) and is heavily influenced by Native American and Hispanic cultures.",418,27,35.7039,-105.91874,1.780435817,1.677945862,2.081929658,4.593894534,13.24294847,TRUE
"17","modern adobe w patio, 9min walk to plaza&canyon rd",50,"entire condominium",131,1,5,62,1,3,1,2,1,"Our Santa Fe condo is a wonderful place to make yourself feel at home while exploring Santa Fe. The highlight of our place is the outdoor patio (with fire pit) where you'll enjoy your morning coffee or evening glass of wine. From the front steps, it is just a ~5 block walk to the plaza where shops and restaurants abound. The famous Canyon Road filled with galleries and cafes is also just a skip and a hop. Come hike in the spring or summer. During the winter, enjoy skiing just 30 minutes away.",497,30,35.68523,-105.92834,0.720426961,0.268518585,0.811510209,5.599475964,12.09612148,TRUE
"18","private eastside santa fe castia",32,"entire house",85,1,5,41,0,2,0,1,1,"Experience Santa Fe in style. A place to recharge and enjoy peace and beauty. Walk to Canyon Road, hiking trails, Santa Fe River, Upaya Center, shops, and restaurants. Five min. drive to Plaza or ten min. drive to 10,000 Waves. Private, quiet.",243,19,35.67743,-105.91402,1.830445875,0.990286619,1.807996903,6.408047674,12.82923054,TRUE
"19","downtown santa fe coza castia",29,"entire guesthouse",144,1,5,61,1,2,1,1,1,"In the heart of downtown, this charming casita is an easy walk to the Santa Fe Plaza and one block from Historic Canyon Road. It is located inside a quiet courtyard with a pond and has off-street parking. You can easily walk to neighborhood coffee shops, restaurants, art galleries, bookstores and a gourmet grocery. With a kiva fireplace, a great memory-foam Queen bed, all stainless kitchen, and a washer/dryer, it has everything you need for a comfortable stay.",464,31,35.6819,-105.93236,0.572610897,0.318911015,0.508475839,5.76860457,11.75081972,TRUE
"20","railyard delight - casa bajos los olmos",39,"entire house",119,0,5,3,1,3,1,1,1,"Casita Bajos Los Olmos is tucked in a leafy, pedestrian-friendly, centrally located downtown neighborhood in the heart of Santa Fe’s trendy Guadalupe Historic District. It sits a short 10-minute walk to both the historic Santa Fe Plaza and the vibrant Railyard Arts District and all of the city’s best-known and emerging destinations.",334,17,35.68948,-105.9487,0.718306841,1.551665905,0.796386942,5.156038564,10.94363391,TRUE
"21","adobe castia steps from canyon road",35,"entire house",118,1,5,81,1,3,1,2,1,"This cozy, and quiet casita is located a short walk away from Canyon Road and a close mile and a half from the plaza. A perfect getaway for a single traveler or couple, the casita is part of a compound built in the early 1900's and is an inviting example of classic, Santa Fe charm.",282,31,35.67672,-105.91577,1.739323854,0.891196395,1.699691732,6.412177727,12.69879431,TRUE
"22","canyon road castia",18,"entire apartment",107,1,5,13,1,2,1,1,1,"This cozy one-bedroom Casita, tucked away in a row of local art galleries and fabulous restaurants, minutes away from the historic Plaza, the Casita is the perfect place for a couples getaway or friends gathering. The Casita features all the comforts of home with a flat screen TV, Wi-Fi, full kitchen, dining room and comfortable queen bed. And with easy and convenient parking by the front door, you’ll ease right into the slow pace of this Southwest destination from the moment you arrive.",492,35,35.68074,-105.92321,1.155715293,0.31915083,1.145739125,5.989748708,12.30956099,TRUE
"23","private, convenient, comfy space",32,"entire guest suite",68,1,5,26,1,2,1,1,1,"Conveniently located on Old Santa Fe Trail near museums, hiking trails, Santa Fe's historic Canyon Road and downtown, this convenient, quiet space is good for couples, solo adventurers, business travelers, and small dogs (under 25 lbs.) Drive through the gate, come up the lane to my home and your private entrance. Adjacent to the large bedroom is a dining area with a microwave, refrigerator, coffee pot and toaster. Your private bath is just steps away. Breakfast food will be stocked.",488,13,35.6526,-105.91907,2.759461214,2.080497578,2.501394666,7.944260374,12.03650497,TRUE
"24","serene and spacious castia for 4!",33,"entire guesthouse",132,1,5,219,1,4,2,2,1,"This sweet and secluded casita has wood grain ceramic tile floors, soaring vigas, skylights and a charming shared garden to relax and enjoy the beauty of Santa Fe. There are two sleeping areas with two queen beds separated by a door for extra privacy each with ultra comfy mattresses- one is a extra plush pillow top and the other is a SleepNumber- take your pick for a sweet nights rest!",388,36,35.68617,-105.95567,1.189497167,1.957484036,1.136649408,5.416957234,10.41016993,TRUE
"25","large, luxurious new rental near the plaza",42,"entire townhouse",296,1,5,3,0,6,3,3,3,"Luxurious 3-bedroom 3-bath condo in El Corazon de Santa Fe compound, 3 blocks from the Santa Fe Plaza and everything the historic core of Santa Fe has to offer. The Georgia O’Keefe museum is two blocks away; many of the best museums and restaurants are just a 5-10 minute walk. 7-minute drive to the Santa Fe Opera center. Secure underground parking for two cars with elevator to ground level entrance to the condo. Bathrooms equipped with hair dryers and robes. Free use of El Corazon gym.",490,48,35.69038,-105.93979,0.222163838,1.037871,0.558944431,5.116806013,11.52257133,TRUE
"26","quiet guest house 2 mi from plaza; pets welcome",47,"entire house",126,1,5,83,1,3,1,3,1,"Quiet, private casita detached from main residence, with spacious sun deck & panoramic valley view. Surrounded by trees & open space with no other houses visible. Near Museum Hill, hiking trails and much more. 10 minute drive to Plaza and galleries. Completely equipped with full kitchen, working fireplace (wood included) and washer/dryer. Secured auto gate with 2 car covered parking. Pets are welcome! Better part of an acre completely fenced and safe for dogs.",464,16,35.65193,-105.92601,2.603616162,2.041404487,2.304323754,7.886901835,11.55717314,TRUE
"27","castia encantada - historic eastside double adobe!",50,"entire house",178,0,5,36,1,4,1,3,1,"Gorgeous, authentic, and historic (!) property in the prestigious Eastside of Santa Fe - steps to: Canyon Road Galleries/Restaurants; Plaza Shops, Restaurants,& Galleries; Museum Hill; & Capitol-Roundhouse. Short distance to mountain hiking/biking trails and quick access to Ski Santa Fe. Our place is great for couples, solo adventurers, business travelers, small families, and very well-mannered (!) pet(s).",409,37,35.67866,-105.93153,0.775754034,0.32092338,0.618687376,5.999344824,11.72081917,TRUE
"28","eastside santa fe wing of my home",33,"entire house",97,1,5,124,1,4,2,2,1,"This adobe home is in a PERFECT location for walking downtown to the historic Plaza, where you'll find great restaurants, wonderful museums, and lots of shopping. It is only 1 block to galleries on Canyon Road; Santa Fe's best coffee shop is at the corner!",256,8,35.67965,-105.93395,0.624134245,0.443552229,0.437946719,5.904074343,11.59031286,TRUE
"29","new, modern baca railyard apartment (104)",41,"entire apartment",133,1,5,11,1,2,1,1,1,"Modern, fully equipped apartment in The Trailhead building at the Baca District Santa Fe Railyard. Close to downtown, set in a beautiful new industrial modern multi use building, with the best new tea house: Opuntia in town. ",225,40,35.67449,-105.96112,1.801400912,2.355187415,1.577079884,6.268149128,9.720246932,TRUE
"30","cozy downtown santa fe condo",28,"entire apartment",97,1,5,48,1,2,1,1,1,"Attractively decorated in Southwestern Style. One bedroom with King-size bed and one bathroom. .7 mile walking distance to Historic downtown Santa Fe. 15 miles to Ski Santa Fe. Across the street from historic Fort Marcy Park. Great location for Santa Fe events, restaurants, museums and art galleries. Free Parking",314,29,35.69177,-105.9322,0.530319669,0.780508002,0.835610644,5.100098469,12.03733518,TRUE
"31","eastside jewel box near canyon rd.",34,"entire apartment",146,1,5,54,1,3,1,2,1,"Newly remodeled, city-style apartment on Eastside backstreet, this cozy one bedroom apartment has refined design and amenities. Stay a block from Santa Fe's famed art and restaurant district, Canyon Road. Walking distance from the Plaza. Fireplace, patio and parking. Pet friendly and people positive!",301,17,35.67886,-105.9277,0.954767312,0.175019172,0.863497103,6.038723365,11.97302474,TRUE
"32","#1 rio vista villa w/patio near plaza & canyon rd",49,"entire condominium",128,0,5,55,1,2,1,1,1,"This charming villa is in the heart of Santa Fe across the street from the Santa Fe River and River Walk. The villa is an end unit, very quiet. It is three blocks from the Plaza and one block from the famous Canyon Road art galleries and restaurants. This home is in the Historic Eastside District with parking at your front door.",330,28,35.68615,-105.93058,0.556316643,0.3821296,0.684757033,5.503517896,11.97871312,TRUE
"33","guadalupe casa santa fe-close to plaza & canyon rd",50,"entire house",193,1,4.5,2,0,4,1,2,2,"A luxurious and elegant home perfectly located in the South Capitol district, known for its beautiful architecture and historic homes. Guadalupe Casa Santa Fe is no exception! Surrounded by adobe walls and mature gardens, the private outdoor living area is ideal for barbecuing or sipping wine by the fireplace. This premier property is warm and inviting, nurturing all of your senses. Tastefully decorated and fully equipped with upscale amenities, Guadalupe Casa Santa Fe is first class.",489,37,35.67965,-105.93946,0.542071973,0.816971528,0.184056021,5.85792266,11.23751362,TRUE
"34","casa florecitas",15,"entire guesthouse",114,0,5,23,1,4,1,2,1,"New contemporary guest house... Beautiful, bright, private garden settings, near Museum Hill and the East side mountains.",121,50,35.65165,-105.93263,2.508284405,2.084305168,2.175794677,7.834784649,11.10548172,TRUE
"35","prado - historic hot tub in the railyard!",41,"entire house",272,0,5,18,1,4,1,2,1,"My place is close to restaurants and dining, family-friendly activities, and nightlife. You’ll love my place because of the location and the ambiance. My place is good for couples, solo adventurers, business travelers, families (with kids), and furry friends (pets).",266,25,35.69011,-105.94789,0.674131802,1.516348039,0.782812529,5.111489828,11.01338925,TRUE
"36","live with an artist!",20,"private room",65,0,5,96,1,2,1,2,1,"Honestly, there is no place like a home away from home and that is what I offer. Relax and enjoy the beauty and uniqueness of Santa Fe.",135,18,35.6862,-105.97401,2.456388201,3.215228514,2.388574465,5.69667437,9.301762527,FALSE
"37","cozy castia in the northern hills of santa fe",45,"entire guesthouse",132,1,5,93,1,6,2,3,1,"Located in a quiet neighborhood on a gated property in northern Santa Fe, this two-bedroom casita is just minutes away by car from most Santa Fe attractions. 3 miles to the Plaza/Downtown 3 miles to the Santa Fe Opera House 12 miles to Santa Fe Airport 12 miles to Marty Sanchez - Santa Fe Golf Course 27 miles to Santa Fe Ski Area 69 miles to Albuquerque Airport Close by are: Supermarkets Restaurants Theater, Opera, Cinema Hiking/Biking Trails",446,49,35.72883,-105.95124,2.995841157,3.660966198,3.316083243,2.450394546,12.28785459,TRUE
"38","quiet guest house 2 mi from plaza; pets welcome",47,"entire house",126,1,5,83,1,3,1,3,1,"Quiet, private casita detached from main residence, with spacious sun deck & panoramic valley view. Surrounded by trees & open space with no other houses visible. Near Museum Hill, hiking trails and much more. 10 minute drive to Plaza and galleries. Completely equipped with full kitchen, working fireplace (wood included) and washer/dryer. Secured auto gate with 2 car covered parking. Pets are welcome! Better part of an acre completely fenced and safe for dogs.",464,16,35.65193,-105.92601,2.603616162,2.041404487,2.304323754,7.886901835,11.55717314,TRUE
"39","mckenzie castia on galisteo street",34,"entire house",107,1,5,27,1,3,1,2,1,"The lovely McKenzie Casita is graced with hand plastered adobe walls, pine ceilings, and stunning Mexican Saltillo tiles throughout. Built in 1881, the McKenzie Casita has been thoughtfully updated to reflect a more modern and whimsical aesthetic, while retaining the original charm of this authentic adobe structure. This sweet getaway has been designated as an historic home by the City of Santa Fe.",401,15,35.69089,-105.9422,0.349397351,1.194620837,0.618840485,5.068052686,11.38878061,TRUE
"40","historic casita on galisteo street",34,"entire house",107,1,5,37,0,2,1,1,1,"The oldest part of this charming adobe home dates to the late 1890s. Enjoy a comfortable queen-size bed, heated floors, and a cheery sunroom. Leave your car in the off-street parking area and walk to the Plaza, Railyard, or Whole Foods in less than 15 minutes. Sage Bakehouse, Ohori's Coffee, and Restaurant Martin are right around the corner.",343,18,35.68199,-105.94309,0.491454769,1.059977213,0.235471486,5.679239496,11.07062952,TRUE
"41","charming, convenient downtown adobe apartment",45,"entire apartment",104,0,4.5,55,1,2,1,2,1,"You will not find the quality at this price in other rentals. Very popular, and conveniently located, this is a private and fully-equipped studio apartment with a queen bed and an Ethan Allen sofa bed. It has a separate kitchen, full bath, satellite tv, wifi, washer/dryer, all utilities and plenty of off-street parking. There are mostly 5-star ratings on this and other sites, since 1999! You will not find the quality at this price in other rentals.",452,35,35.68884,-105.94967,0.777410195,1.59961961,0.824780022,5.202246956,10.8637283,TRUE
"42","gorgeous castia tucked away in a private compound",49,"entire house",157,1,5,14,1,2,1,1,1,"This Santa Fe Gem is a darling 1 bedroom, 1 bath casita on the Historic Eastside of Santa Fe just three blocks to Canyon Road, six blocks to the Plaza, and two blocks to Downtown Subscriptions (adorable coffee shop!). Recently updated open kitchen and bath, this quaint casita retains the charm of old Santa Fe with a fireplace, Mexican tiles, and a private garden patio! The cozy living room opens nicely to the kitchen and eat-in dining area. This hidden jewel is tucked back off Garcia Street.",496,39,35.67684,-105.93048,0.919726738,0.36598594,0.741206304,6.136369721,11.74373917,TRUE
"43","casa magdalena - 2 blocks to the plaza",38,"entire house",234,0,5,4,1,4,2,2,2,"Just right for two couples or a family, this unique property can’t be missed. A freestanding condominium in the exclusive Magdalena Compound, this two-bedroom, two-bath downtown Adobe home has been completely remodeled. Offering privacy and convenient access to downtown Santa Fe’s Historic Plaza. It’s a short walk away from signature Santa Fe attractions, including the Georgia O'Keeffe Museum and the Cathedral Basilica of St. Francis of Assisi",447,20,35.69061,-105.93592,0.284131094,0.850897154,0.631493385,5.134062384,11.77050905,TRUE
"44","6 blocks to plaza! Stylish south capitol stay",45,"entire guesthouse",99,0,5,4,0,2,1,1,1,"6 blocks to plaza! Sweet standalone backyard guesthouse, awesome South Capitol district downtown Santa Fe. Walk to everything! One block to New Mexico State Capitol Roundhouse, Capitol Coffee, Kaune's grocery, Dragon Room/Pink Adobe; six blocks to historic Santa Fe plaza and its shops and restaurants; ten minutes walk to Farmers Market, Railyard Arts District, Canyon Road galleries, and Whole Foods. All the best sights, dining, galleries, markets, coffee, boutiques, and bars--in minutes on foot.",500,17,35.67922,-105.93796,0.569221679,0.720112364,0.244696867,5.897646259,11.32207547,TRUE
"45","private casita guesthouse in downtown santa fe",46,"entire guesthouse",102,1,5,4,0,2,1,1,1,"Cozy casita in downtown Santa Fe can be your private space for a relaxing or romantic vacation. Enjoy Santa Fe's wonderful culture by being within blocks of the Farmers' / Artists market, the free shuttle, and the train to Albuquerque, and a fifteen minute walk to the Plaza. The casita is great for couples or solo adventurers. It has Santa Fe style with adobe walls and exposed vigas and lots of natural light to enhance your stay. Bring your swimsuits, the yard features a hot tub.",484,27,35.68306,-105.95209,0.986136081,1.685677197,0.858651905,5.609841396,10.53613852,TRUE
"46","pinon dream, gorgeous 3 bd, sleeps 7, walk to plaza",51,"entire house",244,0,4.5,20,1,6,3,3,3,"Bright and welcoming with ample sleeping accommodations, Piñon Dream is perfect for families or girlfriend getaways! Guests enter Piñon Dream through custom colonial doors into the open, spacious living room. Sunlight pours in through divided-light windows as centuries of Spanish Pueblo style welcomes visitors into this thoughtfully appointed two-story condo. The architectural history of Santa Fe is captured with stone tile floors and traditional wood beams and vigas.",472,21,35.69571,-105.94468,0.713860402,1.53238798,0.98949452,4.726481052,11.39071558,TRUE
"47","studio casita",13,"entire guesthouse",95,1,5,40,1,2,0,1,1,"Old studio casita with thick adobe walls, 2 blocks from railyard, close to farmers market, shopping, restaurants and movie theater. Has separate entrance and parking. New tempurpedic queen mattress, radiant heat, claw foot tub. The real thing in Santa Fe. Very cozy, and yes we have WiFi too.",292,13,35.6809,-105.95656,1.327097765,1.991195824,1.170253687,5.786105946,10.19273423,TRUE
"48","cozia casita - walk to plaza!",29,"entire apartment",96,0,4.5,111,0,2,0,1,1,"Located in a classic Santa Fe neighborhood, this 80 year old adobe Casita has traditional touches and modern conveniences (updated bath and kitchen, wifi, cable) to make your stay comfortable. Walk to cafes, shops, bars, galleries and museums.",243,31,35.6916,-105.94932,0.800810132,1.649026655,0.925547209,5.010623351,10.97348372,TRUE
"49","franklin ave casita",19,"entire guesthouse",91,1,5,38,1,3,0,1,1,"The casita is at the end of a very quiet street tucked away behind wooden gates alongside the main house. The casita is built out of real adobe bricks creating a very quiet sanctuary.",183,36,35.68012,-105.95638,1.334886446,1.980403861,1.163601342,5.838313003,10.18078997,TRUE
"50","walk to plaza sweet historic adobe",34,"entire apartment",123,1,5,141,1,4,1,3,2,"Within walking distance to downtown Santa Fe, this historic REAL adobe house is the epitome of Santa Fe charm. It provides a comfortable home away from home for you to explore what this great historic city has to offer.",219,25,35.68141,-105.9418,0.474213286,0.969930872,0.157768276,5.724227751,11.13623014,TRUE
"51","room with view of the henhouse",30,"private room",35,1,4.5,0,1,1,1,1,1,"Private, well lit room with view toward chickens and garden. Bathroom across the hall. Fifteen minute walk to the plaza. Gourmet coffee available in the morning.",161,13,35.69647,-105.92896,0.910118482,1.04638212,1.229893916,4.834990441,12.38069816,FALSE
"52","caso precioso - stunning studio minutes from plaza",50,"entire guesthouse",128,0,4.5,15,1,2,0,1,1,"Step into the bright, airy, and peaceful Casa Precioso and shed the hustle and bustle of the day. This darling and elegant fully furnished studio casita is situated northeast of Santa Fe's historic Plaza. Not only is it within easy walking distance of the Plaza, it's also a quick hop to downtown shopping, dining, and historic landmarks. This casita offers an open living room and bedroom floor plan.",401,17,35.69422,-105.93339,0.588657378,0.968726892,0.932931306,4.917774328,12.03702972,TRUE
"53","casa grillo-walk to plaza/railyard!",35,"entire apartment",118,0,4.5,64,0,2,1,1,1,"Close-in, casual mix of antiques and original art one mile to the Plaza with plenty of parks, shopping, restaurants, galleries and along the way. Fully equipped kitchen, kiva fireplace, 2 person whirlpool tub, w/d, WIFI, garden deck, private, quiet.",249,15,35.67743,-105.94947,1.025759189,1.52526463,0.755115592,5.990656944,10.53998892,TRUE
"54","lovely casita, much natural light.",34,"entire bungalow",107,0,5,50,0,3,1,2,1,"Located on a quiet, centrally located street, the casita is a 20-min walk to the Railyard District and 30-min walk to the Plaza. Cafes, stores and restaurants nearby. The casita has a small bedroom with queen bed, a large living space with kitchen and sleeping nook, and private patio. Combine with the house in front to sleep a total of 8:  Search for: ""Charming, quiet compound, close to downtown.""",400,27,35.67045,-105.94948,1.397962526,1.681090981,1.062800037,6.473314041,10.35806327,TRUE
"55","walk to plaza! Adobe studio casita",34,"entire bungalow",128,1,5,43,1,3,0,2,1,"Live the locals life in the heart of Santa Fe! Historic Adobe Studio Casita in the wonderful South Capital Neighborhood. Beautifully updated with full sized appliances including dishwasher, W/D and top notch amenities including A/C. Inspired Bohemian Santa Fe style ""Open Floor Plan"" interior with historic La Fonda Hotel vintage furniture and Art. Wifi/expanded cable. Plus: spacious fully enclosed private SOUTH facing courtyard for your own enjoyment and 2 cruiser bicycles for your adventures.",497,41,35.68036,-105.94175,0.537666263,0.969088673,0.195232992,5.796932253,11.11065217,TRUE
"56","casita pinon",12,"entire house",148,0,5,5,0,2,1,1,1,"This is the smallest and most comforting, quaint and quiet of our AdobeStar Casitas. Recently renovated with luxury appointments, the Pinon has everything you need for a solo getaway or an extended stay in the City Different. 1 bed/1 bath/ full kitchen, off-street parking, W/D, private patio. Book this lovely casita now. It wont last much longer and has already been booked as a long-term vacation rental. Pet Fee $40 per week.",429,25,35.6914,-105.94309,0.41873806,1.265445857,0.671724231,5.029165042,11.34966221,TRUE
"57","casa palona, awesome adobe, walk to plaza, views!",49,"entire house",208,0,5,12,0,4,2,3,2,"Casa Paloma is perched above Santa Fe's downtown, just steps from the Plaza! 100 mile views, private patios and this very quiet neighborhood, await you with 1600 sq ft of radian heat, high ceilings and authentic Santa Fe style.",227,35,35.69375,-105.9395,0.44239158,1.178362034,0.792140215,4.88694795,11.64469848,TRUE
"58","romantic riverside casita 1/1",29,"entire house",131,0,5,17,1,2,1,1,1,"Great location! Charming Santa Fe riverside casita, just steps from Canyon Road! Modern amenities with traditional Santa Fe style. Two parking spaces. WIFI, WD, AC, DW. Kiva fireplace. Walk to The Teahouse, Geronimo, The Compound. Explore the many art galleries and sights. One mile to the Plaza, Upaya Zen Center, St John's College, Santa Fe Workshops.",353,21,35.67968,-105.9239,1.144596799,0.29314213,1.107841787,6.047497307,12.23891331,TRUE
"59","elegant adobe casita in downtown sf",35,"entire condominium",149,0,5,25,0,2,1,1,1,"Casita Arbolita is a work of art with hand-crafted details, a private courtyard with a gas grill, Wi-Fi, satellite TV, washer/dryer, off-street parking. It is walking distance to all the downtown attractions and galleries. Ideal location for SF!",245,13,35.67943,-105.93687,0.56502347,0.643344765,0.278805209,5.891693092,11.39736713,TRUE
"60","dog friendly adobe railyard house",33,"entire house",172,1,5,24,0,6,2,3,1,"My place is close to Everything the Railyard has to offer. Plus we are just about 1 mile from the Plaza. Saturday Farmers and Art markets are a very short walk. There is a new movie theatre that is houses from our property. . You’ll love my place because of the coziness, the comfy bed, the kitchen, and the location!. My place is good for couples, families (with kids), and furry friends (pets).",396,13,35.68451,-105.9508,0.873116155,1.607044547,0.782879455,5.504761521,10.66008381,TRUE
