"","australia","austria","belgium","canada","denmark","finland","france","germany","honkong","ireland","italy","japan","malaysia","netherlands","newzealand","norway","singapore","spain","sweden","switzerland","uk","usa"
"198912",5,25,5,2,7,10,12,20,2,10,8,0,10,10,-3,12,8,4,12,3,10,2
"199001",-1,20,-4,-9,3,7,-5,3,-3,8,0,-6,1,-4,-4,10,3,-6,0,0,1,-6
"199002",-7,20,-9,0,0,-3,-3,-2,8,-3,-5,-10,5,-3,-7,7,2,-3,-5,0,-3,1
"199003",-2,2,9,1,5,-7,7,10,2,-1,4,-19,-4,5,-4,1,-3,-8,-4,-4,-3,2
"199004",-7,-13,-1,-7,-6,-8,6,-7,-1,-6,3,1,-10,-3,-2,-6,-8,11,3,-1,-6,-2
"199005",9,-2,3,7,6,1,2,1,8,6,6,14,15,4,11,10,12,5,13,17,15,9
"199006",4,8,1,0,1,-2,-1,4,4,2,2,-5,-1,1,0,-3,0,8,6,2,6,0
"199007",5,12,6,2,8,5,1,7,5,0,1,-1,9,5,6,12,6,4,5,2,4,0
"199008",-1,-18,-9,-5,-7,-7,-13,-15,-11,-18,-14,-10,-13,-8,-5,-6,-15,-12,-13,-11,-5,-9
"199009",-6,-23,-10,-4,-9,-19,-11,-18,-11,-7,-12,-16,-16,-5,-11,-9,-16,-18,-21,-12,-9,-5
"199010",-9,11,8,-3,9,0,11,13,9,15,5,24,7,4,-11,-4,8,14,5,6,8,0
"199011",0,0,-3,3,-4,4,-1,2,0,-9,-10,-12,-4,1,-5,0,-3,-2,-8,-2,5,7
"199012",-2,0,1,4,-3,-5,-5,-4,1,-1,3,5,7,0,-10,-7,6,-2,3,0,-1,3
"199101",6,-4,2,0,3,-1,4,3,8,-2,-3,3,0,0,7,-6,4,7,16,6,4,5
"199102",7,16,11,7,10,10,10,7,10,18,15,13,11,8,9,9,13,13,8,7,8,7
"199103",2,-10,-7,0,-9,8,-7,-13,6,-6,-9,-6,3,-4,-6,-6,1,-2,-4,-5,-5,2
"199104",8,1,-3,1,-3,-5,-3,4,-3,-3,-2,3,-2,2,9,-6,1,-5,-6,0,-1,0
"199105",-3,-2,0,4,4,-3,4,6,4,-1,6,0,3,2,4,10,1,5,8,4,1,4
"199106",1,-11,-5,-2,-1,-13,-10,-9,0,-8,-9,-7,-4,-6,-5,-10,-3,-9,-3,-9,-8,-5
"199107",6,-1,2,2,7,8,4,3,9,12,1,3,-2,6,2,6,1,1,4,6,12,5
"199108",-1,0,0,1,0,-5,6,1,0,0,-3,-6,-8,0,-6,3,-4,3,-1,0,3,2
"199109",4,3,2,-3,3,-8,6,2,-1,4,0,9,-4,2,2,-2,-2,6,-3,1,4,-2
"199110",5,-13,2,5,-1,-2,-2,-2,2,-3,-4,4,3,1,8,-8,3,-3,-2,0,-3,2
"199111",-5,9,1,-2,-2,-5,-3,2,3,-4,5,-7,1,1,1,-16,3,-6,-5,-1,-5,-4
"199112",0,2,11,0,6,-1,9,7,4,9,4,3,6,8,-4,14,6,7,5,8,9,11
"199201",-3,3,0,1,-1,10,0,1,9,1,3,-5,6,0,-1,2,3,0,0,1,-1,-2
"199202",1,7,0,-1,-6,-2,4,3,8,-4,-1,-8,7,0,4,-10,0,4,-2,1,-1,1
"199203",1,-5,-2,-5,-8,-9,-1,-2,0,-4,-6,-11,-3,-1,-6,7,-4,-5,5,-2,-6,-2
"199204",4,-4,1,-1,0,0,5,0,8,5,1,-6,0,5,2,5,2,-2,-1,1,12,3
"199205",2,4,3,1,12,5,4,6,15,-3,2,8,-2,4,8,6,3,10,6,8,6,0
"199206",-3,2,2,0,-5,-6,-1,2,1,-1,-3,-9,1,1,-2,-7,-1,-6,-3,3,-4,-2
"199207",-2,-10,3,2,0,-7,-4,-5,-4,-1,-8,-1,1,0,1,-3,0,-7,-3,2,-4,4
"199208",-8,-2,-3,-2,-7,-14,1,0,-4,0,1,18,-4,3,-6,-12,-4,-3,-6,2,0,-2
"199209",-4,6,4,-7,-6,-7,3,-4,-1,-9,-19,-2,7,2,-4,-4,2,-12,-11,8,-2,1
"199210",-6,-6,-5,3,-9,17,-8,-7,13,-10,17,-5,8,-10,-7,-6,3,-6,-9,-9,-8,1
"199211",1,-6,-2,-4,-1,9,-2,-1,-7,3,-6,3,1,-2,14,0,3,6,14,-4,1,3
"199212",9,3,-1,3,-1,-5,3,-2,-6,0,-2,-1,-4,1,0,-1,0,1,-2,7,4,1
"199301",-3,-1,5,-2,13,-1,-3,3,4,6,9,0,-2,2,-2,4,2,9,-4,-1,-2,1
"199302",8,6,0,6,-4,3,9,5,10,-2,1,4,5,3,8,0,2,-1,4,-1,-2,1
"199303",4,-2,9,3,1,9,5,3,0,18,-8,14,3,6,4,11,0,6,1,6,7,2
"199304",1,-1,-3,4,5,25,-1,-1,8,3,22,18,17,0,6,5,8,1,10,3,3,-2
"199305",-2,2,-1,1,2,3,-3,0,9,1,3,3,4,2,2,-1,3,-2,11,8,1,3
"199306",-2,0,1,-1,1,-5,-1,-3,-4,0,-2,-1,-4,-1,2,-4,-4,0,-7,0,-1,0
"199307",10,4,-2,-1,-4,8,1,3,-2,-2,2,6,5,0,13,4,1,-6,3,0,0,0
"199308",4,11,1,1,5,10,9,11,7,6,12,2,10,10,10,10,13,22,9,7,7,4
"199309",-2,-2,1,-5,4,1,-1,2,2,-1,-6,-5,8,0,-2,-2,4,-3,2,3,-1,-1
"199310",11,7,4,9,4,14,1,6,23,3,-4,0,16,6,13,11,5,6,9,6,4,2
"199311",-6,-5,2,-2,-3,-5,-3,-2,-1,1,-10,-17,-2,-3,-9,-7,-1,-9,-12,1,0,-1
"199312",11,7,6,5,6,6,8,6,27,5,13,3,21,5,12,7,22,8,10,8,7,1
"199401",11,2,5,6,9,23,4,-3,-4,12,10,16,-16,5,11,13,-2,12,17,9,4,4
"199402",-5,-1,0,-5,0,-2,-2,-2,-10,-7,-1,5,4,-2,-6,3,0,-5,-5,-6,-5,-3
"199403",-7,-4,-1,-4,-1,-4,-5,3,-11,-4,16,-4,-15,-3,-10,-7,-10,-4,-6,-1,-7,-4
"199404",4,-1,6,-1,2,8,4,6,0,5,10,4,10,6,7,0,10,2,8,-1,4,1
"199405",5,-3,-2,1,-8,-6,-5,-6,7,-5,-8,2,-3,-3,6,1,1,0,-1,0,-5,2
"199406",-5,8,-1,-6,5,-1,-4,0,-8,0,-7,5,2,-1,-6,-5,-2,-5,-5,1,0,-3
"199407",5,-3,5,5,5,12,10,5,8,8,5,-4,3,6,4,12,3,6,7,-2,5,3
"199408",5,4,1,6,-7,10,1,4,6,8,-2,1,11,4,8,0,5,-1,0,4,6,4
"199409",-5,-5,-5,2,0,2,-7,-6,-4,-3,0,-2,0,-3,-1,-6,4,-3,0,-1,-5,-2
"199410",3,-3,4,-1,2,12,4,6,1,2,-5,3,-1,7,6,6,5,3,10,1,6,2
"199411",-4,-2,-2,-6,-4,-10,-1,-5,-12,-5,-7,-5,-8,-5,-4,-2,-6,-2,-3,-2,-4,-3
"199412",2,3,1,2,3,3,-3,4,-3,4,2,1,-5,3,-4,8,1,-6,-2,3,0,1
"199501",-6,-4,0,-5,1,-1,-2,-2,-12,1,7,-6,-10,1,3,1,-8,-1,1,-1,-2,3
"199502",3,5,3,6,3,1,2,9,15,4,-9,-5,14,3,2,-4,4,3,2,6,1,4
"199503",-1,1,6,4,0,-3,13,-2,3,1,-6,9,0,5,4,-1,2,-2,-2,6,8,3
"199504",7,-1,7,2,5,13,1,4,-3,2,10,5,-1,3,11,8,1,8,9,2,1,3
"199505",-2,6,0,4,4,4,1,1,13,1,0,-6,11,1,-2,-2,6,5,2,5,2,4
"199506",-1,1,0,2,-2,15,-2,3,-2,5,-3,-5,-2,1,-2,5,-5,2,4,3,0,2
"199507",9,1,3,2,7,11,5,6,2,3,8,8,2,6,5,5,2,7,7,1,6,3
"199508",2,-8,-6,0,-5,-2,-6,-5,-3,0,-3,-4,-6,-6,-4,-6,-5,-3,-3,-2,-2,0
"199509",-1,1,4,0,2,4,-2,1,6,3,-1,1,-2,5,2,4,0,0,14,9,3,5
"199510",-2,-5,0,-1,0,-14,2,-1,0,-2,-5,-6,-5,-1,4,-5,0,-3,-4,4,0,0
"199511",2,-4,2,4,1,-2,0,0,0,1,-6,6,0,3,-3,-1,2,8,3,1,1,4
"199512",2,3,6,1,3,-16,4,3,3,2,10,5,6,4,1,3,7,5,-2,4,3,2
"199601",3,6,2,5,3,-1,4,4,13,2,5,-1,4,1,1,-2,5,1,-2,-6,0,4
"199602",3,0,-1,-1,1,-2,1,1,-1,1,-1,-2,4,2,2,3,1,7,10,4,1,1
"199603",0,-1,-2,2,-2,0,3,0,0,4,-4,4,6,3,1,2,-2,-1,2,9,-1,1
"199604",5,1,3,4,-1,0,2,-4,0,3,14,6,5,1,0,6,1,4,-1,-4,2,2
"199605",-1,5,2,2,0,11,-1,1,3,4,-1,-5,-4,5,-5,1,-5,-1,4,-3,1,3
"199606",-3,-6,1,-3,3,-4,2,2,-2,1,0,1,0,0,4,0,-4,4,1,5,-1,1
"199607",-5,-2,1,-3,2,1,-3,0,-5,-3,-7,-4,-6,-2,5,-5,-8,-4,-4,-2,1,-4
"199608",7,1,1,5,4,11,-2,2,3,4,-1,-4,5,2,3,3,2,2,7,4,5,2
"199609",0,-3,1,4,0,1,6,1,7,4,6,3,2,3,0,1,0,3,4,-2,2,6
"199610",4,1,2,8,3,2,2,1,4,3,-5,-7,2,3,7,4,-3,3,4,0,5,3
"199611",4,2,3,7,3,8,5,4,8,3,8,2,4,6,1,7,4,8,7,1,6,8
"199612",0,2,0,-3,5,4,1,0,-1,1,0,-7,1,2,0,6,2,10,1,-2,3,-2w
