"county","ballots","votes","equip","poor","urban","atlanta","perAA","gore","bush"
"MILLER",2215,2150,"LEVER",0,0,0,0.22,783,1349
"MITCHELL",6292,5799,"OPTICAL",1,0,0,0.414,2971,2790
"MONROE",7837,7541,"OPTICAL",0,0,0,0.23,2839,4561
"MONTGOMERY",2573,2509,"PAPER",1,0,0,0.243,1013,1465
"MORGAN",6199,5902,"OPTICAL",0,0,0,0.231,2238,3524
"MURRAY",8742,8372,"OPTICAL",0,0,0,0.003,2684,5539
"MUSCOGEE",54471,52163,"OPTICAL",0,1,0,0.396,28193,23479
"NEWTON",19157,18375,"PUNCH",0,1,0,0.197,6703,11127
"OCONEE",11361,11168,"OPTICAL",0,1,0,0.042,3184,7611
"OGLETHORPE",4602,4385,"OPTICAL",0,0,0,0.156,1519,2706
"PAULDING",24947,24260,"PUNCH",0,1,1,0.067,6743,16881
"PEACH",7296,7137,"LEVER",1,1,0,0.411,3540,3525
"PICKENS",8303,8201,"LEVER",0,1,0,0.007,2489,5488
"PIERCE",4897,4681,"LEVER",0,0,0,0.107,1300,3348
"PIKE",5055,4885,"OPTICAL",0,0,0,0.138,1413,3358
"POLK",10520,10116,"OPTICAL",0,0,0,0.117,4112,5841
"PULASKI",3547,3346,"LEVER",0,0,0,0.267,1390,1922
"PUTNAM",6712,6299,"OPTICAL",0,0,0,0.267,2612,3596
"QUITMAN",931,904,"LEVER",1,0,0,0.418,542,348
"RABUN",5536,5341,"LEVER",0,0,0,0.002,1776,3451
"RANDOLPH",3021,2569,"OPTICAL",1,0,0,0.527,1381,1174
"RICHMOND",60904,57538,"PUNCH",0,1,0,0.454,31413,25485
"ROCKDALE",25229,24490,"OPTICAL",0,1,1,0.145,8295,15440
"SCHLEY",1199,1176,"LEVER",0,0,0,0.277,460,706
"SCREVEN",4832,4719,"LEVER",1,0,0,0.385,2233,2461
"SEMINOLE",3058,2877,"PUNCH",1,0,0,0.271,1313,1537
"SPALDING",15798,15391,"LEVER",0,1,0,0.233,5831,9271
"STEPHENS",8706,8376,"LEVER",0,0,0,0.09,2869,5370
"STEWART",2077,1954,"LEVER",1,0,0,0.599,1267,675
"SUMTER",10315,9697,"LEVER",1,0,0,0.431,4748,4847
"TALBOT",2601,2531,"LEVER",1,0,0,0.581,1662,844
"TALIAFERRO",881,832,"PAPER",1,0,0,0.596,556,271
"TATTNALL",6025,5610,"LEVER",1,0,0,0.218,1963,3597
"TAYLOR",3084,2780,"OPTICAL",1,0,0,0.402,1340,1412
"TELFAIR",3855,3493,"LEVER",1,0,0,0.302,1777,1693
"TERRELL",3279,3113,"LEVER",1,0,0,0.546,1584,1504
"THOMAS",12777,12058,"OPTICAL",0,0,0,0.314,4862,7093
"TIFT",10803,10328,"LEVER",1,0,0,0.216,3547,6678
"TOOMBS",7667,7210,"LEVER",1,0,0,0.214,2643,4487
"TOWNS",4621,4497,"OPTICAL",0,0,0,0,1495,2902
"TREUTLEN",2168,1963,"OPTICAL",1,0,0,0.293,879,1062
"TROUP",18479,17804,"OPTICAL",0,0,0,0.244,6379,11198
"TURNER",2661,2456,"PUNCH",1,0,0,0.352,1169,1258
"TWIGGS",3884,3615,"PUNCH",1,1,0,0.446,1977,1570
"UNION",7221,6956,"OPTICAL",0,0,0,0,2230,4567
"UPSON",8791,8282,"OPTICAL",0,0,0,0.241,3158,5019
"WALKER",19654,18895,"OPTICAL",0,1,0,0.034,6341,12326
"WALTON",19785,19083,"OPTICAL",0,1,0,0.118,5484,12966
"WARE",10283,9628,"OPTICAL",1,0,0,0.221,3480,6099
"WARREN",2226,2145,"LEVER",1,0,0,0.549,1196,933
"WASHINGTON",6927,6691,"LEVER",1,0,0,0.462,3476,3162
"WAYNE",8342,8004,"OPTICAL",1,0,0,0.152,2736,5219
"WEBSTER",950,909,"LEVER",1,0,0,0.454,541,359
"WHEELER",1733,1575,"OPTICAL",1,0,0,0.254,752,813
"WHITE",7338,7043,"LEVER",0,0,0,0.019,2014,4857
"WHITFIELD",23854,23302,"OPTICAL",0,0,0,0.04,7034,15852
"WILCOX",2430,2365,"LEVER",1,0,0,0.265,962,1381
"WILKES",4136,4026,"LEVER",0,0,0,0.386,1940,2044
"WILKINSON",3792,3740,"LEVER",1,0,0,0.408,1884,1800
"WORTH",6458,6061,"PUNCH",1,0,0,0.266,2214,3792
