"partner","year","partner_name","product","product_name","partner_report_export","US_report_import","pop2000","region","govthonesty","distcap","gdppcus2000","met"
"ARG",2005,"Argentina","950320","Reduced-size (""scale"") model assemb",139.871,125.885,36895710,2,-0.438772290945053,8403.2255859375,284203700000,0
"ARG",2005,"Argentina","950330","Other construction sets and constru",0.849,0,36895710,2,-0.438772290945053,8403.2255859375,284203700000,0
"ARG",2005,"Argentina","950291","Parts and accessories :-- Garments",0,0.8,36895710,2,-0.438772290945053,8403.2255859375,284203700000,0
"ARM",1996,"Armenia","950291","Parts and accessories :-- Garments",0,9.135,3082000,4,-0.687179982662201,9416.0224609375,1911564000,1.33000004291534
"ARM",1997,"Armenia","950291","Parts and accessories :-- Garments",38.636,32.61,3082000,4,-0.731257796287537,9416.0224609375,1911564000,1.33000004291534
"ARM",1998,"Armenia","950291","Parts and accessories :-- Garments",0,28.5,3082000,4,-0.775335669517517,9416.0224609375,1911564000,1.33000004291534
"ARM",1999,"Armenia","950291","Parts and accessories :-- Garments",59.904,55.811,3082000,4,-0.793008744716644,9416.0224609375,1911564000,1.33000004291534
"ARM",2000,"Armenia","950291","Parts and accessories :-- Garments",44.572,54.182,3082000,4,-0.810681819915771,9416.0224609375,1911564000,1.33000004291534
"ARM",2001,"Armenia","950291","Parts and accessories :-- Garments",12.039,21.602,3082000,4,-0.751706004142761,9416.0224609375,1911564000,1.33000004291534
"ARM",2003,"Armenia","950291","Parts and accessories :-- Garments",0,7.756,3082000,4,-0.640812993049622,9416.0224609375,1911564000,1.33000004291534
"ARM",2004,"Armenia","950291","Parts and accessories :-- Garments",0.614,0,3082000,4,-0.703687965869904,9416.0224609375,1911564000,1.33000004291534
"ARM",2005,"Armenia","950291","Parts and accessories :-- Garments",3.895,4.237,3082000,4,-0.63821029663086,9416.0224609375,1911564000,1.33000004291534
"ATG",2005,"Antigua and Barbuda","950349","Toys representing animals or non-hu",1.191,0,77000,1,0.782458364963531,2831.9951171875,678518500,0
"ATG",2005,"Antigua and Barbuda","950341","Toys representing animals or non-hu",0.111,0,77000,1,0.782458364963531,2831.9951171875,678518500,0
"AUS",1996,"Australia","950349","Toys representing animals or non-hu",35.941,102.807,19153000,5,2.02449107170105,15961.9521484375,387538300000,1
"AUS",1996,"Australia","950299","Parts and accessories :-- Other",8.163,84.759,19153000,5,2.02449107170105,15961.9521484375,387538300000,1
"AUS",1996,"Australia","950310","Electric trains, including tracks,",16.138,15.481,19153000,5,2.02449107170105,15961.9521484375,387538300000,1
"AUS",1996,"Australia","950291","Parts and accessories :-- Garments",10.326,0,19153000,5,2.02449107170105,15961.9521484375,387538300000,1
"AUS",1996,"Australia","950330","Other construction sets and constru",13.339,0,19153000,5,2.02449107170105,15961.9521484375,387538300000,1
"AUS",1996,"Australia","950320","Reduced-size (""scale"") model assemb",73.601,13.282,19153000,5,2.02449107170105,15961.9521484375,387538300000,1
"AUS",1996,"Australia","950341","Toys representing animals or non-hu",125.344,89.509,19153000,5,2.02449107170105,15961.9521484375,387538300000,1
"AUS",1997,"Australia","950299","Parts and accessories :-- Other",22.575,4.601,19153000,5,2.08305549621582,15961.9521484375,387538300000,1
"AUS",1997,"Australia","950330","Other construction sets and constru",86.35,4.464,19153000,5,2.08305549621582,15961.9521484375,387538300000,1
"AUS",1997,"Australia","950320","Reduced-size (""scale"") model assemb",90.454,15.68,19153000,5,2.08305549621582,15961.9521484375,387538300000,1
"AUS",1997,"Australia","950341","Toys representing animals or non-hu",100.236,34.697,19153000,5,2.08305549621582,15961.9521484375,387538300000,1
"AUS",1997,"Australia","950310","Electric trains, including tracks,",22.72,34.399,19153000,5,2.08305549621582,15961.9521484375,387538300000,1
"AUS",1997,"Australia","950291","Parts and accessories :-- Garments",20.069,2,19153000,5,2.08305549621582,15961.9521484375,387538300000,1
"AUS",1997,"Australia","950349","Toys representing animals or non-hu",10.136,54.863,19153000,5,2.08305549621582,15961.9521484375,387538300000,1
"AUS",1998,"Australia","950291","Parts and accessories :-- Garments",579.83,0.536,19153000,5,2.14161992073059,15961.9521484375,387538300000,1
"AUS",1998,"Australia","950299","Parts and accessories :-- Other",15.247,0,19153000,5,2.14161992073059,15961.9521484375,387538300000,1
"AUS",1998,"Australia","950341","Toys representing animals or non-hu",145.765,79.389,19153000,5,2.14161992073059,15961.9521484375,387538300000,1
"AUS",1998,"Australia","950320","Reduced-size (""scale"") model assemb",70.444,30.662,19153000,5,2.14161992073059,15961.9521484375,387538300000,1
"AUS",1998,"Australia","950310","Electric trains, including tracks,",32.064,0,19153000,5,2.14161992073059,15961.9521484375,387538300000,1
"AUS",1998,"Australia","950330","Other construction sets and constru",28.223,17.875,19153000,5,2.14161992073059,15961.9521484375,387538300000,1
"AUS",1998,"Australia","950349","Toys representing animals or non-hu",12.655,23.363,19153000,5,2.14161992073059,15961.9521484375,387538300000,1
"AUS",1999,"Australia","950341","Toys representing animals or non-hu",62.347,96.337,19153000,5,2.06993484497070,15961.9521484375,387538300000,1
"AUS",1999,"Australia","950320","Reduced-size (""scale"") model assemb",61.133,23.524,19153000,5,2.06993484497070,15961.9521484375,387538300000,1
"AUS",1999,"Australia","950299","Parts and accessories :-- Other",0,1.541,19153000,5,2.06993484497070,15961.9521484375,387538300000,1
"AUS",1999,"Australia","950310","Electric trains, including tracks,",3.787,8.875,19153000,5,2.06993484497070,15961.9521484375,387538300000,1
"AUS",1999,"Australia","950349","Toys representing animals or non-hu",33.603,11.061,19153000,5,2.06993484497070,15961.9521484375,387538300000,1
"AUS",1999,"Australia","950330","Other construction sets and constru",25.401,22.128,19153000,5,2.06993484497070,15961.9521484375,387538300000,1
"AUS",2000,"Australia","950341","Toys representing animals or non-hu",88.475,88.134,19153000,5,1.99824988842010,15961.9521484375,387538300000,1
"AUS",2000,"Australia","950310","Electric trains, including tracks,",0,3.163,19153000,5,1.99824988842010,15961.9521484375,387538300000,1
"AUS",2000,"Australia","950349","Toys representing animals or non-hu",492.761,526.354,19153000,5,1.99824988842010,15961.9521484375,387538300000,1
"AUS",2000,"Australia","950291","Parts and accessories :-- Garments",30.443,0,19153000,5,1.99824988842010,15961.9521484375,387538300000,1
"AUS",2000,"Australia","950299","Parts and accessories :-- Other",13.337,52.986,19153000,5,1.99824988842010,15961.9521484375,387538300000,1
"AUS",2000,"Australia","950320","Reduced-size (""scale"") model assemb",43.046,21.811,19153000,5,1.99824988842010,15961.9521484375,387538300000,1
"AUS",2000,"Australia","950330","Other construction sets and constru",22.618,37.167,19153000,5,1.99824988842010,15961.9521484375,387538300000,1
"AUS",2001,"Australia","950341","Toys representing animals or non-hu",46.72,31.66,19153000,5,1.9468777179718,15961.9521484375,387538300000,1
"AUS",2001,"Australia","950320","Reduced-size (""scale"") model assemb",69.137,26.94,19153000,5,1.9468777179718,15961.9521484375,387538300000,1
"AUS",2001,"Australia","950291","Parts and accessories :-- Garments",5.143,0,19153000,5,1.9468777179718,15961.9521484375,387538300000,1
"AUS",2001,"Australia","950349","Toys representing animals or non-hu",84.218,6.038,19153000,5,1.9468777179718,15961.9521484375,387538300000,1
"AUS",2001,"Australia","950299","Parts and accessories :-- Other",86.675,0,19153000,5,1.9468777179718,15961.9521484375,387538300000,1
"AUS",2001,"Australia","950330","Other construction sets and constru",4.615,10.041,19153000,5,1.9468777179718,15961.9521484375,387538300000,1
"AUS",2001,"Australia","950310","Electric trains, including tracks,",37.658,10.315,19153000,5,1.9468777179718,15961.9521484375,387538300000,1
"AUS",2002,"Australia","950320","Reduced-size (""scale"") model assemb",90.624,132.725,19153000,5,1.89550566673279,15961.9521484375,387538300000,1
"AUS",2002,"Australia","950349","Toys representing animals or non-hu",306.539,15.259,19153000,5,1.89550566673279,15961.9521484375,387538300000,1
"AUS",2002,"Australia","950310","Electric trains, including tracks,",43.589,14.458,19153000,5,1.89550566673279,15961.9521484375,387538300000,1
"AUS",2002,"Australia","950291","Parts and accessories :-- Garments",45.835,0.526,19153000,5,1.89550566673279,15961.9521484375,387538300000,1
"AUS",2002,"Australia","950330","Other construction sets and constru",31.754,6.7,19153000,5,1.89550566673279,15961.9521484375,387538300000,1
"AUS",2002,"Australia","950341","Toys representing animals or non-hu",123.033,51.027,19153000,5,1.89550566673279,15961.9521484375,387538300000,1
"AUS",2003,"Australia","950341","Toys representing animals or non-hu",110.583,71.164,19153000,5,1.96853792667389,15961.9521484375,387538300000,1
"AUS",2003,"Australia","950320","Reduced-size (""scale"") model assemb",21.81,160.498,19153000,5,1.96853792667389,15961.9521484375,387538300000,1
"AUS",2003,"Australia","950291","Parts and accessories :-- Garments",3.591,0,19153000,5,1.96853792667389,15961.9521484375,387538300000,1
"AUS",2003,"Australia","950349","Toys representing animals or non-hu",37.52,51.067,19153000,5,1.96853792667389,15961.9521484375,387538300000,1
"AUS",2003,"Australia","950330","Other construction sets and constru",0,3.593,19153000,5,1.96853792667389,15961.9521484375,387538300000,1
"AUS",2003,"Australia","950310","Electric trains, including tracks,",24.319,4.594,19153000,5,1.96853792667389,15961.9521484375,387538300000,1
"AUS",2003,"Australia","950299","Parts and accessories :-- Other",0,2.004,19153000,5,1.96853792667389,15961.9521484375,387538300000,1
"AUS",2004,"Australia","950310","Electric trains, including tracks,",3.819,38.794,19153000,5,2.0238881111145,15961.9521484375,387538300000,1
"AUS",2004,"Australia","950349","Toys representing animals or non-hu",41.313,23.91,19153000,5,2.0238881111145,15961.9521484375,387538300000,1
"AUS",2004,"Australia","950291","Parts and accessories :-- Garments",2.699,0,19153000,5,2.0238881111145,15961.9521484375,387538300000,1
"AUS",2004,"Australia","950341","Toys representing animals or non-hu",61.817,44.347,19153000,5,2.0238881111145,15961.9521484375,387538300000,1
"AUS",2004,"Australia","950320","Reduced-size (""scale"") model assemb",78.552,302.047,19153000,5,2.0238881111145,15961.9521484375,387538300000,1
"AUS",2004,"Australia","950330","Other construction sets and constru",53.237,71.009,19153000,5,2.0238881111145,15961.9521484375,387538300000,1
"AUS",2005,"Australia","950349","Toys representing animals or non-hu",44.562,70.195,19153000,5,1.94974279403687,15961.9521484375,387538300000,1
"AUS",2005,"Australia","950291","Parts and accessories :-- Garments",0.756,0.75,19153000,5,1.94974279403687,15961.9521484375,387538300000,1
"AUS",2005,"Australia","950320","Reduced-size (""scale"") model assemb",347.686,283.568,19153000,5,1.94974279403687,15961.9521484375,387538300000,1
"AUS",2005,"Australia","950310","Electric trains, including tracks,",59.112,0,19153000,5,1.94974279403687,15961.9521484375,387538300000,1
"AUS",2005,"Australia","950341","Toys representing animals or non-hu",103.165,50.667,19153000,5,1.94974279403687,15961.9521484375,387538300000,1
"AUS",2005,"Australia","950330","Other construction sets and constru",64.49,166.417,19153000,5,1.94974279403687,15961.9521484375,387538300000,1
"AUT",1996,"Austria","950349","Toys representing animals or non-hu",25.316,32.8,8011561,3,1.81252551078796,7129.66650390625,193838200000,1
"AUT",1996,"Austria","950330","Other construction sets and constru",9.635,0,8011561,3,1.81252551078796,7129.66650390625,193838200000,1
"AUT",1996,"Austria","950320","Reduced-size (""scale"") model assemb",72.832,134.412,8011561,3,1.81252551078796,7129.66650390625,193838200000,1
"AUT",1996,"Austria","950341","Toys representing animals or non-hu",4.156,0,8011561,3,1.81252551078796,7129.66650390625,193838200000,1
"AUT",1996,"Austria","950310","Electric trains, including tracks,",279.333,413.625,8011561,3,1.81252551078796,7129.66650390625,193838200000,1
"AUT",1997,"Austria","950330","Other construction sets and constru",0,70.93,8011561,3,1.88629221916199,7129.66650390625,193838200000,1
"AUT",1997,"Austria","950320","Reduced-size (""scale"") model assemb",120.342,135.628,8011561,3,1.88629221916199,7129.66650390625,193838200000,1
"AUT",1997,"Austria","950341","Toys representing animals or non-hu",3.361,4.531,8011561,3,1.88629221916199,7129.66650390625,193838200000,1
"AUT",1997,"Austria","950349","Toys representing animals or non-hu",0,40.608,8011561,3,1.88629221916199,7129.66650390625,193838200000,1
"AUT",1997,"Austria","950310","Electric trains, including tracks,",360.862,396.649,8011561,3,1.88629221916199,7129.66650390625,193838200000,1
"AUT",1998,"Austria","950349","Toys representing animals or non-hu",0,42.985,8011561,3,1.96005880832672,7129.66650390625,193838200000,1
"AUT",1998,"Austria","950341","Toys representing animals or non-hu",23.646,14.267,8011561,3,1.96005880832672,7129.66650390625,193838200000,1
"AUT",1998,"Austria","950310","Electric trains, including tracks,",477.388,422.59,8011561,3,1.96005880832672,7129.66650390625,193838200000,1
"AUT",1998,"Austria","950320","Reduced-size (""scale"") model assemb",68.915,49.123,8011561,3,1.96005880832672,7129.66650390625,193838200000,1
"AUT",1998,"Austria","950330","Other construction sets and constru",0,47.707,8011561,3,1.96005880832672,7129.66650390625,193838200000,1
"AUT",1999,"Austria","950349","Toys representing animals or non-hu",3.326,33.856,8011561,3,1.92087805271149,7129.66650390625,193838200000,1
"AUT",1999,"Austria","950299","Parts and accessories :-- Other",2.475,0,8011561,3,1.92087805271149,7129.66650390625,193838200000,1
"AUT",1999,"Austria","950320","Reduced-size (""scale"") model assemb",80.99,48.298,8011561,3,1.92087805271149,7129.66650390625,193838200000,1
"AUT",1999,"Austria","950330","Other construction sets and constru",22.2,81.097,8011561,3,1.92087805271149,7129.66650390625,193838200000,1
"AUT",1999,"Austria","950310","Electric trains, including tracks,",594.937,522.971,8011561,3,1.92087805271149,7129.66650390625,193838200000,1
"AUT",1999,"Austria","950341","Toys representing animals or non-hu",4.641,2.148,8011561,3,1.92087805271149,7129.66650390625,193838200000,1
"AUT",2000,"Austria","950330","Other construction sets and constru",11.044,37.667,8011561,3,1.88169729709625,7129.66650390625,193838200000,1
"AUT",2000,"Austria","950349","Toys representing animals or non-hu",58.768,11.319,8011561,3,1.88169729709625,7129.66650390625,193838200000,1
"AUT",2000,"Austria","950299","Parts and accessories :-- Other",0,0.755,8011561,3,1.88169729709625,7129.66650390625,193838200000,1
"AUT",2000,"Austria","950310","Electric trains, including tracks,",515.19,449.753,8011561,3,1.88169729709625,7129.66650390625,193838200000,1
"AUT",2000,"Austria","950341","Toys representing animals or non-hu",5.153,4.456,8011561,3,1.88169729709625,7129.66650390625,193838200000,1
"AUT",2000,"Austria","950320","Reduced-size (""scale"") model assemb",131.726,154.589,8011561,3,1.88169729709625,7129.66650390625,193838200000,1
"AUT",2001,"Austria","950320","Reduced-size (""scale"") model assemb",143.785,137.61,8011561,3,1.87629437446594,7129.66650390625,193838200000,1
"AUT",2001,"Austria","950341","Toys representing animals or non-hu",2.436,28.298,8011561,3,1.87629437446594,7129.66650390625,193838200000,1
"AUT",2001,"Austria","950310","Electric trains, including tracks,",695.861,569.353,8011561,3,1.87629437446594,7129.66650390625,193838200000,1
"AUT",2001,"Austria","950330","Other construction sets and constru",16.466,17.975,8011561,3,1.87629437446594,7129.66650390625,193838200000,1
"AUT",2001,"Austria","950349","Toys representing animals or non-hu",2.399,0.615,8011561,3,1.87629437446594,7129.66650390625,193838200000,1
"AUT",2002,"Austria","950320","Reduced-size (""scale"") model assemb",87.764,103.21,8011561,3,1.87089133262634,7129.66650390625,193838200000,1
"AUT",2002,"Austria","950330","Other construction sets and constru",2.417,110.464,8011561,3,1.87089133262634,7129.66650390625,193838200000,1
"AUT",2002,"Austria","950349","Toys representing animals or non-hu",4.375,6.59,8011561,3,1.87089133262634,7129.66650390625,193838200000,1
"AUT",2002,"Austria","950310","Electric trains, including tracks,",892.75,688.518,8011561,3,1.87089133262634,7129.66650390625,193838200000,1
"AUT",2002,"Austria","950341","Toys representing animals or non-hu",11.291,1.489,8011561,3,1.87089133262634,7129.66650390625,193838200000,1
"AUT",2003,"Austria","950341","Toys representing animals or non-hu",10.445,8.217,8011561,3,2.11258435249329,7129.66650390625,193838200000,1
"AUT",2003,"Austria","950320","Reduced-size (""scale"") model assemb",110.24,45.628,8011561,3,2.11258435249329,7129.66650390625,193838200000,1
"AUT",2003,"Austria","950330","Other construction sets and constru",4.945,865.698,8011561,3,2.11258435249329,7129.66650390625,193838200000,1
"AUT",2003,"Austria","950310","Electric trains, including tracks,",448.3,324.054,8011561,3,2.11258435249329,7129.66650390625,193838200000,1
"AUT",2003,"Austria","950349","Toys representing animals or non-hu",3.195,2.281,8011561,3,2.11258435249329,7129.66650390625,193838200000,1
"AUT",2004,"Austria","950320","Reduced-size (""scale"") model assemb",97.225,39.205,8011561,3,2.13369226455688,7129.66650390625,193838200000,1
"AUT",2004,"Austria","950310","Electric trains, including tracks,",558.055,311.274,8011561,3,2.13369226455688,7129.66650390625,193838200000,1
"AUT",2004,"Austria","950341","Toys representing animals or non-hu",34.272,0.775,8011561,3,2.13369226455688,7129.66650390625,193838200000,1
"AUT",2004,"Austria","950349","Toys representing animals or non-hu",0.747,0,8011561,3,2.13369226455688,7129.66650390625,193838200000,1
"AUT",2004,"Austria","950330","Other construction sets and constru",17.761,1520.343,8011561,3,2.13369226455688,7129.66650390625,193838200000,1
"AUT",2005,"Austria","950320","Reduced-size (""scale"") model assemb",191.83,57.817,8011561,3,1.98907053470612,7129.66650390625,193838200000,1
"AUT",2005,"Austria","950341","Toys representing animals or non-hu",18.724,4.856,8011561,3,1.98907053470612,7129.66650390625,193838200000,1
"AUT",2005,"Austria","950330","Other construction sets and constru",2.738,1036.408,8011561,3,1.98907053470612,7129.66650390625,193838200000,1
"AUT",2005,"Austria","950310","Electric trains, including tracks,",278.566,286.628,8011561,3,1.98907053470612,7129.66650390625,193838200000,1
"AUT",2005,"Austria","950349","Toys representing animals or non-hu",8.405,19.119,8011561,3,1.98907053470612,7129.66650390625,193838200000,1
"AZE",1999,"Azerbaijan","950349","Toys representing animals or non-hu",4.06,0,8048535,4,-1.10568177700043,9695.5390625,5272617000,0.5
"AZE",1999,"Azerbaijan","950330","Other construction sets and constru",1.83,0,8048535,4,-1.10568177700043,9695.5390625,5272617000,0.5
"AZE",1999,"Azerbaijan","950320","Reduced-size (""scale"") model assemb",1.8,0,8048535,4,-1.10568177700043,9695.5390625,5272617000,0.5
"BEL",2000,"Belgium","950341","Toys representing animals or non-hu",6.512,11.339,10252000,3,1.31656706333160,6222.8642578125,228417200000,0
"BEL",2000,"Belgium","950330","Other construction sets and constru",522.367,94.065,10252000,3,1.31656706333160,6222.8642578125,228417200000,0
"BEL",2000,"Belgium","950299","Parts and accessories :-- Other",1.329,0,10252000,3,1.31656706333160,6222.8642578125,228417200000,0
"BEL",2000,"Belgium","950320","Reduced-size (""scale"") model assemb",31.225,20.652,10252000,3,1.31656706333160,6222.8642578125,228417200000,0
"BEL",2000,"Belgium","950291","Parts and accessories :-- Garments",0,0.71,10252000,3,1.31656706333160,6222.8642578125,228417200000,0
"BEL",2000,"Belgium","950310","Electric trains, including tracks,",45.266,0,10252000,3,1.31656706333160,6222.8642578125,228417200000,0
"BEL",2000,"Belgium","950349","Toys representing animals or non-hu",172.767,11.035,10252000,3,1.31656706333160,6222.8642578125,228417200000,0
"BEL",2001,"Belgium","950330","Other construction sets and constru",1793.684,208.332,10252000,3,1.47251915931702,6222.8642578125,228417200000,0
"BEL",2001,"Belgium","950320","Reduced-size (""scale"") model assemb",100.406,35.309,10252000,3,1.47251915931702,6222.8642578125,228417200000,0
"BEL",2001,"Belgium","950299","Parts and accessories :-- Other",4.407,2.555,10252000,3,1.47251915931702,6222.8642578125,228417200000,0
"BEL",2001,"Belgium","950349","Toys representing animals or non-hu",78.192,123.322,10252000,3,1.47251915931702,6222.8642578125,228417200000,0
"BEL",2001,"Belgium","950310","Electric trains, including tracks,",45.354,0,10252000,3,1.47251915931702,6222.8642578125,228417200000,0
"BEL",2001,"Belgium","950341","Toys representing animals or non-hu",50.411,11.252,10252000,3,1.47251915931702,6222.8642578125,228417200000,0
"BEL",2002,"Belgium","950341","Toys representing animals or non-hu",26.432,25.723,10252000,3,1.62847125530243,6222.8642578125,228417200000,0
"BEL",2002,"Belgium","950330","Other construction sets and constru",52.787,93.955,10252000,3,1.62847125530243,6222.8642578125,228417200000,0
"BEL",2002,"Belgium","950349","Toys representing animals or non-hu",0,26.162,10252000,3,1.62847125530243,6222.8642578125,228417200000,0
"BEL",2002,"Belgium","950299","Parts and accessories :-- Other",5.001,0,10252000,3,1.62847125530243,6222.8642578125,228417200000,0
"BEL",2002,"Belgium","950310","Electric trains, including tracks,",33.97,109.604,10252000,3,1.62847125530243,6222.8642578125,228417200000,0
"BEL",2002,"Belgium","950320","Reduced-size (""scale"") model assemb",64.834,112.457,10252000,3,1.62847125530243,6222.8642578125,228417200000,0
"BEL",2003,"Belgium","950349","Toys representing animals or non-hu",24.153,21.417,10252000,3,1.58453011512756,6222.8642578125,228417200000,0
"BEL",2003,"Belgium","950310","Electric trains, including tracks,",18.102,0,10252000,3,1.58453011512756,6222.8642578125,228417200000,0
"BEL",2003,"Belgium","950291","Parts and accessories :-- Garments",3.028,4.201,10252000,3,1.58453011512756,6222.8642578125,228417200000,0
"BEL",2003,"Belgium","950341","Toys representing animals or non-hu",96.638,5.084,10252000,3,1.58453011512756,6222.8642578125,228417200000,0
"BEL",2003,"Belgium","950320","Reduced-size (""scale"") model assemb",202.579,32.714,10252000,3,1.58453011512756,6222.8642578125,228417200000,0
"BEL",2003,"Belgium","950330","Other construction sets and constru",280.395,244.998,10252000,3,1.58453011512756,6222.8642578125,228417200000,0
"BEL",2003,"Belgium","950299","Parts and accessories :-- Other",8.514,9.073,10252000,3,1.58453011512756,6222.8642578125,228417200000,0
"BEL",2004,"Belgium","950341","Toys representing animals or non-hu",45.993,41.026,10252000,3,1.51321148872375,6222.8642578125,228417200000,0
"BEL",2004,"Belgium","950330","Other construction sets and constru",415.291,431.56,10252000,3,1.51321148872375,6222.8642578125,228417200000,0
"BEL",2004,"Belgium","950310","Electric trains, including tracks,",39.678,0,10252000,3,1.51321148872375,6222.8642578125,228417200000,0
"BEL",2004,"Belgium","950320","Reduced-size (""scale"") model assemb",83.614,66.524,10252000,3,1.51321148872375,6222.8642578125,228417200000,0
"BEL",2004,"Belgium","950299","Parts and accessories :-- Other",31.224,0,10252000,3,1.51321148872375,6222.8642578125,228417200000,0
"BEL",2004,"Belgium","950349","Toys representing animals or non-hu",16.368,18.363,10252000,3,1.51321148872375,6222.8642578125,228417200000,0
