"name","party","state","chamber","repshare","cs1","cs2"
"Ed Whitfield","R","KY","H",0.638087332248688,0.31,-0.015
"Bob Goodlatte","R","VA","H",0.637871205806732,0.432,0.001
"Geoff Davis","R","KY","H",0.637218058109283,0.372,0.064
"Jim Sensenbrenner","R","WI","H",0.636009156703949,0.603,-0.496
"Sue Myrick","R","NC","H",0.635853469371796,0.522,-0.121
"Ted Poe","R","TX","H",0.633335590362549,0.421,0.282
"Lisa Murkowski","R","AK","S",0.632262825965881,0.198,-0.232
"Ted Stevens","R","AK","S",0.632262825965881,0.206,-0.376
"Don Young","R","AK","H",0.632262825965881,0.265,-0.057
"Wayne Gilchrest","R","MD","H",0.631899118423462,0.263,-0.645
"Darrell Issa","R","CA","H",0.631802797317505,0.465,-0.238
"John Boozman","R","AR","H",0.630632400512695,0.375,-0.005
"Wally Herger","R","CA","H",0.629221618175507,0.494,0.015
"Jeff Sessions","R","AL","S",0.628977715969086,0.456,0.004
"Richard Shelby","R","AL","S",0.628977715969086,0.338,0.121
"Sam Brownback","R","KS","S",0.628670990467072,0.372,-0.377
"Pat Roberts","R","KS","S",0.628670990467072,0.346,-0.173
"Roger Wicker","R","MS","H",0.627667903900146,0.349,0.115
"Gary Miller","R","CA","H",0.627116084098816,0.45,-0.013
"Rodney Alexander","R","LA","H",0.626346230506897,0.341,-0.057
"Jerry Lewis","R","CA","H",0.625992774963379,0.326,-0.213
"John Doolittle","R","CA","H",0.62112545967102,0.49,0.02
"Connie Mack","R","FL","H",0.620275020599365,0.5,-0.113
"John Hostettler","R","IN","H",0.619566202163696,0.579,0.073
"Duncan Hunter","R","CA","H",0.619374454021454,0.422,0.03
"Michael McCaul","R","TX","H",0.618999302387238,0.424,-0.121
"Trent Franks","R","AZ","H",0.618167400360107,0.622,0.071
"Joe Pitts","R","PA","H",0.617654502391815,0.513,-0.121
"George Radanovich","R","CA","H",0.617474675178528,0.45,-0.036
"Greg Walden","R","OR","H",0.616897642612457,0.359,-0.254
"John Cornyn","R","TX","S",0.615101933479309,0.412,-0.011
"Kay Bailey Hutchison","R","TX","S",0.615101933479309,0.293,-0.121
"Zachary Wamp","R","TN","H",0.615078091621399,0.406,-0.045
"Eric Cantor","R","VA","H",0.614467620849609,0.506,-0.186
"Paul Gillmor","R","OH","H",0.612941741943359,0.303,-0.118
"Henry Brown","R","SC","H",0.611536085605621,0.366,-0.092
"John Peterson","R","PA","H",0.610937833786011,0.34,-0.007
"Edward Royce","R","CA","H",0.610236704349518,0.629,-0.273
"John Shimkus","R","IL","H",0.610030055046082,0.369,0.02
"Lee Terry","R","NE","H",0.609970569610596,0.438,-0.167
"Cliff Stearns","R","FL","H",0.609682083129883,0.503,-0.004
"Hal Rogers","R","KY","H",0.6095951795578,0.307,-0.057
"John Thune","R","SD","S",0.609132885932922,0.324,0.083
"Peter Hoekstra","R","MI","H",0.606841564178467,0.515,-0.346
"Tom Tancredo","R","CO","H",0.606667578220367,0.627,-0.017
"Jo Ann Davis","R","VA","H",0.605476438999176,0.356,0.168
"Lamar Smith","R","TX","H",0.605157554149628,0.372,-0.096
"Conrad Burns","R","MT","S",0.605000734329224,0.329,0.083
"Dennis Rehberg","R","MT","H",0.605000734329224,0.351,-0.086
"Richard Lugar","R","IN","S",0.604234755039215,0.262,-0.491
"Joe Wilson","R","SC","H",0.60410338640213,0.494,-0.082
"Charles Boustany","R","LA","H",0.603882312774658,0.403,-0.124
"Steve King","R","IA","H",0.603498697280884,0.537,0.111
"Don Sherwood","R","PA","H",0.60210782289505,0.335,-0.188
"Todd Akin","R","MO","H",0.600991189479828,0.528,0.074
"Jim Bunning","R","KY","S",0.600076198577881,0.465,-0.001
"Mitch McConnell","R","KY","S",0.600076198577881,0.351,-0.076
"Jim Ryun","R","KS","H",0.599834382534027,0.478,0.118
"Thad Cochran","R","MS","S",0.599416136741638,0.257,-0.104
"Trent Lott","R","MS","S",0.599416136741638,0.366,0.098
"Vernon Ehlers","R","MI","H",0.596740305423737,0.368,-0.682
"Pete Sessions","R","TX","H",0.596451938152313,0.535,0.005
"Ken Calvert","R","CA","H",0.596433639526367,0.346,-0.102
"Jim McCrery","R","LA","H",0.59596586227417,0.351,-0.083
"Buck McKeon","R","CA","H",0.595838189125061,0.394,-0.105
"Richard Baker","R","LA","H",0.594743132591248,0.378,-0.014
"Michael Sodrel","R","IN","H",0.593722462654114,0.394,-0.015
"Christopher Cox","R","CA","H",0.591062247753143,0.524,-0.232
"John Campbell","R","CA","H",0.591062247753143,0.625,-0.204
"Kenny Hulshof","R","MO","H",0.590717494487762,0.396,-0.026
"Daniel Lungren","R","CA","H",0.588014662265778,0.487,-0.168
"Jim DeMint","R","SC","S",0.586353600025177,0.574,-0.076
"Lindsey Graham","R","SC","S",0.586353600025177,0.362,-0.14
"Mike D. Rogers","R","AL","H",0.585904359817505,0.325,0.004
"Ginny Brown-Waite","R","FL","H",0.58551013469696,0.335,0.063
"Marilyn Musgrave","R","CO","H",0.584434747695923,0.502,0.068
"Saxby Chambliss","R","GA","S",0.583542346954346,0.363,0.113
"Johnny Isakson","R","GA","S",0.583542346954346,0.384,-0.104
"Stevan Pearce","R","NM","H",0.583121240139008,0.426,-0.151
"Jim Gibbons","R","NV","H",0.582679986953735,0.457,-0.121
"Adam Putnam","R","FL","H",0.582550942897797,0.409,-0.13
"John Shadegg","R","AZ","H",0.582490921020508,0.644,-0.065
"Thelma Drake","R","VA","H",0.581428527832031,0.376,-0.029
"Ray LaHood","R","IL","H",0.580822348594666,0.276,-0.221
"Rodney Frelinghuysen","R","NJ","H",0.579695641994476,0.321,-0.633
"Dana Rohrabacher","R","CA","H",0.577566802501678,0.603,-0.301
"Sam Graves","R","MO","H",0.575097501277924,0.403,0.107
"Scott Garrett","R","NJ","H",0.573878347873688,0.577,-0.06
"Randy Kuhl","R","NY","H",0.573353886604309,0.285,-0.102
"David Vitter","R","LA","S",0.573309421539307,0.44,0.11
"Shelley Moore Capito","R","WV","H",0.573264181613922,0.265,-0.207
"Robert Ney","R","OH","H",0.57312661409378,0.269,0.005
"Mark Kennedy","R","MN","H",0.572681963443756,0.471,-0.143
"Charles Taylor","R","NC","H",0.572246670722961,0.426,0.042
"Bill Frist","R","TN","S",0.571854472160339,0.313,-0.264
"Lamar Alexander","R","TN","S",0.571854472160339,0.278,-0.243
"David Hobson","R","OH","H",0.571705937385559,0.331,-0.338
"Randy Forbes","R","VA","H",0.571140289306641,0.385,0.058
"Thomas Petri","R","WI","H",0.570626795291901,0.438,-0.401
"Dave Weldon","R","FL","H",0.570414364337921,0.444,-0.064
"Michael Bilirakis","R","FL","H",0.569665253162384,0.35,-0.192
"Lincoln Diaz-Balart","R","FL","H",0.569543480873108,0.279,-0.273
"John Mica","R","FL","H",0.56831294298172,0.404,-0.033
"Candice Miller","R","MI","H",0.568089365959167,0.315,-0.105
"Mary Bono","R","CA","H",0.565413057804108,0.362,-0.377
"Virgil Goode","R","VA","H",0.565248370170593,0.41,0.324
"Chris Chocola","R","IN","H",0.564423561096191,0.521,-0.182
"Elton Gallegly","R","CA","H",0.564020395278931,0.359,-0.152
"Mario Diaz-Balart","R","FL","H",0.562898278236389,0.385,-0.268
"Richard Burr","R","NC","S",0.562419712543488,0.397,-0.064
"Elizabeth Dole","R","NC","S",0.562419712543488,0.307,-0.024
"Christopher Smith","R","NJ","H",0.562215209007263,0.162,-0.274
"Katherine Harris","R","FL","H",0.561797678470612,0.444,-0.251
"Thomas Reynolds","R","NY","H",0.561655044555664,0.359,-0.23
"J. Dennis Hastert","R","IL","H",0.558440864086151,0.422,-0.161
"David Dreier","R","CA","H",0.557957589626312,0.454,-0.188
"Donald Manzullo","R","IL","H",0.557287335395813,0.465,-0.04
"Randy 'Duke' Cunningham","R","CA","H",0.557269930839539,0.368,-0.054
"Phil Gingrey","R","GA","H",0.556020379066467,0.449,0.085
"Frank Wolf","R","VA","H",0.555601298809052,0.276,-0.274
"Dave Camp","R","MI","H",0.55432790517807,0.359,-0.196
"Mark Green","R","WI","H",0.554029643535614,0.432,-0.143
"Jon Kyl","R","AZ","S",0.552750051021576,0.49,-0.432
"John McCain","R","AZ","S",0.552750051021576,0.304,-0.51
"Tom Feeney","R","FL","H",0.552386283874512,0.557,-0.046
"Judith Biggert","R","IL","H",0.552354276180267,0.384,-0.645
"Vito Fossella","R","NY","H",0.550957918167114,0.431,-0.327
"Joe Schwarz","R","MI","H",0.547496438026428,0.254,-0.368
"Melissa Hart","R","PA","H",0.546796381473541,0.401,-0.135
"Ric Keller","R","FL","H",0.546580493450165,0.426,-0.079
"John Kline","R","MN","H",0.545324504375458,0.477,-0.146
"Robin Hayes","R","NC","H",0.544950246810913,0.35,0.158
"Michael Turner","R","OH","H",0.544828772544861,0.304,-0.199
"J.D. Hayworth","R","AZ","H",0.544162154197693,0.496,-0.046
"Ileana Ros-Lehtinen","R","FL","H",0.544018983840942,0.269,-0.364
"Richard Pombo","R","CA","H",0.543617725372314,0.462,0.243
"Tim Murphy","R","PA","H",0.543184041976929,0.263,-0.105
"Mike J. Rogers","R","MI","H",0.542551934719086,0.401,-0.132
"Sue Kelly","R","NY","H",0.542491137981415,0.272,-0.627
"Mark Foley","R","FL","H",0.542469620704651,0.322,-0.426
"Rick Renzi","R","AZ","H",0.541939496994019,0.276,0.007
"George Allen","R","VA","S",0.541336953639984,0.353,-0.105
"John Warner","R","VA","S",0.541336953639984,0.225,-0.22
"Ralph Regula","R","OH","H",0.540133535861969,0.234,-0.257
"John Sweeney","R","NY","H",0.539636135101318,0.346,-0.291
"Paul Ryan","R","WI","H",0.537463903427124,0.544,-0.317
"Jerry Weller","R","IL","H",0.536519706249237,0.387,-0.232
"Jim Talent","R","MO","S",0.536197125911713,0.338,-0.036
"Kit Bond","R","MO","S",0.536197125911713,0.281,-0.239
"Henry Hyde","R","IL","H",0.533959090709686,0.313,-0.164
"Fred Upton","R","MI","H",0.533531486988068,0.316,-0.501
"Philip English","R","PA","H",0.532680988311768,0.362,-0.335
"Jim Kolbe","R","AZ","H",0.532302260398865,0.371,-0.574
"Mike Ferguson","R","NJ","H",0.531411945819855,0.296,-0.452
"Sherwood Boehlert","R","NY","H",0.530461013317108,0.135,-0.649
"Thad McCotter","R","MI","H",0.528455853462219,0.334,-0.043
"Steven LaTourette","R","OH","H",0.527451038360596,0.237,-0.235
"Mel Martinez","R","FL","S",0.525236785411835,0.259,-0.255
"Peter King","R","NY","H",0.524013102054596,0.276,-0.229
"Wayne Allard","R","CO","S",0.523662269115448,0.497,-0.199
"John McHugh","R","NY","H",0.52128678560257,0.231,-0.163
"Gilbert Gutknecht","R","MN","H",0.518352389335632,0.475,0.063
"Jim Ramstad","R","MN","H",0.514670372009277,0.391,-0.685
"John Ensign","R","NV","S",0.513175964355469,0.425,-0.446
"Jim Saxton","R","NJ","H",0.5125852227211,0.247,-0.388
"Tom Latham","R","IA","H",0.511937439441681,0.349,-0.077
"Bill Young","R","FL","H",0.511852324008942,0.31,-0.17
"Jeb Bradley","R","NH","H",0.511702418327332,0.374,-0.463
"Mike DeWine","R","OH","S",0.510587632656097,0.231,-0.374
"George Voinovich","R","OH","S",0.510587632656097,0.221,-0.724
"Pat Tiberi","R","OH","H",0.50885671377182,0.438,-0.282
"Joe Knollenberg","R","MI","H",0.50846391916275,0.372,-0.218
"Jon Porter","R","NV","H",0.506783127784729,0.268,-0.161
"Steve Chabot","R","OH","H",0.505405783653259,0.54,-0.26
"Frank LoBiondo","R","NJ","H",0.504154741764069,0.304,-0.466
"Pete Domenici","R","NM","S",0.504003345966339,0.237,-0.251
"Deborah Pryce","R","OH","H",0.503653883934021,0.353,-0.473
"Charles Grassley","R","IA","S",0.503366768360138,0.284,-0.085
"Tom Davis","R","VA","H",0.503199994564056,0.322,-0.517
"Charles Dent","R","PA","H",0.498794615268707,0.275,-0.271
"Nancy Johnson","R","CT","H",0.498183727264404,0.171,-0.569
"Judd Gregg","R","NH","S",0.493097126483917,0.357,-0.666
"John Sununu","R","NH","S",0.493097126483917,0.428,-0.539
"Anne Northup","R","KY","H",0.489841938018799,0.341,-0.192
"Rick Santorum","R","PA","S",0.487417191267014,0.315,-0.304
"Arlen Specter","R","PA","S",0.487417191267014,0.041,-0.474
"James Walsh","R","NY","H",0.487076550722122,0.231,-0.292
"David Reichert","R","WA","H",0.486542046070099,0.272,-0.482
"Bob Beauprez","R","CO","H",0.483819097280502,0.468,-0.092
"Heather Wilson","R","NM","H",0.483613163232803,0.253,-0.177
"Jim Gerlach","R","PA","H",0.483341306447983,0.247,-0.313
"Michael Fitzpatrick","R","PA","H",0.482806265354156,0.156,-0.371
"Norm Coleman","R","MN","S",0.482390880584717,0.16,-0.143
"Gordon Smith","R","OR","S",0.478913754224777,0.159,-0.246
"Clay Shaw","R","FL","H",0.475349396467209,0.316,-0.227
"Charles Bass","R","NH","H",0.474675893783569,0.385,-0.66
"Mark Kirk","R","IL","H",0.472382664680481,0.332,-0.735
"Curt Weldon","R","PA","H",0.469355702400208,0.226,-0.317
"Christopher Shays","R","CT","H",0.469084560871124,0.185,-0.816
"Jim Nussle","R","IA","H",0.467326432466507,0.381,-0.207
"Michael Castle","R","DE","H",0.461684942245483,0.263,-0.698
"Susan Collins","R","ME","S",0.45416983962059,0.082,-0.564
"Olympia Snowe","R","ME","S",0.45416983962059,0.073,-0.467
"Rob Simmons","R","CT","H",0.450593501329422,0.191,-0.527
"James Leach","R","IA","H",0.44217237830162,0.137,-0.673
"James Jeffords","I","VT","S",0.396989971399307,-0.258,-0.254
"Bernard Sanders","I","VT","H",0.396989971399307,-0.443,-0.245
"Lincoln Chafee","R","RI","S",0.394224882125854,-0.018,-0.632
"Chet Edwards","D","TX","H",0.698605239391327,-0.188,0.298
"Gene Taylor","D","MS","H",0.68711119890213,-0.057,0.596
"Jim Matheson","D","UT","H",0.67767608165741,-0.143,0.474
"Ben Nelson","D","NE","S",0.668473362922668,-0.027,0.311
"Ike Skelton","D","MO","H",0.645738065242767,-0.132,0.529
"Kent Conrad","D","ND","S",0.639093518257141,-0.258,0.544
"Byron Dorgan","D","ND","S",0.639093518257141,-0.238,0.226
"Earl Pomeroy","D","ND","H",0.639093518257141,-0.208,0.183
"Tim Johnson","D","SD","S",0.609132885932922,-0.209,0.136
"Stephanie Herseth","D","SD","H",0.609132885932922,-0.184,0.317
"Max Baucus","D","MT","S",0.605000734329224,-0.213,0.235
"Evan Bayh","D","IN","S",0.604234755039215,-0.163,0.186
"Bud Cramer","D","AL","H",0.602304220199585,-0.103,0.371
"Rick Boucher","D","VA","H",0.602152407169342,-0.23,0.118
"Bart Gordon","D","TN","H",0.600814878940582,-0.169,0.186
"Dan Boren","D","OK","H",0.593815743923187,-0.099,0.452
"Ben Chandler","D","KY","H",0.586318075656891,-0.19,0.19
"Charles Melancon","D","LA","H",0.585217118263245,-0.14,0.385
"Lincoln Davis","D","TN","H",0.584490954875946,-0.159,0.398
"Alan Mollohan","D","WV","H",0.581696093082428,-0.255,0.482
"Tim Holden","D","PA","H",0.581289350986481,-0.18,0.386
"John Spratt","D","SC","H",0.576963603496552,-0.205,0.138
"Mary Landrieu","D","LA","S",0.573309421539307,-0.168,0.279
"Robert Byrd","D","WV","S",0.564797103404999,-0.241,0.542
"Jay Rockefeller","D","WV","S",0.564797103404999,-0.293,0.189
"Collin Peterson","D","MN","H",0.562930762767792,-0.132,0.521
"Mike McIntyre","D","NC","H",0.561238348484039,-0.137,0.476
"John Salazar","D","CO","H",0.557613968849182,-0.218,0.211
"Melissa Bean","D","IL","H",0.557345747947693,-0.172,0.289
"Dennis Moore","D","KS","H",0.553219795227051,-0.205,0.042
"Solomon Ortiz","D","TX","H",0.549603939056396,-0.23,0.47
"Ruben Hinojosa","D","TX","H",0.549363315105438,-0.256,0.057
"Mark Pryor","D","AR","S",0.54935747385025,-0.163,0.155
"Blanche Lincoln","D","AR","S",0.54935747385025,-0.153,0.198
"Bob Etheridge","D","NC","H",0.543001353740692,-0.225,0.11
"Allen Boyd","D","FL","H",0.542061328887939,-0.146,0.232
"Bart Stupak","D","MI","H",0.539336621761322,-0.309,0.476
"Sanford Bishop","D","GA","H",0.538226068019867,-0.222,0.252
"Nick Rahall","D","WV","H",0.536011636257172,-0.271,0.226
"John Tanner","D","TN","H",0.530657529830933,-0.155,0.463
"Henry Cuellar","D","TX","H",0.525330543518066,-0.159,0.282
"Bill Nelson","D","FL","S",0.525236785411835,-0.153,0.19
"Kenneth Salazar","D","CO","S",0.523662269115448,-0.187,0.007
"Marion Berry","D","AR","H",0.522998034954071,-0.244,0.591
"Mike Ross","D","AR","H",0.51950877904892,-0.184,0.418
"Vic Snyder","D","AR","H",0.519498348236084,-0.209,-0.07
"Harry Reid","D","NV","S",0.513175964355469,-0.258,0.279
"Brian Baird","D","WA","H",0.509500324726105,-0.274,0.21
"Ted Strickland","D","OH","H",0.508089065551758,-0.308,0.249
"Loretta Sanchez","D","CA","H",0.507230579853058,-0.294,-0.013
"Darlene Hooley","D","OR","H",0.506308257579803,-0.253,-0.08
"Jeff Bingaman","D","NM","S",0.504003345966339,-0.247,0.111
"Timothy Bishop","D","NY","H",0.50340062379837,-0.268,-0.127
"Tom Harkin","D","IA","S",0.503366768360138,-0.375,-0.167
"Dennis Cardoza","D","CA","H",0.501228749752045,-0.208,0.155
"Leonard Boswell","D","IA","H",0.50043123960495,-0.194,0.17
"Peter DeFazio","D","OR","H",0.498420566320419,-0.368,0.088
"Russell Feingold","D","WI","S",0.498081982135773,-0.544,-0.471
"Herb Kohl","D","WI","S",0.498081982135773,-0.258,-0.208
"David Obey","D","WI","H",0.492996633052826,-0.375,-0.074
"Jim Costa","D","CA","H",0.48913848400116,-0.18,0.17
"John Murtha","D","PA","H",0.485485196113586,-0.241,0.451
"Lane Evans","D","IL","H",0.483824580907822,-0.377,-0.226
"Debbie Stabenow","D","MI","S",0.482741564512253,-0.291,0.06
"Carl Levin","D","MI","S",0.482741564512253,-0.365,0.002
"Mark Dayton","D","MN","S",0.482390880584717,-0.368,0.152
"Ron Kind","D","WI","H",0.481209397315979,-0.246,-0.03
"Rick Larsen","D","WA","H",0.480389624834061,-0.293,0.158
"Ron Wyden","D","OR","S",0.478913754224777,-0.284,-0.239
"Jim Cooper","D","TN","H",0.478879451751709,-0.202,0.252
"Jerry Costello","D","IL","H",0.478844285011292,-0.252,0.442
"Brad Miller","D","NC","H",0.4739690721035,-0.281,-0.142
"Neil Abercrombie","D","HI","H",0.472742170095444,-0.375,-0.089
"Paul Kanjorski","D","PA","H",0.471706688404083,-0.247,0.26
"Michael Michaud","D","ME","H",0.470298916101456,-0.25,0.015
"James Oberstar","D","MN","H",0.466836929321289,-0.431,0.182
"Jon Corzine","D","NJ","S",0.466294646263123,-0.408,-0.258
"Frank Lautenberg","D","NJ","S",0.466294646263123,-0.372,-0.341
"Maria Cantwell","D","WA","S",0.463534623384476,-0.262,-0.227
"Patty Murray","D","WA","S",0.463534623384476,-0.312,-0.132
"Adam Smith","D","WA","H",0.463238567113876,-0.202,-0.168
"Steve Israel","D","NY","H",0.461992889642715,-0.252,-0.193
"Joseph Biden","D","DE","S",0.461684942245483,-0.31,0.043
"Thomas Carper","D","DE","S",0.461684942245483,-0.143,-0.186
"Bob Filner","D","CA","H",0.461522728204727,-0.499,-0.085
"John Barrow","D","GA","H",0.461430907249451,-0.094,0.274
"Tom Udall","D","NM","H",0.459279894828796,-0.356,0.132
"Norman Dicks","D","WA","H",0.458054840564728,-0.253,0.027
"Daniel Akaka","D","HI","S",0.455955505371094,-0.368,0.186
"Daniel Inouye","D","HI","S",0.455955505371094,-0.297,0.104
"Ben Cardin","D","MD","H",0.455938071012497,-0.291,-0.251
"Maurice Hinchey","D","NY","H",0.455870300531387,-0.459,-0.111
"Brian Higgins","D","NY","H",0.455274045467377,-0.263,-0.033
"Rush Holt","D","NJ","H",0.455096483230591,-0.374,-0.217
"Dutch Ruppersberger","D","MD","H",0.45112544298172,-0.224,-0.051
"Barbara Boxer","D","CA","S",0.449586808681488,-0.406,-0.22
"Dianne Feinstein","D","CA","S",0.449586808681488,-0.255,-0.093
"Charles Gonzalez","D","TX","H",0.449280083179474,-0.28,-0.033
"Carolyn McCarthy","D","NY","H",0.44799992442131,-0.231,-0.163
"Dick Durbin","D","IL","S",0.447913646697998,-0.346,-0.213
"Barack Obama","D","IL","S",0.447913646697998,-0.313,-0.177
"Christopher Dodd","D","CT","S",0.447250515222549,-0.319,-0.174
"Joseph Lieberman","D","CT","S",0.447250515222549,-0.202,-0.204
"David Wu","D","OR","H",0.446510046720505,-0.313,0.063
"David Price","D","NC","H",0.444831252098083,-0.266,-0.093
"Gene Green","D","TX","H",0.443496763706207,-0.269,0.261
"Peter Visclosky","D","IN","H",0.443318426609039,-0.316,0.136
"Sherrod Brown","D","OH","H",0.442578047513962,-0.377,-0.138
"Ed Case","D","HI","H",0.440199911594391,-0.162,-0.176
"Michael McNulty","D","NY","H",0.439418703317642,-0.309,0.204
"Thomas Allen","D","ME","H",0.43923744559288,-0.321,-0.157
"Anthony Weiner","D","NY","H",0.438782930374146,-0.327,-0.37
"William Delahunt","D","MA","H",0.437904894351959,-0.399,-0.308
"Allyson Schwartz","D","PA","H",0.435613334178925,-0.26,-0.064
"Silvestre Reyes","D","TX","H",0.435042560100555,-0.246,0.143
"Barbara Mikulski","D","MD","S",0.434344172477722,-0.338,-0.011
"Paul Sarbanes","D","MD","S",0.434344172477722,-0.408,-0.102
"Frank Pallone","D","NJ","H",0.432286441326141,-0.31,-0.14
"Russ Carnahan","D","MO","H",0.43071711063385,-0.255,-0.089
"Jay Inslee","D","WA","H",0.430239975452423,-0.275,-0.246
"Raul Grijalva","D","AZ","H",0.430191248655319,-0.458,-0.26
"Rosa DeLauro","D","CT","H",0.425130724906921,-0.34,-0.164
"G.K. Butterfield","D","NC","H",0.425087600946426,-0.285,-0.061
"Shelley Berkley","D","NV","H",0.425082713365555,-0.244,-0.102
"Nita Lowey","D","NY","H",0.421988368034363,-0.316,-0.324
"Steny Hoyer","D","MD","H",0.421257555484772,-0.333,0.079
"Martin Meehan","D","MA","H",0.420277386903763,-0.335,-0.445
"Dennis Kucinich","D","OH","H",0.416658073663712,-0.518,0.232
"Julia Carson","D","IN","H",0.41649341583252,-0.372,-0.196
"Marcy Kaptur","D","OH","H",0.416487544775009,-0.281,0.093
"James Langevin","D","RI","H",0.416055917739868,-0.291,0.036
"Jim Davis","D","FL","H",0.415692031383514,-0.219,-0.079
"John Tierney","D","MA","H",0.414070099592209,-0.424,-0.308
