"id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal"
76,"Jouan Patrice Abanda Etong","M",22,185,82,"Cameroon","CMR","2000 Summer",2000,"Summer","Sydney","Football","Football Men's Football","Gold"
80,"Jos Mara Abarca Plotas","M",22,186,83,"Spain","ESP","1996 Summer",1996,"Summer","Atlanta","Water Polo","Water Polo Men's Water Polo","Gold"
84,"Stephen Anthony Abas","M",26,165,55,"United States","USA","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling Men's Featherweight, Freestyle","Silver"
85,"Alejandro Abascal Garca","M",28,181,82,"Spain","ESP","1980 Summer",1980,"Summer","Moskva","Sailing","Sailing Mixed Two Person Heavyweight Dinghy","Gold"
86,"Jos Manuel Abascal Gmez","M",26,182,67,"Spain","ESP","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's 1,500 metres","Bronze"
90,"Tamila Rashidovna Abasova","F",21,163,60,"Russia","RUS","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Women's Sprint","Silver"
93,"Jol Marc Abati","M",38,190,85,"France","FRA","2008 Summer",2008,"Summer","Beijing","Handball","Handball Men's Handball","Gold"
99,"Pter Abay","M",30,181,79,"Hungary","HUN","1992 Summer",1992,"Summer","Barcelona","Fencing","Fencing Men's Sabre, Team","Silver"
106,"Agostino Abbagnale","M",22,188,96,"Italy","ITA","1988 Summer",1988,"Summer","Seoul","Rowing","Rowing Men's Quadruple Sculls","Gold"
106,"Agostino Abbagnale","M",29,188,96,"Italy","ITA","1996 Summer",1996,"Summer","Atlanta","Rowing","Rowing Men's Double Sculls","Gold"
106,"Agostino Abbagnale","M",34,188,96,"Italy","ITA","2000 Summer",2000,"Summer","Sydney","Rowing","Rowing Men's Quadruple Sculls","Gold"
107,"Carmine Abbagnale","M",22,182,90,"Italy","ITA","1984 Summer",1984,"Summer","Los Angeles","Rowing","Rowing Men's Coxed Pairs","Gold"
107,"Carmine Abbagnale","M",26,182,90,"Italy","ITA","1988 Summer",1988,"Summer","Seoul","Rowing","Rowing Men's Coxed Pairs","Gold"
107,"Carmine Abbagnale","M",30,182,90,"Italy","ITA","1992 Summer",1992,"Summer","Barcelona","Rowing","Rowing Men's Coxed Pairs","Silver"
108,"Giuseppe Abbagnale","M",25,187,97,"Italy","ITA","1984 Summer",1984,"Summer","Los Angeles","Rowing","Rowing Men's Coxed Pairs","Gold"
108,"Giuseppe Abbagnale","M",29,187,97,"Italy","ITA","1988 Summer",1988,"Summer","Seoul","Rowing","Rowing Men's Coxed Pairs","Gold"
108,"Giuseppe Abbagnale","M",33,187,97,"Italy","ITA","1992 Summer",1992,"Summer","Barcelona","Rowing","Rowing Men's Coxed Pairs","Silver"
143,"Desmond ""Des"" Abbott","M",21,184,87,"Australia","AUS","2008 Summer",2008,"Summer","Beijing","Hockey","Hockey Men's Hockey","Bronze"
250,"Saeid Morad Abdevali","M",26,170,80,"Iran","IRI","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Men's Middleweight, Greco-Roman","Bronze"
259,"Reema Abdo","F",21,173,59,"Canada","CAN","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Bronze"
297,"Lala Abdul Rashid","M",38,169,91,"Pakistan","PAK","1960 Summer",1960,"Summer","Roma","Hockey","Hockey Men's Hockey","Gold"
298,"Muhammad Abdul Rashid","M",23,181,72,"Pakistan","PAK","1964 Summer",1964,"Summer","Tokyo","Hockey","Hockey Men's Hockey","Silver"
316,"Zagalav Abdulbekovich Abdulbekov","M",26,160,62,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Wrestling","Wrestling Men's Featherweight, Freestyle","Gold"
337,"Mukhammad Kadyr Abdullayev","M",26,169,63,"Uzbekistan","UZB","2000 Summer",2000,"Summer","Sydney","Boxing","Boxing Men's Light-Welterweight","Gold"
339,"Namiq Yadulla Abdullayev","M",25,167,55,"Azerbaijan","AZE","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Flyweight, Freestyle","Silver"
339,"Namiq Yadulla Abdullayev","M",29,167,55,"Azerbaijan","AZE","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling Men's Bantamweight, Freestyle","Gold"
351,"Julius Shareef Abdur-Rahim","M",23,202,104,"United States","USA","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball Men's Basketball","Gold"
357,"Yusup Abdusalomov","M",30,170,84,"Tajikistan","TJK","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Silver"
359,"Andrey Khakimovich Abduvaliyev","M",26,190,125,"Unified Team","EUN","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's Hammer Throw","Gold"
379,"Addis Abebe","M",21,160,50,"Ethiopia","ETH","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 10,000 metres","Bronze"
391,"Clarence John Abel","M",23,185,102,"United States","USA","1924 Winter",1924,"Winter","Chamonix","Ice Hockey","Ice Hockey Men's Ice Hockey","Silver"
394,"Irene Abel","F",19,160,48,"East Germany","GDR","1972 Summer",1972,"Summer","Munich","Gymnastics","Gymnastics Women's Team All-Around","Silver"
411,"Gezahgne Abera","M",22,166,58,"Ethiopia","ETH","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's Marathon","Gold"
416,"Nils Georg berg","M",19,181,78,"Sweden","SWE","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Long Jump","Bronze"
416,"Nils Georg berg","M",19,181,78,"Sweden","SWE","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Triple Jump","Silver"
428,"Elvan Abeylegesse","F",25,159,40,"Turkey","TUR","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's 5,000 metres","Silver"
443,"Ismail Abilov (-Nizamolu)","M",29,172,82,"Bulgaria","BUL","1980 Summer",1980,"Summer","Moskva","Wrestling","Wrestling Men's Middleweight, Freestyle","Gold"
454,"Edgar Allen ""Ed"" Ablowich","M",19,182,68,"United States","USA","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
455,"Denis Mikhaylovich Ablyazin","M",19,161,62,"Russia","RUS","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Floor Exercise","Bronze"
455,"Denis Mikhaylovich Ablyazin","M",19,161,62,"Russia","RUS","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Men's Horse Vault","Silver"
455,"Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia","RUS","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Team All-Around","Silver"
455,"Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia","RUS","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Horse Vault","Silver"
455,"Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia","RUS","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics Men's Rings","Bronze"
460,"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Silver"
460,"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Bronze"
465,"Matthew ""Matt"" Abood","M",30,197,92,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Bronze"
495,"Alaaeldin Ahmad El-Sayyid Abouelkassem","M",21,188,87,"Egypt","EGY","2012 Summer",2012,"Summer","London","Fencing","Fencing Men's Foil, Individual","Silver"
507,"Attila brahm","M",21,192,88,"Hungary","HUN","1988 Summer",1988,"Summer","Seoul","Canoeing","Canoeing Men's Kayak Doubles, 500 metres","Bronze"
507,"Attila brahm","M",21,192,88,"Hungary","HUN","1988 Summer",1988,"Summer","Seoul","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Gold"
507,"Attila brahm","M",25,192,88,"Hungary","HUN","1992 Summer",1992,"Summer","Barcelona","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Silver"
509,"Gary Abraham","M",21,175,64,"Great Britain","GBR","1980 Summer",1980,"Summer","Moskva","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Bronze"
514,"Ara Abrahamian","M",29,191,84,"Sweden","SWE","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Silver"
519,"Harold Maurice Abrahams","M",24,183,75,"Great Britain","GBR","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's 100 metres","Gold"
519,"Harold Maurice Abrahams","M",24,183,75,"Great Britain","GBR","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's 4 x 100 metres Relay","Silver"
527,"Erik Adolf Efraim Abrahamsson","M",22,172,61,"Sweden","SWE","1920 Summer",1920,"Summer","Antwerpen","Athletics","Athletics Men's Long Jump","Bronze"
543,"Pavel Sergeyevich Abramov","M",25,198,89,"Russia","RUS","2004 Summer",2004,"Summer","Athina","Volleyball","Volleyball Men's Volleyball","Bronze"
547,"Nelli Mikhaylovna Abramova","F",24,171,60,"Soviet Union","URS","1964 Summer",1964,"Summer","Tokyo","Volleyball","Volleyball Women's Volleyball","Silver"
576,"Alejandro ""lex"" Abrines Redondo","M",23,198,93,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Basketball","Basketball Men's Basketball","Bronze"
580,"Svetlana Olegovna Abrosimova","F",28,188,77,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Basketball","Basketball Women's Basketball","Bronze"
582,"Saypulla Atavovich Absaidov","M",22,168,68,"Soviet Union","URS","1980 Summer",1980,"Summer","Moskva","Wrestling","Wrestling Men's Lightweight, Freestyle","Gold"
583,"Julien Absalon","M",23,180,68,"France","FRA","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Mountainbike, Cross-Country","Gold"
583,"Julien Absalon","M",27,180,68,"France","FRA","2008 Summer",2008,"Summer","Beijing","Cycling","Cycling Men's Mountainbike, Cross-Country","Gold"
610,"Ginko Abukawa-Chiba","F",26,148,46,"Japan","JPN","1964 Summer",1964,"Summer","Tokyo","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
618,"Aleksandr Veniaminovich Abushakhmetov","M",25,189,81,"Soviet Union","URS","1980 Summer",1980,"Summer","Moskva","Fencing","Fencing Men's epee, Team","Bronze"
619,"Magomedgasan Mingazhutdinovich Abushev","M",20,170,62,"Soviet Union","URS","1980 Summer",1980,"Summer","Moskva","Wrestling","Wrestling Men's Featherweight, Freestyle","Gold"
627,"Andreea Roxana Acatrinei","F",16,150,40,"Romania","ROU","2008 Summer",2008,"Summer","Beijing","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
629,"William Accambray","M",24,194,104,"France","FRA","2012 Summer",2012,"Summer","London","Handball","Handball Men's Handball","Gold"
646,"Anibl Santiago Acevedo","M",21,176,67,"Puerto Rico","PUR","1992 Summer",1992,"Summer","Barcelona","Boxing","Boxing Men's Welterweight","Bronze"
654,"Daniel Aceves Villagrn","M",19,158,52,"Mexico","MEX","1984 Summer",1984,"Summer","Los Angeles","Wrestling","Wrestling Men's Flyweight, Greco-Roman","Silver"
669,"Joachim Yaw Acheampong","M",18,181,73,"Ghana","GHA","1992 Summer",1992,"Summer","Barcelona","Football","Football Men's Football","Bronze"
670,"Alfred Achermann","M",24,176,75,"Switzerland","SUI","1984 Summer",1984,"Summer","Los Angeles","Cycling","Cycling Men's 100 kilometres Team Time Trial","Silver"
673,"Abdel Hak Achik","M",29,165,54,"Morocco","MAR","1988 Summer",1988,"Summer","Seoul","Boxing","Boxing Men's Featherweight","Bronze"
674,"Mohamed Abdelhak Achik","M",27,174,57,"Morocco","MAR","1992 Summer",1992,"Summer","Barcelona","Boxing","Boxing Men's Bantamweight","Bronze"
680,"Rita Nikolayevna Achkina","F",30,168,63,"Soviet Union","URS","1968 Winter",1968,"Winter","Grenoble","Cross Country Skiing","Cross Country Skiing Women's 3 x 5 kilometres Relay","Bronze"
690,"Chantal Achterberg","F",27,172,72,"Netherlands","NED","2012 Summer",2012,"Summer","London","Rowing","Rowing Women's Coxed Eights","Bronze"
690,"Chantal Achterberg","F",31,172,72,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing Women's Quadruple Sculls","Silver"
698,"Paul Douglas Ackerley","M",27,179,68,"New Zealand","NZL","1976 Summer",1976,"Summer","Montreal","Hockey","Hockey Men's Hockey","Gold"
716,"Lautaro Germn Acosta","M",20,168,72,"Argentina","ARG","2008 Summer",2008,"Summer","Beijing","Football","Football Men's Football","Gold"
723,"Osmay Acosta Duarte","M",23,188,91,"Cuba","CUB","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing Men's Heavyweight","Bronze"
745,"Kazimierz Piotr Adach","M",23,162,60,"Poland","POL","1980 Summer",1980,"Summer","Moskva","Boxing","Boxing Men's Lightweight","Bronze"
785,"Dariusz Adamczuk","M",22,179,78,"Poland","POL","1992 Summer",1992,"Summer","Barcelona","Football","Football Men's Football","Silver"
807,"Benjamin Willard ""Ben"" Adams","M",22,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing High Jump","Silver"
807,"Benjamin Willard ""Ben"" Adams","M",22,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing Long Jump","Bronze"
832,"Nicola Virginia Adams","F",29,164,51,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Boxing","Boxing Women's Flyweight","Gold"
832,"Nicola Virginia Adams","F",33,164,51,"Great Britain","GBR","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing Women's Flyweight","Gold"
836,"Platt Adams","M",27,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing High Jump","Gold"
836,"Platt Adams","M",27,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing Long Jump","Silver"
837,"Rachael Alexis Adams","F",26,188,81,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Volleyball","Volleyball Women's Volleyball","Bronze"
846,"Valerie Kasanita Adams-Vili (-Price)","F",23,193,120,"New Zealand","NZL","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Shot Put","Gold"
846,"Valerie Kasanita Adams-Vili (-Price)","F",27,193,120,"New Zealand","NZL","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Shot Put","Gold"
846,"Valerie Kasanita Adams-Vili (-Price)","F",31,193,120,"New Zealand","NZL","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's Shot Put","Silver"
849,"Filip Kamil Adamski","M",29,189,87,"Germany","GER","2012 Summer",2012,"Summer","London","Rowing","Rowing Men's Coxed Eights","Gold"
851,"Jerzy Adamski","M",23,171,58,"Poland","POL","1960 Summer",1960,"Summer","Roma","Boxing","Boxing Men's Featherweight","Silver"
882,"Simon Addo","M",17,180,79,"Ghana","GHA","1992 Summer",1992,"Summer","Barcelona","Football","Football Men's Football","Bronze"
896,"Olubayo Adefemi","M",22,181,82,"Nigeria","NGR","2008 Summer",2008,"Summer","Beijing","Football","Football Men's Football","Silver"
908,"Ayodele ""Dele"" Adeleye","M",19,190,80,"Nigeria","NGR","2008 Summer",2008,"Summer","Beijing","Football","Football Men's Football","Silver"
918,"Ademir Roque Kaefer","M",24,179,74,"Brazil","BRA","1984 Summer",1984,"Summer","Los Angeles","Football","Football Men's Football","Silver"
918,"Ademir Roque Kaefer","M",28,179,74,"Brazil","BRA","1988 Summer",1988,"Summer","Seoul","Football","Football Men's Football","Silver"
923,"Olapade Charles Adeniken","M",22,186,78,"Nigeria","NGR","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 4 x 100 metres Relay","Silver"
925,"Adenzia Aparecida Ferreira da Silva","F",25,187,65,"Brazil","BRA","2012 Summer",2012,"Summer","London","Volleyball","Volleyball Women's Volleyball","Gold"
953,"Franck Adisson","M",23,180,70,"France-1","FRA","1992 Summer",1992,"Summer","Barcelona","Canoeing","Canoeing Men's Canadian Doubles, Slalom","Bronze"
953,"Franck Adisson","M",26,180,70,"France-1","FRA","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Canadian Doubles, Slalom","Gold"
963,"Derrick Ralph Adkins","M",26,188,80,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's 400 metres Hurdles","Gold"
966,"Daniel Adler","M",26,180,72,"Brazil","BRA","1984 Summer",1984,"Summer","Los Angeles","Sailing","Sailing Mixed Three Person Keelboat","Silver"
967,"Egon Adler","M",23,172,62,"Germany","GER","1960 Summer",1960,"Summer","Roma","Cycling","Cycling Men's 100 kilometres Team Time Trial","Silver"
980,"Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 400 metres Freestyle","Gold"
980,"Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 800 metres Freestyle","Gold"
980,"Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 400 metres Freestyle","Bronze"
980,"Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Swimming","Swimming Women's 800 metres Freestyle","Bronze"
1000,"Dainius Adomaitis","M",26,202,100,"Lithuania","LTU","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball Men's Basketball","Bronze"
1017,"Nathan Ghar-Jun Adrian","M",19,198,100,"United States","USA","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Gold"
1017,"Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 100 metres Freestyle","Gold"
1017,"Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Silver"
1017,"Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Gold"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 50 metres Freestyle","Bronze"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 100 metres Freestyle","Bronze"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Gold"
1017,"Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 4 x 100 metres Medley Relay","Gold"
1020,"Adriana Aparecida dos Santos","F",25,180,61,"Brazil","BRA","1996 Summer",1996,"Summer","Atlanta","Basketball","Basketball Women's Basketball","Silver"
1020,"Adriana Aparecida dos Santos","F",29,180,61,"Brazil","BRA","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball Women's Basketball","Bronze"
1023,"Adriana ""Adrianinha"" Moiss Pinto","F",21,170,65,"Brazil","BRA","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball Women's Basketball","Bronze"
1025,"Attila Adrovicz","M",30,189,87,"Hungary","HUN","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Silver"
1046,"Klaus Aeffke","M",24,189,82,"Germany","GER","1964 Summer",1964,"Summer","Tokyo","Rowing","Rowing Men's Coxed Eights","Silver"
1071,"Kseniya Dmitriyevna Afanasyeva","F",20,158,48,"Russia","RUS","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics Women's Team All-Around","Silver"
1085,"Maksim Sergeyevich Afinogenov","M",22,183,88,"Russia","RUS","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Men's Ice Hockey","Bronze"
1088,"Olabisi ""Bisi"" Afolabi","F",20,180,62,"Nigeria","NGR","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 4 x 400 metres Relay","Silver"
1094,"Felicia Afrsiloaie (-Jitianu)","F",22,178,70,"Romania","ROU","1976 Summer",1976,"Summer","Montreal","Rowing","Rowing Women's Coxed Quadruple Sculls","Bronze"
1104,"Muhammad Afzal Manna","M",25,173,76,"Pakistan","PAK","1964 Summer",1964,"Summer","Tokyo","Hockey","Hockey Men's Hockey","Silver"
1109,"Lavinia Agache (-Carney)","F",16,148,40,"Romania","ROU","1984 Summer",1984,"Summer","Los Angeles","Gymnastics","Gymnastics Women's Team All-Around","Gold"
1109,"Lavinia Agache (-Carney)","F",16,148,40,"Romania","ROU","1984 Summer",1984,"Summer","Los Angeles","Gymnastics","Gymnastics Women's Horse Vault","Bronze"
1114,"Luca Agamennoni","M",24,187,93,"Italy","ITA","2004 Summer",2004,"Summer","Athina","Rowing","Rowing Men's Coxless Fours","Bronze"
1114,"Luca Agamennoni","M",27,187,93,"Italy","ITA","2008 Summer",2008,"Summer","Beijing","Rowing","Rowing Men's Quadruple Sculls","Silver"
1147,"Viktor Ivanovich Ageyev","M",20,184,80,"Soviet Union","URS","1956 Summer",1956,"Summer","Melbourne","Water Polo","Water Polo Men's Water Polo","Bronze"
1147,"Viktor Ivanovich Ageyev","M",24,184,80,"Soviet Union","URS","1960 Summer",1960,"Summer","Roma","Water Polo","Water Polo Men's Water Polo","Silver"
1147,"Viktor Ivanovich Ageyev","M",28,184,80,"Soviet Union","URS","1964 Summer",1964,"Summer","Tokyo","Water Polo","Water Polo Men's Water Polo","Bronze"
1169,"Marilyn Agliotti","F",29,172,58,"Netherlands","NED","2008 Summer",2008,"Summer","Beijing","Hockey","Hockey Women's Hockey","Gold"
1169,"Marilyn Agliotti","F",33,172,58,"Netherlands","NED","2012 Summer",2012,"Summer","London","Hockey","Hockey Women's Hockey","Gold"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 200 metres Freestyle","Gold"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Gold"
1173,"Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Silver"
1181,"Meghan Christina Agosta (-Marciano)","F",18,168,67,"Canada","CAN","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Women's Ice Hockey","Gold"
1181,"Meghan Christina Agosta (-Marciano)","F",23,168,67,"Canada","CAN","2010 Winter",2010,"Winter","Vancouver","Ice Hockey","Ice Hockey Women's Ice Hockey","Gold"
1181,"Meghan Christina Agosta (-Marciano)","F",26,168,67,"Canada","CAN","2014 Winter",2014,"Winter","Sochi","Ice Hockey","Ice Hockey Women's Ice Hockey","Gold"
1191,"Judit goston-Mendelnyi","F",27,164,62,"Hungary","HUN","1964 Summer",1964,"Summer","Tokyo","Fencing","Fencing Women's Foil, Team","Gold"
1220,"Sergio Leonel Agero del Castillo","M",20,172,74,"Argentina","ARG","2008 Summer",2008,"Summer","Beijing","Football","Football Men's Football","Gold"
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)","F",23,175,70,"Cuba","CUB","2000 Summer",2000,"Summer","Sydney","Volleyball","Volleyball Women's Volleyball","Gold"
1249,"Jos Aguilar Pulsn","M",20,173,64,"Cuba","CUB","1980 Summer",1980,"Summer","Moskva","Boxing","Boxing Men's Light-Welterweight","Bronze"
1254,"Macarena Aguilar Daz","F",27,170,67,"Spain","ESP","2012 Summer",2012,"Summer","London","Handball","Handball Women's Handball","Bronze"
1270,"Jorge Luis Aguilera Ruiz","M",26,172,64,"Cuba","CUB","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 4 x 100 metres Relay","Bronze"
1313,"Robyn Mokihana Ah Mow-Santos","F",32,172,67,"United States","USA","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball","Silver"
1322,"Kevin Joseph Ahearn","M",23,175,73,"United States","USA","1972 Winter",1972,"Winter","Sapporo","Ice Hockey","Ice Hockey Men's Ice Hockey","Silver"
1323,"Timothy Joseph ""Tim"" Ahearne","M",22,170,57,"Great Britain","GBR","1908 Summer",1908,"Summer","London","Athletics","Athletics Men's Triple Jump","Gold"
1333,"Bruno Valfrid Ahlberg","M",21,168,69.5,"Finland","FIN","1932 Summer",1932,"Summer","Los Angeles","Boxing","Boxing Men's Welterweight","Bronze"
1336,"Mats Bertil hlberg","M",32,179,78,"Sweden","SWE","1980 Winter",1980,"Winter","Lake Placid","Ice Hockey","Ice Hockey Men's Ice Hockey","Bronze"
