"","homegoal","season","team.away","team.home","period","differential","playoffs"
"199",1,"20022003","SJS","ANA",2,-1,0
"200",0,"20022003","SJS","ANA",2,0,0
"201",0,"20022003","SJS","ANA",3,-1,0
"202",1,"20022003","SJS","ANA",3,-2,0
"203",0,"20022003","CGY","NYI",1,0,0
"204",0,"20022003","CGY","NYI",2,-1,0
"205",1,"20022003","CGY","NYI",2,-2,0
"206",1,"20022003","CGY","NYI",2,-1,0
"207",0,"20022003","CGY","NYI",3,0,0
"208",0,"20022003","CGY","NYI",3,-1,0
"209",1,"20022003","VAN","COL",1,0,0
"210",0,"20022003","VAN","COL",1,1,0
"211",0,"20022003","VAN","COL",1,0,0
"212",0,"20022003","VAN","COL",2,-1,0
"213",1,"20022003","VAN","COL",3,-2,0
"214",0,"20022003","VAN","COL",3,-1,0
"215",1,"20022003","EDM","NYR",1,0,0
"216",1,"20022003","EDM","NYR",1,1,0
"217",1,"20022003","EDM","NYR",2,2,0
"218",0,"20022003","EDM","NYR",2,3,0
"219",1,"20022003","EDM","NYR",2,2,0
"220",1,"20022003","EDM","NYR",2,3,0
"221",0,"20022003","EDM","NYR",3,4,0
"222",0,"20022003","PHI","CAR",2,0,0
"223",1,"20022003","PHI","CAR",2,-1,0
"224",0,"20022003","PHI","CAR",4,0,0
"225",0,"20022003","WSH","CBJ",1,0,0
"226",0,"20022003","WSH","CBJ",1,-1,0
"227",1,"20022003","WSH","CBJ",1,-2,0
"228",1,"20022003","WSH","CBJ",2,-1,0
"229",1,"20022003","WSH","CBJ",2,0,0
"230",0,"20022003","WSH","CBJ",3,1,0
"231",0,"20022003","WSH","CBJ",4,0,0
"232",0,"20022003","TBL","TOR",2,0,0
"233",1,"20022003","TBL","TOR",2,-1,0
"234",0,"20022003","TBL","TOR",2,0,0
"235",1,"20022003","TBL","TOR",3,-1,0
"236",0,"20022003","TBL","TOR",3,0,0
"237",1,"20022003","TBL","TOR",3,-1,0
"238",1,"20022003","TBL","TOR",3,0,0
"239",1,"20022003","STL","MTL",1,0,0
"240",0,"20022003","STL","MTL",2,1,0
"241",1,"20022003","STL","MTL",2,0,0
"242",0,"20022003","STL","MTL",2,1,0
"243",0,"20022003","STL","MTL",2,0,0
"244",0,"20022003","STL","MTL",3,-1,0
"245",0,"20022003","STL","MTL",3,-2,0
"246",0,"20022003","CHI","DET",2,0,0
"247",0,"20022003","CHI","DET",3,-1,0
"248",0,"20022003","PIT","FLA",1,0,0
"249",1,"20022003","PIT","FLA",1,-1,0
"250",0,"20022003","PIT","FLA",2,0,0
"251",1,"20022003","PIT","FLA",2,-1,0
"252",1,"20022003","PIT","FLA",2,0,0
"253",0,"20022003","PIT","FLA",3,1,0
"254",1,"20022003","PIT","FLA",4,0,0
"255",1,"20022003","VAN","DAL",1,0,0
"256",1,"20022003","VAN","DAL",1,2,0
"257",1,"20022003","VAN","DAL",2,3,0
"258",0,"20022003","OTT","COL",1,0,0
"259",1,"20022003","OTT","COL",2,-1,0
"260",0,"20022003","OTT","COL",2,0,0
"261",0,"20022003","OTT","COL",2,-1,0
"262",1,"20022003","OTT","COL",2,-2,0
"263",0,"20022003","OTT","COL",2,-1,0
"264",0,"20022003","OTT","COL",3,-2,0
"265",1,"20022003","NSH","ANA",2,0,0
"266",0,"20022003","NSH","ANA",2,1,0
"267",1,"20022003","NSH","ANA",3,0,0
"268",1,"20022003","CGY","NYR",4,0,0
"269",0,"20022003","NJD","PHI",3,0,0
"270",1,"20022003","FLA","WSH",1,0,0
"271",0,"20022003","FLA","WSH",3,1,0
"272",1,"20022003","FLA","WSH",4,0,0
"273",1,"20022003","BUF","CAR",1,0,0
"274",1,"20022003","BUF","CAR",3,1,0
"275",1,"20022003","NYI","MTL",1,0,0
"276",1,"20022003","NYI","MTL",2,1,0
"277",1,"20022003","NYI","MTL",3,2,0
"278",0,"20022003","BOS","DET",3,0,0
"279",1,"20022003","BOS","DET",3,-1,0
"280",1,"20022003","BOS","DET",4,0,0
"281",1,"20022003","CBJ","STL",1,0,0
"282",0,"20022003","CBJ","STL",1,1,0
"283",0,"20022003","CBJ","STL",2,0,0
"284",0,"20022003","CBJ","STL",2,-1,0
"285",1,"20022003","CBJ","STL",3,-2,0
"286",0,"20022003","CBJ","STL",3,-1,0
"287",0,"20022003","CBJ","STL",3,-2,0
"288",1,"20022003","ATL","CHI",1,0,0
"289",1,"20022003","ATL","CHI",1,1,0
"290",1,"20022003","ATL","CHI",1,2,0
"291",1,"20022003","ATL","CHI",2,3,0
"292",1,"20022003","ATL","CHI",3,4,0
"293",1,"20022003","MIN","PHX",1,0,0
"294",1,"20022003","MIN","PHX",1,1,0
"295",1,"20022003","MIN","PHX",1,2,0
"296",1,"20022003","MIN","PHX",3,3,0
"297",0,"20022003","MIN","PHX",3,4,0
"298",1,"20022003","LAK","OTT",1,0,0
"299",0,"20022003","LAK","OTT",2,1,0
"300",1,"20022003","LAK","OTT",2,0,0
"301",0,"20022003","LAK","OTT",2,1,0
"302",0,"20022003","LAK","OTT",3,0,0
"303",1,"20022003","EDM","NYI",1,0,0
"304",1,"20022003","EDM","NYI",1,1,0
"305",1,"20022003","EDM","NYI",2,2,0
"306",0,"20022003","EDM","NYI",3,3,0
"307",0,"20022003","EDM","NYI",3,2,0
"308",1,"20022003","EDM","NYI",3,1,0
"309",1,"20022003","TOR","DAL",1,0,0
"310",1,"20022003","TOR","DAL",2,1,0
"311",0,"20022003","TOR","DAL",2,2,0
"312",1,"20022003","ANA","COL",1,0,0
"313",0,"20022003","ANA","COL",2,1,0
"314",1,"20022003","ANA","COL",2,0,0
"315",0,"20022003","ANA","COL",3,1,0
"316",0,"20022003","ANA","COL",4,0,0
"317",1,"20022003","OTT","BOS",1,0,0
"318",1,"20022003","OTT","BOS",1,1,0
"319",1,"20022003","OTT","BOS",1,2,0
"320",1,"20022003","OTT","BOS",1,3,0
"321",1,"20022003","OTT","BOS",2,4,0
"322",0,"20022003","OTT","BOS",2,5,0
"323",1,"20022003","OTT","BOS",2,4,0
"324",1,"20022003","OTT","BOS",3,5,0
"325",1,"20022003","ATL","BUF",1,0,0
"326",1,"20022003","ATL","BUF",1,1,0
"327",0,"20022003","ATL","BUF",1,2,0
"328",0,"20022003","ATL","BUF",1,1,0
"329",1,"20022003","ATL","BUF",2,0,0
"330",0,"20022003","ATL","BUF",2,1,0
"331",0,"20022003","ATL","BUF",2,0,0
"332",0,"20022003","ATL","BUF",3,-1,0
"333",0,"20022003","ATL","BUF",3,-2,0
"334",1,"20022003","ATL","BUF",3,-3,0
"335",1,"20022003","LAK","MTL",1,0,0
"336",1,"20022003","LAK","MTL",1,1,0
"337",1,"20022003","LAK","MTL",1,2,0
"338",0,"20022003","LAK","MTL",3,3,0
"339",1,"20022003","PHI","WSH",2,0,0
"340",1,"20022003","PHI","WSH",2,1,0
"341",1,"20022003","PHI","WSH",2,2,0
"342",1,"20022003","PHI","WSH",2,3,0
"343",0,"20022003","PHI","WSH",3,4,0
"344",0,"20022003","PIT","CAR",1,0,0
"345",1,"20022003","PIT","CAR",2,-1,0
"346",0,"20022003","PIT","CAR",3,0,0
"347",1,"20022003","PIT","CAR",3,-1,0
"348",1,"20022003","PIT","CAR",3,0,0
"349",1,"20022003","NYR","CBJ",1,0,0
"350",1,"20022003","NYR","CBJ",1,1,0
"351",1,"20022003","NYR","CBJ",1,2,0
"352",1,"20022003","NYR","CBJ",2,3,0
"353",0,"20022003","NYR","CBJ",2,4,0
"354",1,"20022003","NYR","CBJ",2,3,0
"355",0,"20022003","NYR","CBJ",2,4,0
"356",1,"20022003","NYR","CBJ",2,3,0
"357",0,"20022003","NYR","CBJ",2,4,0
"358",0,"20022003","TOR","STL",1,0,0
"359",1,"20022003","TOR","STL",1,-1,0
"360",1,"20022003","TOR","STL",1,0,0
"361",1,"20022003","TOR","STL",2,1,0
"362",1,"20022003","TOR","STL",3,2,0
"363",0,"20022003","TOR","STL",3,3,0
"364",1,"20022003","TOR","STL",3,2,0
"365",0,"20022003","TOR","STL",3,3,0
"366",1,"20022003","TOR","STL",3,2,0
"367",1,"20022003","CGY","FLA",2,0,0
"368",1,"20022003","CGY","FLA",2,1,0
"369",1,"20022003","CGY","FLA",3,2,0
"370",0,"20022003","VAN","PHX",1,0,0
"371",0,"20022003","VAN","PHX",2,-1,0
"372",1,"20022003","VAN","PHX",2,-2,0
"373",0,"20022003","VAN","PHX",3,-1,0
"374",1,"20022003","VAN","PHX",3,-2,0
"375",0,"20022003","VAN","PHX",3,-1,0
"376",0,"20022003","VAN","PHX",3,-2,0
"377",0,"20022003","DAL","NYI",1,0,0
"378",1,"20022003","DAL","NYI",1,-1,0
"379",1,"20022003","DAL","NYI",2,0,0
"380",0,"20022003","DAL","NYI",3,1,0
"381",1,"20022003","DAL","NYI",3,0,0
"382",1,"20022003","MIN","ANA",1,0,0
"383",0,"20022003","NSH","COL",1,0,0
"384",1,"20022003","NSH","COL",2,-1,0
"385",1,"20022003","NSH","COL",2,0,0
"386",0,"20022003","NSH","COL",2,1,0
"387",0,"20022003","NSH","COL",2,0,0
"388",1,"20022003","NSH","COL",3,-1,0
"389",0,"20022003","NSH","COL",3,0,0
"390",1,"20022003","EDM","BOS",1,0,0
"391",1,"20022003","EDM","BOS",2,1,0
"392",1,"20022003","EDM","BOS",2,2,0
"393",0,"20022003","EDM","BOS",2,3,0
"394",1,"20022003","EDM","BOS",2,2,0
"395",1,"20022003","EDM","BOS",3,3,0
"396",1,"20022003","EDM","BOS",3,4,0
"397",1,"20022003","CGY","ATL",1,0,0
"398",1,"20022003","CGY","ATL",3,1,0
"399",0,"20022003","CGY","ATL",3,2,0
"400",1,"20022003","CHI","FLA",1,0,0
"401",0,"20022003","CHI","FLA",1,1,0
"402",0,"20022003","CHI","FLA",2,0,0
"403",1,"20022003","CHI","FLA",3,-1,0
"404",0,"20022003","BOS","BUF",1,0,0
"405",1,"20022003","BOS","BUF",1,-1,0
"406",0,"20022003","BOS","BUF",2,0,0
"407",0,"20022003","BOS","BUF",2,-1,0
"408",0,"20022003","BOS","BUF",2,-2,0
"409",1,"20022003","BOS","BUF",3,-3,0
"410",1,"20022003","BOS","BUF",3,-2,0
"411",0,"20022003","OTT","NYI",1,0,0
"412",0,"20022003","OTT","NYI",1,-1,0
"413",0,"20022003","OTT","NYI",2,-2,0
"414",1,"20022003","OTT","NYI",2,-3,0
"415",0,"20022003","OTT","NYI",3,-2,0
"416",1,"20022003","OTT","NYI",3,-3,0
"417",1,"20022003","OTT","NYI",3,-2,0
"418",0,"20022003","OTT","NYI",3,-1,0
"419",1,"20022003","PHX","CAR",1,0,0
"420",0,"20022003","PHX","CAR",1,1,0
"421",1,"20022003","PHX","CAR",2,0,0
"422",1,"20022003","PHX","CAR",3,1,0
"423",0,"20022003","PHX","CAR",3,2,0
"424",1,"20022003","LAK","TOR",1,0,0
"425",1,"20022003","LAK","TOR",1,1,0
"426",1,"20022003","LAK","TOR",1,2,0
"427",0,"20022003","LAK","TOR",3,3,0
"428",0,"20022003","LAK","TOR",3,2,0
"429",0,"20022003","LAK","TOR",3,1,0
"430",1,"20022003","LAK","TOR",4,0,0
"431",0,"20022003","DAL","MTL",1,0,0
"432",0,"20022003","DAL","MTL",1,-1,0
"433",0,"20022003","DAL","MTL",1,-2,0
"434",1,"20022003","DAL","MTL",2,-3,0
"435",1,"20022003","DAL","MTL",3,-2,0
"436",0,"20022003","DAL","MTL",3,-1,0
"437",0,"20022003","NSH","DET",1,0,0
"438",1,"20022003","NSH","DET",2,-1,0
"439",1,"20022003","NSH","DET",2,0,0
"440",1,"20022003","NSH","DET",3,1,0
"441",1,"20022003","NSH","DET",3,2,0
"442",0,"20022003","EDM","MIN",1,0,0
"443",1,"20022003","EDM","MIN",1,-1,0
"444",0,"20022003","EDM","MIN",1,0,0
"445",0,"20022003","EDM","MIN",2,-1,0
"446",1,"20022003","EDM","MIN",3,-2,0
"447",0,"20022003","CBJ","COL",1,0,0
"448",1,"20022003","CBJ","COL",1,-1,0
"449",0,"20022003","CBJ","COL",2,0,0
"450",1,"20022003","CBJ","COL",2,-1,0
"451",1,"20022003","CBJ","COL",2,0,0
"452",0,"20022003","CBJ","COL",3,1,0
"453",1,"20022003","CBJ","COL",3,0,0
"454",1,"20022003","CBJ","COL",3,1,0
"455",0,"20022003","CBJ","COL",3,2,0
"456",1,"20022003","STL","VAN",2,0,0
"457",0,"20022003","DAL","WSH",1,0,0
"458",0,"20022003","DAL","WSH",1,-1,0
"459",1,"20022003","DAL","WSH",2,-2,0
"460",0,"20022003","DAL","WSH",2,-1,0
"461",0,"20022003","DAL","WSH",2,-2,0
"462",0,"20022003","DAL","WSH",3,-3,0
"463",0,"20022003","DAL","WSH",3,-4,0
"464",0,"20022003","SJS","ATL",2,0,0
"465",1,"20022003","SJS","ATL",2,-1,0
"466",1,"20022003","SJS","ATL",3,0,0
"467",0,"20022003","SJS","ATL",3,1,0
"468",1,"20022003","SJS","ATL",4,0,0
"469",1,"20022003","FLA","PHI",2,0,0
"470",0,"20022003","FLA","PHI",2,1,0
"471",1,"20022003","NYI","BOS",1,0,0
"472",1,"20022003","NYI","BOS",1,1,0
"473",1,"20022003","NYI","BOS",2,2,0
"474",0,"20022003","NYI","BOS",3,3,0
"475",1,"20022003","NYI","BOS",3,2,0
"476",1,"20022003","FLA","OTT",2,0,0
"477",0,"20022003","FLA","OTT",2,1,0
"478",1,"20022003","FLA","OTT",3,0,0
"479",0,"20022003","FLA","OTT",3,1,0
"480",1,"20022003","FLA","OTT",4,0,0
"481",1,"20022003","ANA","CBJ",1,0,0
"482",0,"20022003","ANA","CBJ",2,1,0
"483",1,"20022003","ANA","CBJ",3,0,0
"484",0,"20022003","ANA","CBJ",3,1,0
"485",0,"20022003","ANA","CBJ",3,0,0
"486",0,"20022003","COL","NSH",1,0,0
"487",0,"20022003","COL","NSH",1,-1,0
"488",1,"20022003","COL","NSH",2,-2,0
"489",0,"20022003","COL","NSH",2,-1,0
"490",0,"20022003","PIT","MIN",2,0,0
"491",1,"20022003","PIT","MIN",2,-1,0
"492",1,"20022003","NYR","CGY",1,0,0
"493",0,"20022003","NYR","CGY",2,1,0
"494",0,"20022003","NYR","CGY",2,0,0
"495",0,"20022003","LAK","VAN",2,0,0
"496",1,"20022003","LAK","VAN",2,-1,0
"497",1,"20022003","LAK","VAN",2,0,0
"498",1,"20022003","LAK","VAN",2,1,0
"499",0,"20022003","LAK","VAN",3,2,0
"500",1,"20022003","TOR","BUF",1,0,0
"501",0,"20022003","TOR","BUF",2,1,0
"502",0,"20022003","TOR","BUF",2,0,0
"503",0,"20022003","TOR","BUF",2,-1,0
"504",1,"20022003","TOR","BUF",3,-2,0
"505",0,"20022003","PHI","CAR",1,0,0
"506",1,"20022003","PHI","CAR",1,-1,0
"507",0,"20022003","PHX","ATL",1,0,0
"508",0,"20022003","PHX","ATL",2,-1,0
"509",0,"20022003","PHX","ATL",2,-2,0
"510",1,"20022003","PHX","ATL",2,-3,0
"511",0,"20022003","PHX","ATL",2,-2,0
"512",0,"20022003","PHX","ATL",2,-3,0
"513",0,"20022003","ANA","DET",2,0,0
"514",1,"20022003","ANA","DET",3,-1,0
"515",1,"20022003","ANA","DET",4,0,0
"516",0,"20022003","WSH","CHI",1,0,0
"517",1,"20022003","WSH","CHI",2,-1,0
"518",0,"20022003","WSH","CHI",2,0,0
"519",1,"20022003","WSH","CHI",3,-1,0
"520",0,"20022003","COL","DAL",1,0,0
"521",1,"20022003","COL","DAL",1,-1,0
"522",1,"20022003","COL","DAL",1,0,0
"523",0,"20022003","COL","DAL",1,1,0
"524",1,"20022003","COL","DAL",2,0,0
"525",1,"20022003","COL","DAL",3,1,0
"526",1,"20022003","STL","EDM",1,0,0
"527",1,"20022003","STL","EDM",1,1,0
"528",1,"20022003","STL","EDM",1,2,0
"529",1,"20022003","STL","EDM",2,3,0
"530",1,"20022003","STL","EDM",3,4,0
"531",0,"20022003","DET","TOR",3,0,0
"532",0,"20022003","DET","TOR",3,-1,0
"533",1,"20022003","DET","TOR",3,-2,0
"534",1,"20022003","NJD","MTL",1,0,0
"535",1,"20022003","NJD","MTL",2,1,0
"536",1,"20022003","NJD","MTL",3,2,0
"537",0,"20022003","NJD","MTL",3,3,0
"538",0,"20022003","BUF","OTT",1,0,0
"539",1,"20022003","BUF","OTT",2,-1,0
"540",1,"20022003","BUF","OTT",2,0,0
"541",1,"20022003","BUF","OTT",3,1,0
"542",1,"20022003","BUF","OTT",3,2,0
"543",1,"20022003","BOS","PHI",1,0,0
"544",0,"20022003","BOS","PHI",2,1,0
"545",0,"20022003","BOS","PHI",2,0,0
"546",1,"20022003","BOS","PHI",3,-1,0
"547",0,"20022003","NYI","PIT",1,0,0
"548",1,"20022003","NYI","PIT",1,-1,0
"549",0,"20022003","NYI","PIT",1,0,0
"550",0,"20022003","NYI","PIT",3,-1,0
"551",1,"20022003","NYI","PIT",3,-2,0
"552",1,"20022003","SJS","FLA",1,0,0
"553",0,"20022003","SJS","FLA",1,1,0
"554",0,"20022003","SJS","FLA",1,0,0
"555",0,"20022003","SJS","FLA",2,-1,0
"556",0,"20022003","SJS","FLA",2,-2,0
"557",1,"20022003","SJS","FLA",2,-3,0
"558",1,"20022003","SJS","FLA",3,-2,0
"559",0,"20022003","SJS","FLA",3,-1,0
"560",0,"20022003","SJS","FLA",3,-2,0
"561",0,"20022003","SJS","FLA",3,-3,0
"562",0,"20022003","CBJ","NSH",1,0,0
"563",1,"20022003","CBJ","NSH",1,-1,0
"564",1,"20022003","WSH","MIN",2,0,0
"565",1,"20022003","LAK","EDM",1,0,0
"566",0,"20022003","LAK","EDM",1,1,0
"567",0,"20022003","LAK","EDM",2,0,0
"568",0,"20022003","LAK","EDM",3,-1,0
"569",0,"20022003","LAK","EDM",3,-2,0
"570",1,"20022003","NYR","VAN",2,0,0
"571",1,"20022003","NYR","VAN",3,1,0
"572",0,"20022003","NYR","VAN",3,2,0
"573",1,"20022003","NYR","VAN",3,1,0
"574",1,"20022003","TBL","CAR",2,0,0
"575",0,"20022003","TBL","CAR",3,1,0
"576",0,"20022003","TBL","CAR",4,0,0
